datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-12-24 09:15:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:15:59,463.65,463.65,463.65,463.65,0,0,17093.95
2021-12-24 09:16:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:16:59,463.65,463.65,463.65,463.65,0,0,17086.45
2021-12-24 09:17:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:17:59,463.65,463.65,463.65,463.65,0,0,17082.2
2021-12-24 09:18:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:18:59,463.65,463.65,463.65,463.65,0,0,17061.5
2021-12-24 09:19:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:19:59,463.65,463.65,463.65,463.65,0,0,17054.65
2021-12-24 09:20:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:20:59,460.6,460.6,460.6,460.6,0,0,17074.4
2021-12-24 09:21:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:21:59,473.5,474.8,473.5,474.8,0,0,17082.55
2021-12-24 09:22:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:22:59,473.5,474.8,473.5,474.8,0,0,17095.95
2021-12-24 09:23:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:23:59,484.0,484.0,484.0,484.0,0,0,17099.3
2021-12-24 09:24:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:24:59,487.55,487.55,487.55,487.55,0,0,17102.7
2021-12-24 09:25:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:25:59,487.55,487.55,485.4,485.4,0,0,17111.25
2021-12-24 09:26:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:26:59,461.5,461.5,461.5,461.5,0,0,17098.25
2021-12-24 09:27:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:27:59,461.5,461.5,461.5,461.5,0,0,17075.0
2021-12-24 09:28:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:28:59,474.5,474.5,474.5,474.5,0,0,17091.75
2021-12-24 09:29:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:29:59,473.0,473.0,473.0,473.0,0,0,17089.85
2021-12-24 09:30:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:30:59,480.0,480.0,480.0,480.0,0,0,17069.95
2021-12-24 09:31:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:31:59,430.75,430.75,430.75,430.75,0,0,17055.1
2021-12-24 09:32:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:32:59,430.75,430.75,430.75,430.75,0,0,17067.85
2021-12-24 09:33:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:33:59,430.75,430.75,430.75,430.75,0,0,17049.75
2021-12-24 09:34:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:34:59,430.75,430.75,430.75,430.75,0,0,17044.7
2021-12-24 09:35:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:35:59,430.75,430.75,430.75,430.75,0,0,17026.2
2021-12-24 09:36:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:36:59,430.75,430.75,430.75,430.75,0,0,17034.6
2021-12-24 09:37:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:37:59,430.75,430.75,430.75,430.75,0,0,17028.25
2021-12-24 09:38:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:38:59,430.75,430.75,430.75,430.75,0,0,17033.5
2021-12-24 09:39:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:39:59,411.6,411.6,411.6,411.6,0,0,17006.6
2021-12-24 09:40:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:40:59,424.2,424.2,424.2,424.2,0,0,17014.1
2021-12-24 09:41:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:41:59,386.0,396.75,386.0,396.75,0,0,17004.25
2021-12-24 09:42:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:42:59,386.0,396.75,386.0,396.75,0,0,16985.2
2021-12-24 09:43:59,NIFTY,30DEC21,16650,CE,2021-12-24,09:43:59,386.0,396.75,386.0,396.75,0,0,16987.6
