datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-02-19 09:15:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:15:59,95.6,106.6,90.0,94.75,0,0,15052.6
2021-02-19 09:16:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:16:59,95.15,95.15,91.7,94.95,0,0,15058.0
2021-02-19 09:17:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:17:59,94.05,94.65,89.95,92.05,0,0,15056.65
2021-02-19 09:18:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:18:59,91.8,93.7,89.8,92.7,0,0,15060.65
2021-02-19 09:19:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:19:59,93.8,93.8,91.05,91.7,0,0,15058.9
2021-02-19 09:20:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:20:59,91.0,92.35,87.8,90.35,0,0,15057.05
2021-02-19 09:21:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:21:59,90.4,91.3,89.35,90.8,0,0,15055.95
2021-02-19 09:22:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:22:59,91.05,92.15,89.65,91.65,0,0,15062.95
2021-02-19 09:23:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:23:59,92.0,92.05,90.0,91.0,0,0,15057.9
2021-02-19 09:24:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:24:59,90.55,91.05,89.6,90.15,0,0,15054.5
2021-02-19 09:25:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:25:59,90.4,91.45,84.15,85.5,0,0,15041.4
2021-02-19 09:26:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:26:59,86.25,86.25,83.75,85.4,0,0,15035.05
2021-02-19 09:27:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:27:59,85.3,87.65,85.3,87.55,0,0,15045.45
2021-02-19 09:28:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:28:59,87.8,88.0,84.2,84.25,0,0,15034.9
2021-02-19 09:29:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:29:59,84.4,85.05,82.75,83.25,0,0,15030.75
2021-02-19 09:30:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:30:59,82.95,84.65,82.0,83.95,0,0,15031.25
2021-02-19 09:31:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:31:59,83.8,86.4,83.75,86.2,0,0,15038.4
2021-02-19 09:32:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:32:59,85.8,88.2,85.8,88.2,0,0,15047.55
2021-02-19 09:33:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:33:59,87.7,88.55,86.1,87.4,0,0,15043.05
2021-02-19 09:34:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:34:59,87.65,89.75,87.2,89.0,0,0,15049.3
2021-02-19 09:35:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:35:59,88.9,89.2,86.4,86.4,0,0,15042.65
2021-02-19 09:36:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:36:59,86.25,87.4,85.35,86.6,0,0,15050.25
2021-02-19 09:37:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:37:59,86.85,89.4,86.85,88.6,0,0,15053.0
2021-02-19 09:38:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:38:59,88.5,90.6,88.5,90.6,0,0,15060.0
2021-02-19 09:39:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:39:59,90.55,92.9,90.25,91.8,0,0,15058.3
2021-02-19 09:40:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:40:59,91.85,94.25,91.85,94.25,0,0,15069.8
2021-02-19 09:41:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:41:59,93.7,94.8,92.8,94.8,0,0,15075.1
2021-02-19 09:42:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:42:59,95.25,95.8,93.0,93.8,0,0,15068.15
2021-02-19 09:43:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:43:59,94.6,100.75,94.15,100.75,0,0,15082.85
2021-02-19 09:44:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:44:59,100.3,100.3,95.85,97.3,0,0,15076.7
2021-02-19 09:45:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:45:59,98.5,102.75,98.0,100.9,0,0,15093.95
2021-02-19 09:46:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:46:59,101.25,101.25,95.05,97.55,0,0,15077.5
2021-02-19 09:47:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:47:59,97.45,97.65,94.0,95.65,0,0,15077.55
2021-02-19 09:48:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:48:59,95.8,99.45,95.8,98.45,0,0,15089.1
2021-02-19 09:49:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:49:59,98.4,98.75,96.0,96.0,0,0,15082.05
2021-02-19 09:50:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:50:59,95.5,97.0,95.0,96.85,0,0,15075.4
2021-02-19 09:51:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:51:59,96.5,99.8,96.5,98.2,0,0,15087.45
2021-02-19 09:52:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:52:59,98.15,99.0,96.45,97.95,0,0,15084.7
2021-02-19 09:53:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:53:59,98.45,99.8,97.55,99.35,0,0,15090.9
2021-02-19 09:54:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:54:59,99.6,108.65,99.45,108.3,0,0,15105.1
2021-02-19 09:55:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:55:59,107.6,108.2,103.4,104.3,0,0,15096.35
2021-02-19 09:56:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:56:59,104.2,104.95,100.95,100.95,0,0,15086.2
2021-02-19 09:57:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:57:59,101.2,103.5,101.2,101.8,0,0,15085.75
2021-02-19 09:58:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:58:59,101.35,103.25,100.5,103.1,0,0,15091.35
2021-02-19 09:59:59,NIFTY,25FEB21,15150,CE,2021-02-19,09:59:59,103.35,103.35,101.25,101.25,0,0,15086.2
2021-02-19 10:00:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:00:59,101.05,101.05,98.2,98.2,0,0,15077.25
2021-02-19 10:01:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:01:59,98.45,98.9,95.7,97.75,0,0,15072.9
2021-02-19 10:02:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:02:59,97.85,99.5,97.0,97.9,0,0,15073.25
2021-02-19 10:03:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:03:59,98.15,98.15,96.35,96.55,0,0,15071.45
2021-02-19 10:04:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:04:59,96.5,96.6,92.55,94.2,0,0,15061.85
2021-02-19 10:05:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:05:59,93.8,95.95,92.65,95.85,0,0,15070.55
2021-02-19 10:06:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:06:59,95.95,97.6,95.15,95.65,0,0,15071.0
2021-02-19 10:07:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:07:59,95.65,97.25,94.7,97.25,0,0,15076.7
2021-02-19 10:08:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:08:59,97.35,97.4,95.5,95.95,0,0,15071.45
2021-02-19 10:09:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:09:59,95.9,97.5,95.25,97.4,0,0,15075.1
2021-02-19 10:10:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:10:59,97.35,104.6,97.0,104.6,0,0,15095.35
2021-02-19 10:11:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:11:59,104.65,110.0,103.9,108.15,0,0,15111.05
2021-02-19 10:12:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:12:59,108.15,108.55,106.0,107.7,0,0,15107.8
2021-02-19 10:13:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:13:59,107.2,109.5,106.55,106.55,0,0,15106.1
2021-02-19 10:14:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:14:59,106.05,106.5,103.7,105.1,0,0,15102.4
2021-02-19 10:15:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:15:59,105.55,116.7,105.55,113.3,0,0,15118.2
2021-02-19 10:16:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:16:59,113.65,114.05,112.0,113.0,0,0,15115.95
2021-02-19 10:17:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:17:59,113.05,113.85,109.8,110.5,0,0,15110.9
2021-02-19 10:18:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:18:59,110.2,112.1,110.0,110.15,0,0,15108.8
2021-02-19 10:19:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:19:59,110.45,111.4,108.2,111.25,0,0,15111.2
2021-02-19 10:20:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:20:59,112.25,116.5,111.25,116.5,0,0,15120.9
2021-02-19 10:21:59,NIFTY,25FEB21,15150,CE,2021-02-19,10:21:59,116.5,120.0,115.8,117.1,0,0,15123.4
