datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-01-22 09:15:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:15:59,5.0,5.0,5.0,5.0,0,0,14549.75
2021-01-22 09:16:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:16:59,3.35,3.55,3.2,3.55,0,0,14555.6
2021-01-22 09:17:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:17:59,3.35,3.55,3.2,3.55,0,0,14551.7
2021-01-22 09:18:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:18:59,3.15,3.4,3.15,3.3,0,0,14570.85
2021-01-22 09:19:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:19:59,3.15,3.4,3.15,3.3,0,0,14591.8
2021-01-22 09:20:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:20:59,3.35,3.35,3.35,3.35,0,0,14587.7
2021-01-22 09:21:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:21:59,3.35,3.35,3.35,3.35,0,0,14574.1
2021-01-22 09:22:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:22:59,3.1,3.1,3.1,3.1,0,0,14582.1
2021-01-22 09:23:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:23:59,2.95,3.3,2.95,3.1,0,0,14585.55
2021-01-22 09:24:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:24:59,3.25,3.25,3.1,3.15,0,0,14599.7
2021-01-22 09:25:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:25:59,3.15,3.2,3.1,3.2,0,0,14609.15
2021-01-22 09:26:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:26:59,3.1,3.2,3.1,3.2,0,0,14573.5
2021-01-22 09:27:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:27:59,3.2,3.2,3.1,3.1,0,0,14569.35
2021-01-22 09:28:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:28:59,3.2,3.2,3.2,3.2,0,0,14556.2
2021-01-22 09:29:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:29:59,3.2,3.2,3.2,3.2,0,0,14538.45
2021-01-22 09:30:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:30:59,3.2,3.4,3.2,3.4,0,0,14536.2
2021-01-22 09:31:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:31:59,3.4,3.5,3.3,3.5,0,0,14535.9
2021-01-22 09:32:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:32:59,3.3,3.3,3.3,3.3,0,0,14534.25
2021-01-22 09:33:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:33:59,3.3,3.3,3.3,3.3,0,0,14541.75
2021-01-22 09:34:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:34:59,3.3,3.3,3.3,3.3,0,0,14540.45
2021-01-22 09:35:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:35:59,3.15,3.15,3.15,3.15,0,0,14553.55
2021-01-22 09:36:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:36:59,3.15,3.15,3.15,3.15,0,0,14569.25
2021-01-22 09:37:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:37:59,3.15,3.25,3.15,3.25,0,0,14573.55
2021-01-22 09:38:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:38:59,3.15,3.25,3.15,3.25,0,0,14577.4
2021-01-22 09:39:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:39:59,3.15,3.25,3.15,3.25,0,0,14580.55
2021-01-22 09:40:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:40:59,3.15,3.25,3.15,3.25,0,0,14591.1
2021-01-22 09:41:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:41:59,3.15,3.25,3.15,3.25,0,0,14573.4
2021-01-22 09:42:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:42:59,2.95,2.95,2.95,2.95,0,0,14578.35
2021-01-22 09:43:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:43:59,2.95,2.95,2.95,2.95,0,0,14584.45
2021-01-22 09:44:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:44:59,2.95,2.95,2.95,2.95,0,0,14590.2
2021-01-22 09:45:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:45:59,2.95,2.95,2.95,2.95,0,0,14598.05
2021-01-22 09:46:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:46:59,2.95,2.95,2.95,2.95,0,0,14602.4
2021-01-22 09:47:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:47:59,2.95,2.95,2.95,2.95,0,0,14600.75
2021-01-22 09:48:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:48:59,2.7,2.7,2.7,2.7,0,0,14606.85
2021-01-22 09:49:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:49:59,2.7,2.7,2.7,2.7,0,0,14600.1
2021-01-22 09:50:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:50:59,2.7,2.7,2.7,2.7,0,0,14588.65
2021-01-22 09:51:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:51:59,2.7,2.7,2.7,2.7,0,0,14594.9
2021-01-22 09:52:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:52:59,2.7,2.7,2.7,2.7,0,0,14599.55
2021-01-22 09:53:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:53:59,2.7,2.7,2.7,2.7,0,0,14608.9
2021-01-22 09:54:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:54:59,2.7,2.7,2.7,2.7,0,0,14605.1
2021-01-22 09:55:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:55:59,2.7,2.7,2.7,2.7,0,0,14605.9
2021-01-22 09:56:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:56:59,2.7,2.7,2.7,2.7,0,0,14602.2
2021-01-22 09:57:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:57:59,2.7,2.7,2.7,2.7,0,0,14590.7
2021-01-22 09:58:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:58:59,2.6,2.6,2.6,2.6,0,0,14586.75
2021-01-22 09:59:59,NIFTY,28JAN21,12950,PE,2021-01-22,09:59:59,2.6,2.6,2.6,2.6,0,0,14592.0
2021-01-22 10:00:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:00:59,2.6,2.6,2.6,2.6,0,0,14586.05
2021-01-22 10:01:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:01:59,2.6,2.6,2.6,2.6,0,0,14583.85
2021-01-22 10:02:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:02:59,2.6,2.6,2.6,2.6,0,0,14585.8
2021-01-22 10:03:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:03:59,2.6,2.6,2.6,2.6,0,0,14582.3
2021-01-22 10:04:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:04:59,2.6,2.6,2.6,2.6,0,0,14589.05
2021-01-22 10:05:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:05:59,2.6,2.6,2.6,2.6,0,0,14590.7
2021-01-22 10:06:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:06:59,2.6,2.6,2.6,2.6,0,0,14573.6
2021-01-22 10:07:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:07:59,2.6,2.6,2.6,2.6,0,0,14573.9
2021-01-22 10:08:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:08:59,2.6,2.6,2.6,2.6,0,0,14575.1
2021-01-22 10:09:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:09:59,2.6,2.6,2.6,2.6,0,0,14573.8
2021-01-22 10:10:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:10:59,2.6,2.6,2.6,2.6,0,0,14568.35
2021-01-22 10:11:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:11:59,2.6,2.6,2.6,2.6,0,0,14574.85
2021-01-22 10:12:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:12:59,2.6,2.6,2.6,2.6,0,0,14587.8
2021-01-22 10:13:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:13:59,2.6,2.6,2.6,2.6,0,0,14595.1
2021-01-22 10:14:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:14:59,2.6,2.6,2.6,2.6,0,0,14600.4
2021-01-22 10:15:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:15:59,2.55,2.65,2.55,2.65,0,0,14613.3
2021-01-22 10:16:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:16:59,2.85,2.85,2.85,2.85,0,0,14613.2
2021-01-22 10:17:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:17:59,2.85,2.85,2.85,2.85,0,0,14616.35
2021-01-22 10:18:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:18:59,2.85,2.85,2.85,2.85,0,0,14606.6
2021-01-22 10:19:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:19:59,2.85,2.85,2.85,2.85,0,0,14606.2
2021-01-22 10:20:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:20:59,2.85,2.85,2.85,2.85,0,0,14599.9
2021-01-22 10:21:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:21:59,2.85,2.85,2.85,2.85,0,0,14587.85
2021-01-22 10:22:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:22:59,2.85,2.85,2.85,2.85,0,0,14582.4
2021-01-22 10:23:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:23:59,2.85,2.85,2.85,2.85,0,0,14559.0
2021-01-22 10:24:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:24:59,2.85,2.85,2.85,2.85,0,0,14564.1
2021-01-22 10:25:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:25:59,2.85,2.85,2.85,2.85,0,0,14552.35
2021-01-22 10:26:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:26:59,2.85,2.85,2.85,2.85,0,0,14561.15
2021-01-22 10:27:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:27:59,2.85,2.85,2.85,2.85,0,0,14567.0
2021-01-22 10:28:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:28:59,2.85,2.85,2.85,2.85,0,0,14568.35
2021-01-22 10:29:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:29:59,2.65,2.65,2.65,2.65,0,0,14571.65
2021-01-22 10:30:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:30:59,2.65,2.65,2.65,2.65,0,0,14574.85
2021-01-22 10:31:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:31:59,2.65,2.65,2.65,2.65,0,0,14578.9
2021-01-22 10:32:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:32:59,2.65,2.65,2.65,2.65,0,0,14581.15
2021-01-22 10:33:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:33:59,2.65,2.65,2.65,2.65,0,0,14584.05
2021-01-22 10:34:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:34:59,2.65,2.65,2.65,2.65,0,0,14582.85
2021-01-22 10:35:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:35:59,2.65,2.65,2.65,2.65,0,0,14586.7
2021-01-22 10:36:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:36:59,2.65,2.65,2.65,2.65,0,0,14586.1
2021-01-22 10:37:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:37:59,2.65,2.65,2.65,2.65,0,0,14576.75
2021-01-22 10:38:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:38:59,2.65,2.65,2.65,2.65,0,0,14579.4
2021-01-22 10:39:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:39:59,2.65,2.65,2.65,2.65,0,0,14569.5
2021-01-22 10:40:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:40:59,2.65,2.65,2.65,2.65,0,0,14576.65
2021-01-22 10:41:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:41:59,2.65,2.65,2.65,2.65,0,0,14576.8
2021-01-22 10:42:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:42:59,2.65,2.65,2.65,2.65,0,0,14570.4
2021-01-22 10:43:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:43:59,2.65,2.65,2.65,2.65,0,0,14566.5
2021-01-22 10:44:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:44:59,2.6,2.6,2.5,2.5,0,0,14568.55
2021-01-22 10:45:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:45:59,2.6,2.6,2.5,2.5,0,0,14562.6
2021-01-22 10:46:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:46:59,2.6,2.6,2.5,2.5,0,0,14564.1
2021-01-22 10:47:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:47:59,2.6,2.6,2.5,2.5,0,0,14566.9
2021-01-22 10:48:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:48:59,2.6,2.6,2.5,2.5,0,0,14565.3
2021-01-22 10:49:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:49:59,2.6,2.6,2.5,2.5,0,0,14563.7
2021-01-22 10:50:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:50:59,2.6,2.6,2.5,2.5,0,0,14557.5
2021-01-22 10:51:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:51:59,2.6,2.6,2.5,2.5,0,0,14560.15
2021-01-22 10:52:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:52:59,2.6,2.6,2.5,2.5,0,0,14558.9
2021-01-22 10:53:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:53:59,2.6,2.6,2.5,2.5,0,0,14565.4
2021-01-22 10:54:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:54:59,2.5,2.5,2.5,2.5,0,0,14572.9
2021-01-22 10:55:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:55:59,2.5,2.5,2.5,2.5,0,0,14557.0
2021-01-22 10:56:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:56:59,2.5,2.5,2.5,2.5,0,0,14554.5
2021-01-22 10:57:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:57:59,2.5,2.5,2.5,2.5,0,0,14544.75
2021-01-22 10:58:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:58:59,2.5,2.5,2.5,2.5,0,0,14543.1
2021-01-22 10:59:59,NIFTY,28JAN21,12950,PE,2021-01-22,10:59:59,2.5,2.5,2.5,2.5,0,0,14536.1
2021-01-22 11:00:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:00:59,2.5,2.5,2.5,2.5,0,0,14526.6
2021-01-22 11:01:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:01:59,2.5,2.5,2.5,2.5,0,0,14525.3
2021-01-22 11:02:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:02:59,2.5,2.5,2.5,2.5,0,0,14531.25
2021-01-22 11:03:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:03:59,2.5,2.5,2.5,2.5,0,0,14539.9
2021-01-22 11:04:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:04:59,2.5,2.5,2.5,2.5,0,0,14537.75
2021-01-22 11:05:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:05:59,2.5,2.5,2.5,2.5,0,0,14532.2
2021-01-22 11:06:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:06:59,2.5,2.5,2.5,2.5,0,0,14526.2
2021-01-22 11:07:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:07:59,2.55,2.55,2.55,2.55,0,0,14507.9
2021-01-22 11:08:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:08:59,2.6,2.6,2.6,2.6,0,0,14517.15
2021-01-22 11:09:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:09:59,2.7,2.75,2.65,2.65,0,0,14503.15
2021-01-22 11:10:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:10:59,2.7,2.75,2.65,2.65,0,0,14500.0
2021-01-22 11:11:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:11:59,2.65,2.65,2.65,2.65,0,0,14505.2
2021-01-22 11:12:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:12:59,2.65,2.65,2.65,2.65,0,0,14498.85
2021-01-22 11:13:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:13:59,2.7,2.75,2.7,2.75,0,0,14503.7
2021-01-22 11:14:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:14:59,2.7,2.7,2.7,2.7,0,0,14498.35
2021-01-22 11:15:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:15:59,2.7,2.7,2.7,2.7,0,0,14493.9
2021-01-22 11:16:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:16:59,2.7,2.7,2.7,2.7,0,0,14477.7
2021-01-22 11:17:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:17:59,2.65,2.7,2.65,2.7,0,0,14477.4
2021-01-22 11:18:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:18:59,2.6,2.6,2.6,2.6,0,0,14486.45
2021-01-22 11:19:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:19:59,2.6,2.6,2.55,2.55,0,0,14473.05
2021-01-22 11:20:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:20:59,2.6,2.6,2.55,2.55,0,0,14473.3
2021-01-22 11:21:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:21:59,2.5,2.5,2.45,2.45,0,0,14473.15
2021-01-22 11:22:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:22:59,2.65,2.65,2.65,2.65,0,0,14461.15
2021-01-22 11:23:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:23:59,2.65,2.65,2.65,2.65,0,0,14465.9
2021-01-22 11:24:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:24:59,2.75,2.75,2.75,2.75,0,0,14456.1
2021-01-22 11:25:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:25:59,2.5,2.5,2.5,2.5,0,0,14457.15
2021-01-22 11:26:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:26:59,2.5,2.5,2.5,2.5,0,0,14477.6
2021-01-22 11:27:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:27:59,2.5,2.5,2.5,2.5,0,0,14498.55
2021-01-22 11:28:59,NIFTY,28JAN21,12950,PE,2021-01-22,11:28:59,2.5,2.5,2.5,2.5,0,0,14502.1
