datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-07-23 09:15:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:15:59,2863.8,2863.8,2863.8,2863.8,0,0,15848.4
2021-07-23 09:16:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:16:59,2863.8,2863.8,2863.8,2863.8,0,0,15859.8
2021-07-23 09:17:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:17:59,2863.8,2863.8,2863.8,2863.8,0,0,15850.65
2021-07-23 09:18:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:18:59,2863.8,2863.8,2863.8,2863.8,0,0,15864.3
2021-07-23 09:19:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:19:59,2863.8,2863.8,2863.8,2863.8,0,0,15868.65
2021-07-23 09:20:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:20:59,2863.8,2863.8,2863.8,2863.8,0,0,15871.65
2021-07-23 09:21:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:21:59,2863.8,2863.8,2863.8,2863.8,0,0,15864.6
2021-07-23 09:22:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:22:59,2863.8,2863.8,2863.8,2863.8,0,0,15859.75
2021-07-23 09:23:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:23:59,2863.8,2863.8,2863.8,2863.8,0,0,15864.7
2021-07-23 09:24:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:24:59,2839.4,2839.4,2839.4,2839.4,0,0,15864.35
2021-07-23 09:25:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:25:59,2839.4,2839.4,2839.4,2839.4,0,0,15868.8
2021-07-23 09:26:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:26:59,2839.4,2839.4,2839.4,2839.4,0,0,15860.7
2021-07-23 09:27:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:27:59,2839.4,2839.4,2839.4,2839.4,0,0,15862.1
2021-07-23 09:28:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:28:59,2839.4,2839.4,2839.4,2839.4,0,0,15859.0
2021-07-23 09:29:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:29:59,2839.4,2839.4,2839.4,2839.4,0,0,15854.7
2021-07-23 09:30:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:30:59,2839.4,2839.4,2839.4,2839.4,0,0,15824.8
2021-07-23 09:31:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:31:59,2780.0,2780.0,2780.0,2780.0,0,0,15800.75
2021-07-23 09:32:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:32:59,2780.0,2780.0,2780.0,2780.0,0,0,15772.25
2021-07-23 09:33:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:33:59,2786.8,2786.8,2786.8,2786.8,0,0,15780.35
2021-07-23 09:34:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:34:59,2794.0,2794.0,2794.0,2794.0,0,0,15782.7
2021-07-23 09:35:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:35:59,2794.0,2794.0,2794.0,2794.0,0,0,15797.25
2021-07-23 09:36:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:36:59,2794.0,2794.0,2794.0,2794.0,0,0,15809.7
2021-07-23 09:37:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:37:59,2794.0,2794.0,2794.0,2794.0,0,0,15813.8
2021-07-23 09:38:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:38:59,2794.0,2794.0,2794.0,2794.0,0,0,15808.15
2021-07-23 09:39:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:39:59,2794.0,2794.0,2794.0,2794.0,0,0,15806.1
2021-07-23 09:40:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:40:59,2794.0,2794.0,2794.0,2794.0,0,0,15802.0
2021-07-23 09:41:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:41:59,2794.0,2794.0,2794.0,2794.0,0,0,15808.4
2021-07-23 09:42:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:42:59,2794.0,2794.0,2794.0,2794.0,0,0,15804.55
2021-07-23 09:43:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:43:59,2794.0,2794.0,2794.0,2794.0,0,0,15797.1
2021-07-23 09:44:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:44:59,2794.0,2794.0,2794.0,2794.0,0,0,15787.95
2021-07-23 09:45:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:45:59,2794.0,2794.0,2794.0,2794.0,0,0,15776.15
2021-07-23 09:46:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:46:59,2794.0,2794.0,2794.0,2794.0,0,0,15789.9
2021-07-23 09:47:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:47:59,2794.0,2794.0,2794.0,2794.0,0,0,15798.35
2021-07-23 09:48:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:48:59,2790.0,2790.0,2790.0,2790.0,0,0,15803.35
2021-07-23 09:49:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:49:59,2790.0,2790.0,2790.0,2790.0,0,0,15802.75
2021-07-23 09:50:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:50:59,2790.0,2790.0,2790.0,2790.0,0,0,15804.95
2021-07-23 09:51:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:51:59,2796.0,2796.0,2796.0,2796.0,0,0,15812.85
2021-07-23 09:52:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:52:59,2834.0,2834.0,2834.0,2834.0,0,0,15820.5
2021-07-23 09:53:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:53:59,2834.0,2834.0,2834.0,2834.0,0,0,15827.7
2021-07-23 09:54:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:54:59,2834.0,2834.0,2834.0,2834.0,0,0,15832.85
2021-07-23 09:55:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:55:59,2834.0,2834.0,2834.0,2834.0,0,0,15839.65
2021-07-23 09:56:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:56:59,2834.0,2834.0,2834.0,2834.0,0,0,15842.25
2021-07-23 09:57:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:57:59,2834.0,2834.0,2834.0,2834.0,0,0,15844.85
2021-07-23 09:58:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:58:59,2834.0,2834.0,2834.0,2834.0,0,0,15840.15
2021-07-23 09:59:59,NIFTY,29JUL21,13000,CE,2021-07-23,09:59:59,2834.0,2834.0,2834.0,2834.0,0,0,15844.05
2021-07-23 10:00:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:00:59,2834.0,2834.0,2834.0,2834.0,0,0,15843.45
2021-07-23 10:01:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:01:59,2835.8,2835.8,2835.8,2835.8,0,0,15847.45
2021-07-23 10:02:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:02:59,2835.8,2835.8,2835.8,2835.8,0,0,15843.55
2021-07-23 10:03:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:03:59,2835.8,2835.8,2835.8,2835.8,0,0,15846.45
2021-07-23 10:04:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:04:59,2835.8,2835.8,2835.8,2835.8,0,0,15842.35
2021-07-23 10:05:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:05:59,2835.8,2835.8,2835.8,2835.8,0,0,15836.5
2021-07-23 10:06:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:06:59,2849.0,2849.0,2849.0,2849.0,0,0,15839.45
2021-07-23 10:07:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:07:59,2849.0,2849.0,2849.0,2849.0,0,0,15840.05
2021-07-23 10:08:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:08:59,2849.0,2849.0,2849.0,2849.0,0,0,15832.9
2021-07-23 10:09:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:09:59,2849.0,2849.0,2849.0,2849.0,0,0,15827.7
2021-07-23 10:10:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:10:59,2849.0,2849.0,2849.0,2849.0,0,0,15837.1
2021-07-23 10:11:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:11:59,2849.0,2849.0,2849.0,2849.0,0,0,15846.85
2021-07-23 10:12:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:12:59,2849.0,2849.0,2849.0,2849.0,0,0,15843.65
2021-07-23 10:13:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:13:59,2849.0,2849.0,2849.0,2849.0,0,0,15843.5
2021-07-23 10:14:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:14:59,2849.0,2849.0,2849.0,2849.0,0,0,15850.1
2021-07-23 10:15:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:15:59,2849.0,2849.0,2849.0,2849.0,0,0,15853.35
2021-07-23 10:16:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:16:59,2849.0,2849.0,2849.0,2849.0,0,0,15852.55
2021-07-23 10:17:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:17:59,2849.0,2849.0,2849.0,2849.0,0,0,15855.15
2021-07-23 10:18:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:18:59,2849.0,2849.0,2849.0,2849.0,0,0,15852.55
2021-07-23 10:19:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:19:59,2844.45,2844.45,2844.45,2844.45,0,0,15844.95
2021-07-23 10:20:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:20:59,2844.45,2844.45,2844.45,2844.45,0,0,15843.7
2021-07-23 10:21:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:21:59,2844.45,2844.45,2844.45,2844.45,0,0,15848.3
2021-07-23 10:22:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:22:59,2844.45,2844.45,2844.45,2844.45,0,0,15842.5
2021-07-23 10:23:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:23:59,2844.45,2844.45,2844.45,2844.45,0,0,15839.7
2021-07-23 10:24:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:24:59,2844.45,2844.45,2844.45,2844.45,0,0,15843.25
2021-07-23 10:25:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:25:59,2844.45,2844.45,2844.45,2844.45,0,0,15842.2
2021-07-23 10:26:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:26:59,2844.45,2844.45,2844.45,2844.45,0,0,15842.35
2021-07-23 10:27:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:27:59,2844.45,2844.45,2844.45,2844.45,0,0,15843.7
2021-07-23 10:28:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:28:59,2844.45,2844.45,2844.45,2844.45,0,0,15845.85
2021-07-23 10:29:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:29:59,2844.45,2844.45,2844.45,2844.45,0,0,15843.9
2021-07-23 10:30:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:30:59,2842.0,2842.0,2842.0,2842.0,0,0,15840.45
2021-07-23 10:31:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:31:59,2839.0,2839.0,2839.0,2839.0,0,0,15839.05
2021-07-23 10:32:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:32:59,2835.0,2835.0,2833.0,2833.0,0,0,15839.65
2021-07-23 10:33:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:33:59,2835.0,2835.0,2833.0,2833.0,0,0,15839.15
2021-07-23 10:34:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:34:59,2835.0,2835.0,2833.0,2833.0,0,0,15838.85
2021-07-23 10:35:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:35:59,2835.0,2835.0,2833.0,2833.0,0,0,15838.3
2021-07-23 10:36:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:36:59,2835.0,2835.0,2833.0,2833.0,0,0,15832.4
2021-07-23 10:37:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:37:59,2832.0,2832.0,2832.0,2832.0,0,0,15831.2
2021-07-23 10:38:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:38:59,2830.0,2830.0,2830.0,2830.0,0,0,15820.5
2021-07-23 10:39:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:39:59,2815.0,2815.0,2815.0,2815.0,0,0,15815.1
2021-07-23 10:40:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:40:59,2815.0,2815.0,2815.0,2815.0,0,0,15812.15
2021-07-23 10:41:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:41:59,2818.7,2818.7,2818.7,2818.7,0,0,15809.25
2021-07-23 10:42:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:42:59,2818.7,2818.7,2818.7,2818.7,0,0,15816.0
2021-07-23 10:43:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:43:59,2818.7,2818.7,2818.7,2818.7,0,0,15818.4
2021-07-23 10:44:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:44:59,2818.7,2818.7,2818.7,2818.7,0,0,15810.1
2021-07-23 10:45:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:45:59,2818.7,2818.7,2818.7,2818.7,0,0,15814.9
2021-07-23 10:46:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:46:59,2818.7,2818.7,2818.7,2818.7,0,0,15816.15
2021-07-23 10:47:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:47:59,2818.7,2818.7,2818.7,2818.7,0,0,15815.0
2021-07-23 10:48:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:48:59,2820.0,2820.0,2818.0,2818.0,0,0,15812.85
2021-07-23 10:49:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:49:59,2816.2,2816.2,2816.2,2816.2,0,0,15809.65
2021-07-23 10:50:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:50:59,2808.0,2808.0,2805.0,2805.0,0,0,15799.45
2021-07-23 10:51:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:51:59,2811.35,2812.25,2810.45,2810.45,0,0,15804.75
2021-07-23 10:52:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:52:59,2811.35,2812.25,2810.45,2810.45,0,0,15807.65
2021-07-23 10:53:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:53:59,2811.35,2812.25,2810.45,2810.45,0,0,15805.35
2021-07-23 10:54:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:54:59,2811.35,2812.25,2810.45,2810.45,0,0,15810.45
2021-07-23 10:55:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:55:59,2825.0,2825.0,2825.0,2825.0,0,0,15818.7
2021-07-23 10:56:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:56:59,2825.0,2825.0,2825.0,2825.0,0,0,15828.25
2021-07-23 10:57:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:57:59,2825.0,2825.0,2825.0,2825.0,0,0,15829.2
2021-07-23 10:58:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:58:59,2825.0,2825.0,2825.0,2825.0,0,0,15827.55
2021-07-23 10:59:59,NIFTY,29JUL21,13000,CE,2021-07-23,10:59:59,2825.0,2825.0,2825.0,2825.0,0,0,15822.35
2021-07-23 11:00:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:00:59,2820.0,2820.0,2820.0,2820.0,0,0,15827.45
2021-07-23 11:01:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:01:59,2820.0,2820.0,2820.0,2820.0,0,0,15826.4
2021-07-23 11:02:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:02:59,2820.0,2820.0,2820.0,2820.0,0,0,15825.75
2021-07-23 11:03:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:03:59,2820.0,2820.0,2820.0,2820.0,0,0,15821.65
2021-07-23 11:04:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:04:59,2830.0,2830.0,2830.0,2830.0,0,0,15823.85
2021-07-23 11:05:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:05:59,2830.0,2830.0,2830.0,2830.0,0,0,15830.1
2021-07-23 11:06:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:06:59,2830.0,2830.0,2830.0,2830.0,0,0,15830.7
2021-07-23 11:07:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:07:59,2830.0,2830.0,2830.0,2830.0,0,0,15836.65
2021-07-23 11:08:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:08:59,2830.0,2830.0,2830.0,2830.0,0,0,15840.15
2021-07-23 11:09:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:09:59,2837.0,2837.0,2835.0,2835.0,0,0,15844.8
2021-07-23 11:10:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:10:59,2837.0,2837.0,2835.0,2835.0,0,0,15841.0
2021-07-23 11:11:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:11:59,2829.9,2829.9,2825.0,2825.0,0,0,15838.35
2021-07-23 11:12:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:12:59,2829.9,2829.9,2825.0,2825.0,0,0,15838.55
2021-07-23 11:13:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:13:59,2829.9,2829.9,2825.0,2825.0,0,0,15833.7
2021-07-23 11:14:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:14:59,2829.9,2829.9,2825.0,2825.0,0,0,15835.8
2021-07-23 11:15:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:15:59,2829.9,2829.9,2825.0,2825.0,0,0,15833.85
2021-07-23 11:16:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:16:59,2829.9,2829.9,2825.0,2825.0,0,0,15832.25
2021-07-23 11:17:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:17:59,2825.0,2825.0,2825.0,2825.0,0,0,15831.65
2021-07-23 11:18:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:18:59,2825.0,2825.0,2825.0,2825.0,0,0,15829.15
2021-07-23 11:19:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:19:59,2825.0,2825.0,2825.0,2825.0,0,0,15830.15
2021-07-23 11:20:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:20:59,2825.0,2825.0,2825.0,2825.0,0,0,15829.45
2021-07-23 11:21:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:21:59,2825.0,2825.0,2825.0,2825.0,0,0,15833.9
2021-07-23 11:22:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:22:59,2825.0,2825.0,2825.0,2825.0,0,0,15833.75
2021-07-23 11:23:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:23:59,2825.0,2825.0,2825.0,2825.0,0,0,15832.55
2021-07-23 11:24:59,NIFTY,29JUL21,13000,CE,2021-07-23,11:24:59,2825.0,2825.0,2825.0,2825.0,0,0,15832.55
