datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-07-23 09:15:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:15:59,227.35,233.1,225.15,225.15,0,0,15848.4
2021-07-23 09:16:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:16:59,227.85,227.85,214.55,215.0,0,0,15859.8
2021-07-23 09:17:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:17:59,214.9,222.0,214.6,222.0,0,0,15850.65
2021-07-23 09:18:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:18:59,222.45,222.45,211.5,212.05,0,0,15864.3
2021-07-23 09:19:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:19:59,211.85,212.8,209.05,209.9,0,0,15868.65
2021-07-23 09:20:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:20:59,206.95,209.1,203.1,206.0,0,0,15871.65
2021-07-23 09:21:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:21:59,203.45,208.15,201.8,208.15,0,0,15864.6
2021-07-23 09:22:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:22:59,211.85,213.2,207.7,213.2,0,0,15859.75
2021-07-23 09:23:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:23:59,212.65,212.65,207.95,209.2,0,0,15864.7
2021-07-23 09:24:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:24:59,209.0,209.05,206.0,209.05,0,0,15864.35
2021-07-23 09:25:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:25:59,206.2,207.65,205.35,205.35,0,0,15868.8
2021-07-23 09:26:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:26:59,208.75,208.75,208.75,208.75,0,0,15860.7
2021-07-23 09:27:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:27:59,213.4,214.75,212.4,212.4,0,0,15862.1
2021-07-23 09:28:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:28:59,212.4,212.4,212.0,212.25,0,0,15859.0
2021-07-23 09:29:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:29:59,213.75,216.05,213.35,214.75,0,0,15854.7
2021-07-23 09:30:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:30:59,218.6,248.15,218.6,240.65,0,0,15824.8
2021-07-23 09:31:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:31:59,240.0,261.55,240.0,259.75,0,0,15800.75
2021-07-23 09:32:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:32:59,259.2,293.9,259.2,287.1,0,0,15772.25
2021-07-23 09:33:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:33:59,287.6,287.6,279.75,279.75,0,0,15780.35
2021-07-23 09:34:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:34:59,287.0,287.0,279.85,279.85,0,0,15782.7
2021-07-23 09:35:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:35:59,285.0,286.8,275.0,275.0,0,0,15797.25
2021-07-23 09:36:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:36:59,272.95,272.95,265.0,265.0,0,0,15809.7
2021-07-23 09:37:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:37:59,259.8,260.0,255.0,260.0,0,0,15813.8
2021-07-23 09:38:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:38:59,258.0,258.0,258.0,258.0,0,0,15808.15
2021-07-23 09:39:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:39:59,260.5,268.0,257.1,268.0,0,0,15806.1
2021-07-23 09:40:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:40:59,260.85,262.6,260.85,262.6,0,0,15802.0
2021-07-23 09:41:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:41:59,272.85,272.85,265.0,265.0,0,0,15808.4
2021-07-23 09:42:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:42:59,267.3,270.3,267.3,270.3,0,0,15804.55
2021-07-23 09:43:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:43:59,271.0,273.4,271.0,271.0,0,0,15797.1
2021-07-23 09:44:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:44:59,279.0,283.4,279.0,283.4,0,0,15787.95
2021-07-23 09:45:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:45:59,282.95,290.0,280.4,290.0,0,0,15776.15
2021-07-23 09:46:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:46:59,282.4,283.0,280.0,280.0,0,0,15789.9
2021-07-23 09:47:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:47:59,277.05,277.05,270.25,270.25,0,0,15798.35
2021-07-23 09:48:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:48:59,275.0,275.0,274.0,274.0,0,0,15803.35
2021-07-23 09:49:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:49:59,271.0,271.0,271.0,271.0,0,0,15802.75
2021-07-23 09:50:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:50:59,268.75,268.75,268.0,268.0,0,0,15804.95
2021-07-23 09:51:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:51:59,264.65,264.65,264.65,264.65,0,0,15812.85
2021-07-23 09:52:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:52:59,256.5,256.5,256.5,256.5,0,0,15820.5
2021-07-23 09:53:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:53:59,252.65,252.65,245.9,249.95,0,0,15827.7
2021-07-23 09:54:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:54:59,249.6,249.6,243.0,243.2,0,0,15832.85
2021-07-23 09:55:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:55:59,238.9,238.9,235.85,235.85,0,0,15839.65
2021-07-23 09:56:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:56:59,236.6,236.6,236.6,236.6,0,0,15842.25
2021-07-23 09:57:59,NIFTY,29JUL21,16050,PE,2021-07-23,09:57:59,228.4,231.75,226.5,230.7,0,0,15844.85
