datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-06-18 09:15:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:15:59,409.6,411.05,407.0,407.0,0,0,15741.8
2021-06-18 09:16:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:16:59,409.6,411.05,407.0,407.0,0,0,15748.6
2021-06-18 09:17:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:17:59,409.6,411.05,407.0,407.0,0,0,15751.45
2021-06-18 09:18:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:18:59,405.55,405.55,405.55,405.55,0,0,15740.55
2021-06-18 09:19:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:19:59,393.25,393.25,377.4,377.4,0,0,15734.2
2021-06-18 09:20:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:20:59,393.25,393.25,377.4,377.4,0,0,15705.35
2021-06-18 09:21:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:21:59,375.45,378.65,374.3,374.3,0,0,15691.75
2021-06-18 09:22:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:22:59,370.0,371.0,368.5,371.0,0,0,15694.8
2021-06-18 09:23:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:23:59,375.0,375.0,375.0,375.0,0,0,15707.55
2021-06-18 09:24:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:24:59,386.15,386.15,386.15,386.15,0,0,15727.65
2021-06-18 09:25:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:25:59,403.05,403.05,403.05,403.05,0,0,15738.15
2021-06-18 09:26:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:26:59,399.7,399.7,399.7,399.7,0,0,15738.9
2021-06-18 09:27:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:27:59,399.7,399.7,399.7,399.7,0,0,15736.35
2021-06-18 09:28:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:28:59,399.7,399.7,399.7,399.7,0,0,15739.35
2021-06-18 09:29:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:29:59,399.7,399.7,399.7,399.7,0,0,15727.85
2021-06-18 09:30:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:30:59,390.8,390.8,390.8,390.8,0,0,15711.1
2021-06-18 09:31:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:31:59,390.8,390.8,390.8,390.8,0,0,15719.55
2021-06-18 09:32:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:32:59,390.8,390.8,390.8,390.8,0,0,15716.7
2021-06-18 09:33:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:33:59,381.7,381.7,381.7,381.7,0,0,15709.85
2021-06-18 09:34:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:34:59,381.7,381.7,381.7,381.7,0,0,15711.05
2021-06-18 09:35:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:35:59,374.35,374.35,374.35,374.35,0,0,15701.8
2021-06-18 09:36:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:36:59,374.35,374.35,374.35,374.35,0,0,15698.3
2021-06-18 09:37:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:37:59,374.35,374.35,374.35,374.35,0,0,15697.25
2021-06-18 09:38:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:38:59,387.85,387.85,385.65,385.65,0,0,15710.65
2021-06-18 09:39:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:39:59,387.85,387.85,385.65,385.65,0,0,15705.8
2021-06-18 09:40:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:40:59,368.4,368.4,368.4,368.4,0,0,15700.9
2021-06-18 09:41:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:41:59,368.4,368.4,368.4,368.4,0,0,15695.95
2021-06-18 09:42:59,NIFTY,24JUN21,15350,CE,2021-06-18,09:42:59,350.4,350.4,349.2,349.65,0,0,15680.8
