datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-06-18 09:15:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:15:59,34.7,34.7,23.2,24.95,0,0,15741.8
2021-06-18 09:16:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:16:59,24.9,24.9,22.1,22.4,0,0,15748.6
2021-06-18 09:17:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:17:59,22.35,22.45,21.7,21.9,0,0,15751.45
2021-06-18 09:18:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:18:59,21.95,21.95,21.2,21.55,0,0,15740.55
2021-06-18 09:19:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:19:59,21.45,22.0,21.35,22.0,0,0,15734.2
2021-06-18 09:20:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:20:59,21.8,25.1,21.8,24.85,0,0,15705.35
2021-06-18 09:21:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:21:59,24.85,28.25,24.75,28.25,0,0,15691.75
2021-06-18 09:22:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:22:59,28.25,29.4,26.75,27.55,0,0,15694.8
2021-06-18 09:23:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:23:59,27.75,28.0,25.05,25.05,0,0,15707.55
2021-06-18 09:24:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:24:59,24.85,25.35,22.1,22.4,0,0,15727.65
2021-06-18 09:25:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:25:59,22.6,22.65,20.8,20.95,0,0,15738.15
2021-06-18 09:26:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:26:59,21.0,21.65,20.6,21.05,0,0,15738.9
2021-06-18 09:27:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:27:59,21.05,21.8,20.7,21.55,0,0,15736.35
2021-06-18 09:28:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:28:59,21.5,21.95,20.6,20.7,0,0,15739.35
2021-06-18 09:29:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:29:59,20.8,21.65,20.5,21.35,0,0,15727.85
2021-06-18 09:30:59,NIFTY,24JUN21,15400,PE,2021-06-18,09:30:59,21.35,23.9,21.15,23.9,0,0,15711.1
