datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-03-19 09:15:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:15:59,85.2,88.6,75.0,81.65,0,0,14479.1
2021-03-19 09:16:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:16:59,80.0,85.55,80.0,81.0,0,0,14471.75
2021-03-19 09:17:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:17:59,81.85,81.85,78.9,79.3,0,0,14452.15
2021-03-19 09:18:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:18:59,79.25,79.25,74.7,75.1,0,0,14438.65
2021-03-19 09:19:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:19:59,75.2,76.0,73.5,73.85,0,0,14419.2
2021-03-19 09:20:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:20:59,75.7,80.9,75.7,77.7,0,0,14442.15
2021-03-19 09:21:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:21:59,77.8,78.2,75.5,76.8,0,0,14443.35
2021-03-19 09:22:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:22:59,76.85,80.35,76.85,78.55,0,0,14450.7
2021-03-19 09:23:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:23:59,78.8,78.8,75.1,76.55,0,0,14444.35
2021-03-19 09:24:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:24:59,77.2,77.65,74.35,74.45,0,0,14437.2
2021-03-19 09:25:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:25:59,74.6,74.65,72.3,73.95,0,0,14426.95
2021-03-19 09:26:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:26:59,73.1,75.0,69.15,70.2,0,0,14408.45
2021-03-19 09:27:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:27:59,70.25,70.5,64.35,66.15,0,0,14383.45
2021-03-19 09:28:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:28:59,66.4,70.0,66.3,67.9,0,0,14384.65
2021-03-19 09:29:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:29:59,67.55,69.05,66.6,67.35,0,0,14376.2
2021-03-19 09:30:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:30:59,67.15,67.25,64.1,64.8,0,0,14361.9
2021-03-19 09:31:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:31:59,65.1,67.9,65.1,65.85,0,0,14363.05
2021-03-19 09:32:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:32:59,65.45,68.0,65.45,67.15,0,0,14377.9
2021-03-19 09:33:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:33:59,67.0,67.8,65.9,67.8,0,0,14376.2
2021-03-19 09:34:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:34:59,67.75,70.9,67.75,69.55,0,0,14394.8
2021-03-19 09:35:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:35:59,70.0,72.15,69.7,70.15,0,0,14409.9
2021-03-19 09:36:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:36:59,70.75,71.1,66.15,67.0,0,0,14385.05
2021-03-19 09:37:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:37:59,67.1,67.1,65.2,66.75,0,0,14385.6
2021-03-19 09:38:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:38:59,66.85,71.1,66.85,71.1,0,0,14411.95
2021-03-19 09:39:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:39:59,71.15,72.4,70.1,70.8,0,0,14404.55
2021-03-19 09:40:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:40:59,70.8,74.65,70.8,73.0,0,0,14423.1
2021-03-19 09:41:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:41:59,73.45,73.45,70.6,72.5,0,0,14427.2
2021-03-19 09:42:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:42:59,73.0,74.0,72.0,72.4,0,0,14427.45
2021-03-19 09:43:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:43:59,72.15,74.3,72.15,73.65,0,0,14430.45
2021-03-19 09:44:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:44:59,74.0,74.05,70.65,70.65,0,0,14420.7
2021-03-19 09:45:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:45:59,71.2,71.2,68.0,68.8,0,0,14407.6
2021-03-19 09:46:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:46:59,68.25,71.9,68.25,70.55,0,0,14414.6
2021-03-19 09:47:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:47:59,70.7,73.8,70.3,73.35,0,0,14434.7
2021-03-19 09:48:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:48:59,73.55,74.95,73.3,74.4,0,0,14441.1
2021-03-19 09:49:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:49:59,74.3,75.2,70.25,71.4,0,0,14429.25
2021-03-19 09:50:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:50:59,71.9,75.2,71.9,74.2,0,0,14443.85
2021-03-19 09:51:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:51:59,74.2,75.55,72.75,72.75,0,0,14437.8
2021-03-19 09:52:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:52:59,72.8,74.9,72.6,74.6,0,0,14448.25
2021-03-19 09:53:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:53:59,76.3,77.0,75.2,76.1,0,0,14457.55
2021-03-19 09:54:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:54:59,75.95,78.3,75.5,78.25,0,0,14467.85
2021-03-19 09:55:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:55:59,78.0,79.5,75.4,76.2,0,0,14462.35
2021-03-19 09:56:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:56:59,76.65,76.65,72.5,74.6,0,0,14453.6
2021-03-19 09:57:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:57:59,74.6,77.75,74.6,77.6,0,0,14467.65
2021-03-19 09:58:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:58:59,77.3,77.3,73.4,75.35,0,0,14456.9
2021-03-19 09:59:59,NIFTY,25MAR21,14750,CE,2021-03-19,09:59:59,75.65,77.9,74.45,77.8,0,0,14468.8
2021-03-19 10:00:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:00:59,78.0,79.1,74.8,74.8,0,0,14456.0
2021-03-19 10:01:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:01:59,75.05,75.5,72.5,73.75,0,0,14447.0
2021-03-19 10:02:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:02:59,73.7,76.35,73.55,75.85,0,0,14463.1
2021-03-19 10:03:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:03:59,76.5,79.2,76.4,78.2,0,0,14480.5
2021-03-19 10:04:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:04:59,78.5,79.7,77.0,78.2,0,0,14474.4
2021-03-19 10:05:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:05:59,78.35,78.7,75.0,77.9,0,0,14473.0
2021-03-19 10:06:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:06:59,78.4,79.55,76.95,79.55,0,0,14485.55
2021-03-19 10:07:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:07:59,79.8,82.15,79.35,81.7,0,0,14496.4
2021-03-19 10:08:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:08:59,81.4,82.3,78.35,80.7,0,0,14491.1
2021-03-19 10:09:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:09:59,80.95,88.0,80.35,88.0,0,0,14507.55
2021-03-19 10:10:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:10:59,87.2,90.35,83.75,83.75,0,0,14507.75
2021-03-19 10:11:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:11:59,83.85,84.8,81.6,84.5,0,0,14503.95
2021-03-19 10:12:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:12:59,84.0,88.2,83.55,86.35,0,0,14510.95
2021-03-19 10:13:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:13:59,87.0,89.2,84.8,85.85,0,0,14506.85
2021-03-19 10:14:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:14:59,86.25,86.9,84.65,85.15,0,0,14501.35
2021-03-19 10:15:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:15:59,84.6,89.85,84.0,86.75,0,0,14510.8
2021-03-19 10:16:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:16:59,86.35,86.35,76.4,78.85,0,0,14478.55
2021-03-19 10:17:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:17:59,78.95,83.0,78.95,81.6,0,0,14493.0
2021-03-19 10:18:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:18:59,82.35,82.6,79.5,80.1,0,0,14482.85
2021-03-19 10:19:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:19:59,79.7,81.9,79.5,80.25,0,0,14485.1
2021-03-19 10:20:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:20:59,79.75,80.6,73.75,74.95,0,0,14462.15
2021-03-19 10:21:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:21:59,75.25,77.25,73.9,77.25,0,0,14468.95
2021-03-19 10:22:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:22:59,76.8,80.4,76.45,80.4,0,0,14478.15
2021-03-19 10:23:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:23:59,80.85,85.0,80.4,84.45,0,0,14497.65
2021-03-19 10:24:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:24:59,85.05,93.4,83.9,93.4,0,0,14521.0
2021-03-19 10:25:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:25:59,94.7,99.2,93.6,96.75,0,0,14530.5
2021-03-19 10:26:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:26:59,97.15,97.75,90.0,91.9,0,0,14518.9
2021-03-19 10:27:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:27:59,92.45,96.55,91.3,95.0,0,0,14534.75
2021-03-19 10:28:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:28:59,94.85,95.35,91.6,93.95,0,0,14525.45
2021-03-19 10:29:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:29:59,94.05,94.25,91.5,94.1,0,0,14525.7
2021-03-19 10:30:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:30:59,94.35,98.75,94.35,96.65,0,0,14537.35
2021-03-19 10:31:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:31:59,96.85,96.85,91.3,91.3,0,0,14518.85
2021-03-19 10:32:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:32:59,91.95,93.4,89.0,93.0,0,0,14522.55
2021-03-19 10:33:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:33:59,92.7,93.25,90.05,92.0,0,0,14518.2
2021-03-19 10:34:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:34:59,92.0,96.15,91.9,96.15,0,0,14531.35
2021-03-19 10:35:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:35:59,96.55,101.45,95.85,98.2,0,0,14541.5
2021-03-19 10:36:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:36:59,97.85,98.4,90.45,91.7,0,0,14519.8
2021-03-19 10:37:59,NIFTY,25MAR21,14750,CE,2021-03-19,10:37:59,92.35,93.0,87.0,93.0,0,0,14520.7
