datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-03-19 09:15:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:15:59,508.35,508.35,508.35,508.35,0,0,14479.1
2021-03-19 09:16:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:16:59,479.55,490.85,479.55,490.85,0,0,14471.75
2021-03-19 09:17:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:17:59,507.75,511.25,507.75,511.25,0,0,14452.15
2021-03-19 09:18:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:18:59,524.5,524.55,524.5,524.5,0,0,14438.65
2021-03-19 09:19:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:19:59,518.0,518.0,518.0,518.0,0,0,14419.2
2021-03-19 09:20:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:20:59,518.0,518.0,518.0,518.0,0,0,14442.15
2021-03-19 09:21:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:21:59,535.9,535.9,521.15,526.85,0,0,14443.35
2021-03-19 09:22:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:22:59,535.9,535.9,521.15,526.85,0,0,14450.7
2021-03-19 09:23:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:23:59,525.65,530.0,525.65,530.0,0,0,14444.35
2021-03-19 09:24:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:24:59,565.75,565.75,565.75,565.75,0,0,14437.2
2021-03-19 09:25:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:25:59,565.75,565.75,565.75,565.75,0,0,14426.95
2021-03-19 09:26:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:26:59,565.75,565.75,565.75,565.75,0,0,14408.45
2021-03-19 09:27:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:27:59,578.45,597.8,578.45,587.0,0,0,14383.45
2021-03-19 09:28:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:28:59,584.6,584.6,584.6,584.6,0,0,14384.65
2021-03-19 09:29:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:29:59,584.15,588.25,578.9,588.25,0,0,14376.2
2021-03-19 09:30:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:30:59,595.45,600.0,595.45,600.0,0,0,14361.9
2021-03-19 09:31:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:31:59,598.8,601.25,587.6,600.75,0,0,14363.05
2021-03-19 09:32:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:32:59,599.4,599.4,587.6,587.6,0,0,14377.9
2021-03-19 09:33:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:33:59,591.35,600.9,590.65,590.65,0,0,14376.2
2021-03-19 09:34:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:34:59,579.9,579.9,579.9,579.9,0,0,14394.8
2021-03-19 09:35:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:35:59,571.0,571.0,561.0,561.0,0,0,14409.9
2021-03-19 09:36:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:36:59,577.05,577.05,577.05,577.05,0,0,14385.05
2021-03-19 09:37:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:37:59,588.55,588.55,588.55,588.55,0,0,14385.6
2021-03-19 09:38:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:38:59,582.1,582.1,574.45,574.45,0,0,14411.95
2021-03-19 09:39:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:39:59,555.0,555.0,550.7,550.7,0,0,14404.55
2021-03-19 09:40:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:40:59,555.0,555.0,550.7,550.7,0,0,14423.1
2021-03-19 09:41:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:41:59,555.0,555.0,550.7,550.7,0,0,14427.2
2021-03-19 09:42:59,NIFTY,25MAR21,14950,PE,2021-03-19,09:42:59,545.25,550.0,544.3,544.3,0,0,14427.45
