datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-11-22 09:15:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:15:59,7.65,9.7,4.95,7.8,0,0,17724.4
2021-11-22 09:16:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:16:59,7.85,8.05,6.95,7.35,0,0,17694.7
2021-11-22 09:17:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:17:59,7.35,8.8,7.3,8.4,0,0,17676.75
2021-11-22 09:18:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:18:59,8.4,8.9,8.1,8.45,0,0,17671.75
2021-11-22 09:19:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:19:59,8.4,8.4,7.55,8.2,0,0,17682.2
2021-11-22 09:20:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:20:59,8.05,9.0,7.85,9.0,0,0,17650.95
2021-11-22 09:21:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:21:59,9.2,10.15,8.9,9.95,0,0,17628.3
2021-11-22 09:22:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:22:59,9.95,10.3,9.05,9.85,0,0,17634.5
2021-11-22 09:23:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:23:59,10.1,10.45,9.4,10.0,0,0,17631.6
2021-11-22 09:24:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:24:59,10.05,10.8,9.95,10.2,0,0,17632.65
2021-11-22 09:25:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:25:59,9.95,10.05,8.75,8.85,0,0,17656.85
2021-11-22 09:26:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:26:59,8.9,9.6,8.65,9.3,0,0,17655.25
2021-11-22 09:27:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:27:59,9.0,9.15,8.6,9.05,0,0,17661.5
2021-11-22 09:28:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:28:59,9.2,10.25,9.05,9.95,0,0,17637.65
2021-11-22 09:29:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:29:59,9.85,10.2,9.3,10.1,0,0,17632.65
2021-11-22 09:30:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:30:59,10.4,10.4,8.7,8.85,0,0,17656.65
2021-11-22 09:31:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:31:59,8.8,9.2,8.5,8.8,0,0,17665.75
2021-11-22 09:32:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:32:59,8.95,9.2,8.6,8.6,0,0,17670.55
2021-11-22 09:33:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:33:59,8.5,9.85,8.4,9.65,0,0,17652.85
2021-11-22 09:34:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:34:59,9.55,9.55,8.8,9.25,0,0,17658.95
2021-11-22 09:35:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:35:59,9.3,9.4,8.55,9.15,0,0,17657.8
2021-11-22 09:36:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:36:59,9.05,9.05,8.65,8.95,0,0,17657.45
2021-11-22 09:37:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:37:59,8.9,9.1,8.75,8.8,0,0,17660.5
2021-11-22 09:38:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:38:59,8.9,9.05,8.55,8.55,0,0,17665.95
2021-11-22 09:39:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:39:59,8.5,9.55,8.5,9.05,0,0,17645.15
2021-11-22 09:40:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:40:59,9.15,9.15,8.4,8.65,0,0,17659.3
2021-11-22 09:41:59,NIFTY,25NOV21,17050,PE,2021-11-22,09:41:59,8.6,8.8,8.35,8.35,0,0,17662.3
