datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-09-24 09:15:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:15:59,113.8,113.8,89.75,93.15,0,0,17911.35
2021-09-24 09:16:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:16:59,93.1,93.1,87.15,87.8,0,0,17924.9
2021-09-24 09:17:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:17:59,88.0,88.0,85.15,85.75,0,0,17932.1
2021-09-24 09:18:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:18:59,86.4,89.5,86.4,87.95,0,0,17920.0
2021-09-24 09:19:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:19:59,88.2,88.2,82.6,82.75,0,0,17932.65
2021-09-24 09:20:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:20:59,82.6,83.85,80.0,80.65,0,0,17944.8
2021-09-24 09:21:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:21:59,80.75,83.9,80.75,83.8,0,0,17933.55
2021-09-24 09:22:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:22:59,83.8,85.85,82.2,83.4,0,0,17934.1
2021-09-24 09:23:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:23:59,83.05,86.55,83.05,86.05,0,0,17919.65
2021-09-24 09:24:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:24:59,86.2,91.15,86.05,86.3,0,0,17915.2
2021-09-24 09:25:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:25:59,86.85,92.7,86.8,92.65,0,0,17896.05
2021-09-24 09:26:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:26:59,92.0,93.1,88.8,89.4,0,0,17907.35
2021-09-24 09:27:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:27:59,89.45,94.95,89.45,93.6,0,0,17894.05
2021-09-24 09:28:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:28:59,93.25,93.25,86.85,86.85,0,0,17916.05
2021-09-24 09:29:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:29:59,86.3,89.6,83.55,89.0,0,0,17909.95
2021-09-24 09:30:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:30:59,89.85,93.8,88.95,92.3,0,0,17898.05
2021-09-24 09:31:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:31:59,92.7,94.35,89.0,91.55,0,0,17907.55
2021-09-24 09:32:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:32:59,92.1,92.95,88.65,88.7,0,0,17910.85
2021-09-24 09:33:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:33:59,88.5,89.05,86.65,87.35,0,0,17914.15
2021-09-24 09:34:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:34:59,87.6,89.3,87.15,88.0,0,0,17919.3
2021-09-24 09:35:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:35:59,87.55,90.5,83.85,84.65,0,0,17927.1
2021-09-24 09:36:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:36:59,84.5,87.85,84.45,86.25,0,0,17921.1
2021-09-24 09:37:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:37:59,86.2,86.55,85.25,85.75,0,0,17922.75
2021-09-24 09:38:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:38:59,85.7,87.55,85.0,86.0,0,0,17918.65
2021-09-24 09:39:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:39:59,86.15,90.75,86.1,90.0,0,0,17907.4
2021-09-24 09:40:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:40:59,89.45,89.5,86.05,87.95,0,0,17910.1
2021-09-24 09:41:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:41:59,87.9,91.75,87.7,88.35,0,0,17908.85
2021-09-24 09:42:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:42:59,88.4,89.9,87.45,89.7,0,0,17907.85
2021-09-24 09:43:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:43:59,90.1,91.5,84.9,84.9,0,0,17919.65
2021-09-24 09:44:59,NIFTY,30SEP21,17800,PE,2021-09-24,09:44:59,85.2,88.0,85.2,87.1,0,0,17914.1
