Datetime,Option Type,Strike,Qty,Sell,Sell Value,Buy Value,ID
2021-04-23 09:15:59,CE,14350,1,True,186.35,0,0
2021-04-23 09:15:59,PE,14350,1,True,184.35,0,0
2021-04-23 15:19:59,CE,14350,1,False,0,163.5,2021-04-23 09:15:59
2021-04-23 15:19:59,PE,14350,1,False,0,169.15,2021-04-23 09:15:59
2021-04-26 09:15:59,CE,14450,1,True,141.85,0,0
2021-04-26 09:15:59,PE,14450,1,True,146.05,0,0
2021-04-26 10:00:59,PE,14650,4,True,196.5,0,0
2021-04-26 15:19:59,CE,14450,1,False,0,153.6,2021-04-26 09:15:59
2021-04-26 15:19:59,PE,14450,1,False,0,118.25,2021-04-26 09:15:59
2021-04-26 15:19:59,PE,14650,4,False,0,221.0,2021-04-26 10:00:59
2021-04-27 09:15:59,CE,14550,1,True,107.45,0,0
2021-04-27 09:15:59,PE,14550,1,True,131.5,0,0
2021-04-27 12:00:59,PE,14700,4,True,149.65,0,0
2021-04-27 15:19:59,CE,14550,1,False,0,161.2,2021-04-27 09:15:59
2021-04-27 15:19:59,PE,14550,1,False,0,63.35,2021-04-27 09:15:59
2021-04-27 15:19:59,PE,14700,4,False,0,120.6,2021-04-27 12:00:59
2021-04-28 09:15:59,CE,14700,1,True,91.4,0,0
2021-04-28 09:15:59,PE,14700,1,True,77.95,0,0
2021-04-28 12:00:59,PE,14850,4,True,111.7,0,0
2021-04-28 12:45:59,PE,14950,4,True,145.6,0,0
2021-04-28 15:19:59,CE,14700,1,False,0,177.1,2021-04-28 09:15:59
2021-04-28 15:19:59,PE,14700,1,False,0,25.7,2021-04-28 09:15:59
2021-04-28 15:19:59,PE,14850,4,False,0,71.0,2021-04-28 12:00:59
2021-04-28 15:19:59,PE,14950,4,False,0,128.25,2021-04-28 12:45:59
2021-04-29 09:15:59,CE,15000,1,True,52.5,0,0
2021-04-29 09:15:59,PE,15000,1,True,57.45,0,0
2021-04-29 10:00:59,CE,14850,4,True,95.1,0,0
2021-04-29 10:45:59,CE,14750,4,True,135.7,0,0
2021-04-29 13:00:59,PE,14850,4,True,11.25,0,0
2021-04-29 14:00:59,CE,14800,4,True,102.2,0,0
2021-04-29 15:19:59,CE,15000,1,False,0,0.15,2021-04-29 09:15:59
2021-04-29 15:19:59,PE,15000,1,False,0,104.55,2021-04-29 09:15:59
2021-04-29 15:19:59,CE,14850,4,False,0,45.45,2021-04-29 10:00:59
2021-04-29 15:19:59,CE,14750,4,False,0,145.65,2021-04-29 10:45:59
2021-04-29 15:19:59,PE,14850,4,False,0,0.1,2021-04-29 13:00:59
2021-04-29 15:19:59,CE,14800,4,False,0,95.35,2021-04-29 14:00:59
