Datetime,Option Type,Strike,Qty,Sell,Sell Value,Buy Value,ID
2021-08-20 09:15:59,CE,16450,1,True,90.15,0,0
2021-08-20 09:15:59,PE,16450,1,True,126.85,0,0
2021-08-20 09:45:59,PE,16500,4,True,127.35,0,0
2021-08-20 15:19:59,CE,16450,1,False,0,89.55,2021-08-20 09:15:59
2021-08-20 15:19:59,PE,16450,1,False,0,108.35,2021-08-20 09:15:59
2021-08-20 15:19:59,PE,16500,4,False,0,135.5,2021-08-20 09:45:59
2021-08-23 09:15:59,CE,16550,1,True,81.8,0,0
2021-08-23 09:15:59,PE,16550,1,True,81.0,0,0
2021-08-23 10:00:59,CE,16450,4,True,115.8,0,0
2021-08-23 10:45:59,CE,16300,4,True,177.7,0,0
2021-08-23 12:15:59,PE,16450,4,True,60.95,0,0
2021-08-23 15:19:59,CE,16550,1,False,0,50.7,2021-08-23 09:15:59
2021-08-23 15:19:59,PE,16550,1,False,0,109.55,2021-08-23 09:15:59
2021-08-23 15:19:59,CE,16450,4,False,0,102.8,2021-08-23 10:00:59
2021-08-23 15:19:59,CE,16300,4,False,0,216.0,2021-08-23 10:45:59
2021-08-23 15:19:59,PE,16450,4,False,0,61.9,2021-08-23 12:15:59
2021-08-24 09:15:59,CE,16550,1,True,64.45,0,0
2021-08-24 09:15:59,PE,16550,1,True,74.7,0,0
2021-08-24 13:45:59,PE,16650,4,True,93.35,0,0
2021-08-24 14:30:59,PE,16700,4,True,97.15,0,0
2021-08-24 15:19:59,CE,16550,1,False,0,105.85,2021-08-24 09:15:59
2021-08-24 15:19:59,PE,16550,1,False,0,31.35,2021-08-24 09:15:59
2021-08-24 15:19:59,PE,16650,4,False,0,68.6,2021-08-24 13:45:59
2021-08-24 15:19:59,PE,16700,4,False,0,99.05,2021-08-24 14:30:59
2021-08-25 09:15:59,CE,16650,1,True,52.0,0,0
2021-08-25 09:15:59,PE,16650,1,True,51.9,0,0
2021-08-25 09:30:59,PE,16750,4,True,86.8,0,0
2021-08-25 09:45:59,CE,16650,4,True,53.0,0,0
2021-08-25 10:45:59,PE,16700,4,True,59.9,0,0
2021-08-25 11:45:59,CE,16600,4,True,69.35,0,0
2021-08-25 12:15:59,PE,16650,4,True,46.35,0,0
2021-08-25 15:19:59,CE,16650,1,False,0,32.9,2021-08-25 09:15:59
2021-08-25 15:19:59,PE,16650,1,False,0,49.25,2021-08-25 09:15:59
2021-08-25 15:19:59,PE,16750,4,False,0,122.05,2021-08-25 09:30:59
2021-08-25 15:19:59,CE,16650,4,False,0,32.9,2021-08-25 09:45:59
2021-08-25 15:19:59,PE,16700,4,False,0,80.85,2021-08-25 10:45:59
2021-08-25 15:19:59,CE,16600,4,False,0,61.45,2021-08-25 11:45:59
2021-08-25 15:19:59,PE,16650,4,False,0,49.25,2021-08-25 12:15:59
2021-08-26 09:15:59,CE,16650,1,True,25.55,0,0
2021-08-26 09:15:59,PE,16650,1,True,50.8,0,0
2021-08-26 10:00:59,PE,16650,4,True,29.25,0,0
2021-08-26 14:45:59,CE,16600,4,True,20.8,0,0
2021-08-26 15:19:59,CE,16650,1,False,0,0.25,2021-08-26 09:15:59
2021-08-26 15:19:59,PE,16650,1,False,0,10.25,2021-08-26 09:15:59
2021-08-26 15:19:59,PE,16650,4,False,0,10.25,2021-08-26 10:00:59
2021-08-26 15:19:59,CE,16600,4,False,0,40.0,2021-08-26 14:45:59
