Datetime,Option Type,Strike,Qty,Sell,Sell Value,Buy Value,ID
2021-01-22 09:15:59,CE,14550,1,True,145.3,0,0
2021-01-22 09:15:59,PE,14550,1,True,151.3,0,0
2021-01-22 13:00:59,CE,14300,4,True,227.85,0,0
2021-01-22 15:19:59,CE,14550,1,False,0,67.6,2021-01-22 09:15:59
2021-01-22 15:19:59,PE,14550,1,False,0,227.65,2021-01-22 09:15:59
2021-01-22 15:19:59,CE,14300,4,False,0,189.5,2021-01-22 13:00:59
2021-01-25 09:15:59,CE,14450,1,True,131.25,0,0
2021-01-25 09:15:59,PE,14450,1,True,117.6,0,0
2021-01-25 09:45:59,CE,14200,4,True,197.95,0,0
2021-01-25 10:30:59,PE,14400,4,True,96.6,0,0
2021-01-25 10:45:59,CE,14300,4,True,159.85,0,0
2021-01-25 15:15:59,CE,14100,4,True,202.2,0,0
2021-01-25 15:19:59,CE,14450,1,False,0,25.95,2021-01-25 09:15:59
2021-01-25 15:19:59,PE,14450,1,False,0,229.95,2021-01-25 09:15:59
2021-01-25 15:19:59,CE,14200,4,False,0,127.2,2021-01-25 09:45:59
2021-01-25 15:19:59,PE,14400,4,False,0,190.4,2021-01-25 10:30:59
2021-01-25 15:19:59,CE,14300,4,False,0,74.5,2021-01-25 10:45:59
2021-01-25 15:19:59,CE,14100,4,False,0,195.6,2021-01-25 15:15:59
2021-01-27 09:15:59,CE,14150,1,True,105.9,0,0
2021-01-27 09:15:59,PE,14150,1,True,84.6,0,0
2021-01-27 13:15:59,CE,14000,4,True,122.65,0,0
2021-01-27 14:15:59,CE,13800,4,True,204.85,0,0
2021-01-27 15:19:59,CE,14150,1,False,0,14.25,2021-01-27 09:15:59
2021-01-27 15:19:59,PE,14150,1,False,0,175.15,2021-01-27 09:15:59
2021-01-27 15:19:59,CE,14000,4,False,0,58.8,2021-01-27 13:15:59
2021-01-27 15:19:59,CE,13800,4,False,0,203.9,2021-01-27 14:15:59
2021-01-28 09:15:59,CE,13850,1,True,63.2,0,0
2021-01-28 09:15:59,PE,13850,1,True,48.5,0,0
2021-01-28 12:15:59,CE,13800,4,True,52.45,0,0
2021-01-28 12:45:59,CE,13650,4,True,111.0,0,0
2021-01-28 13:30:59,PE,13800,4,True,24.7,0,0
2021-01-28 14:00:59,CE,13700,4,True,89.8,0,0
2021-01-28 15:19:59,CE,13850,1,False,0,0.3,2021-01-28 09:15:59
2021-01-28 15:19:59,PE,13850,1,False,0,32.25,2021-01-28 09:15:59
2021-01-28 15:19:59,CE,13800,4,False,0,18.45,2021-01-28 12:15:59
2021-01-28 15:19:59,CE,13650,4,False,0,168.05,2021-01-28 12:45:59
2021-01-28 15:19:59,PE,13800,4,False,0,0.25,2021-01-28 13:30:59
2021-01-28 15:19:59,CE,13700,4,False,0,118.0,2021-01-28 14:00:59
