Datetime,Option Type,Strike,Qty,Sell,Sell Value,Buy Value,ID
2021-07-23 09:15:59,CE,15850,1,True,77.35,0,0
2021-07-23 09:15:59,PE,15850,1,True,89.75,0,0
2021-07-23 09:45:59,CE,15700,4,True,131.85,0,0
2021-07-23 10:00:59,PE,15800,4,True,66.8,0,0
2021-07-23 14:00:59,PE,15950,4,True,108.7,0,0
2021-07-23 15:19:59,CE,15850,1,False,0,78.85,2021-07-23 09:15:59
2021-07-23 15:19:59,PE,15850,1,False,0,74.1,2021-07-23 09:15:59
2021-07-23 15:19:59,CE,15700,4,False,0,184.45,2021-07-23 09:45:59
2021-07-23 15:19:59,PE,15800,4,False,0,55.25,2021-07-23 10:00:59
2021-07-23 15:19:59,PE,15950,4,False,0,130.0,2021-07-23 14:00:59
2021-07-26 09:15:59,CE,15800,1,True,75.6,0,0
2021-07-26 09:15:59,PE,15800,1,True,76.4,0,0
2021-07-26 09:30:59,PE,15900,4,True,106.15,0,0
2021-07-26 15:19:59,CE,15800,1,False,0,81.8,2021-07-26 09:15:59
2021-07-26 15:19:59,PE,15800,1,False,0,58.85,2021-07-26 09:15:59
2021-07-26 15:19:59,PE,15900,4,False,0,111.75,2021-07-26 09:30:59
2021-07-27 09:15:59,CE,15900,1,True,46.45,0,0
2021-07-27 09:15:59,PE,15900,1,True,80.8,0,0
2021-07-27 12:30:59,CE,15700,4,True,125.6,0,0
2021-07-27 13:00:59,CE,15600,4,True,167.2,0,0
2021-07-27 15:19:59,CE,15900,1,False,0,12.4,2021-07-27 09:15:59
2021-07-27 15:19:59,PE,15900,1,False,0,178.65,2021-07-27 09:15:59
2021-07-27 15:19:59,CE,15700,4,False,0,79.5,2021-07-27 12:30:59
2021-07-27 15:19:59,CE,15600,4,False,0,151.05,2021-07-27 13:00:59
2021-07-28 09:15:59,CE,15700,1,True,70.35,0,0
2021-07-28 09:15:59,PE,15700,1,True,54.0,0,0
2021-07-28 09:30:59,CE,15650,4,True,73.3,0,0
2021-07-28 10:30:59,CE,15500,4,True,132.15,0,0
2021-07-28 10:45:59,CE,15350,4,True,206.35,0,0
2021-07-28 12:15:59,PE,15550,4,True,27.1,0,0
2021-07-28 13:45:59,PE,15700,4,True,55.4,0,0
2021-07-28 14:30:59,CE,15600,4,True,82.95,0,0
2021-07-28 15:00:59,PE,15700,4,True,45.4,0,0
2021-07-28 15:19:59,CE,15700,1,False,0,50.95,2021-07-28 09:15:59
2021-07-28 15:19:59,PE,15700,1,False,0,42.4,2021-07-28 09:15:59
2021-07-28 15:19:59,CE,15650,4,False,0,82.65,2021-07-28 09:30:59
2021-07-28 15:19:59,CE,15500,4,False,0,214.35,2021-07-28 10:30:59
2021-07-28 15:19:59,CE,15350,4,False,0,362.45,2021-07-28 10:45:59
2021-07-28 15:19:59,PE,15550,4,False,0,9.0,2021-07-28 12:15:59
2021-07-28 15:19:59,PE,15700,4,False,0,42.4,2021-07-28 13:45:59
2021-07-28 15:19:59,CE,15600,4,False,0,122.35,2021-07-28 14:30:59
2021-07-28 15:19:59,PE,15700,4,False,0,42.4,2021-07-28 15:00:59
2021-07-29 09:15:59,CE,15800,1,True,17.95,0,0
2021-07-29 09:15:59,PE,15800,1,True,64.85,0,0
2021-07-29 15:19:59,CE,15800,1,False,0,0.1,2021-07-29 09:15:59
2021-07-29 15:19:59,PE,15800,1,False,0,24.1,2021-07-29 09:15:59
