Datetime,Option Type,Strike,Qty,Sell,Sell Value,Buy Value,ID
2021-05-21 09:15:59,CE,15000,1,True,140.45,0,0
2021-05-21 09:15:59,PE,15000,1,True,114.55,0,0
2021-05-21 10:30:59,PE,15250,4,True,198.85,0,0
2021-05-21 14:45:59,PE,15450,4,True,271.8,0,0
2021-05-21 15:19:59,CE,15000,1,False,0,257.0,2021-05-21 09:15:59
2021-05-21 15:19:59,PE,15000,1,False,0,47.75,2021-05-21 09:15:59
2021-05-21 15:19:59,PE,15250,4,False,0,135.0,2021-05-21 10:30:59
2021-05-21 15:19:59,PE,15450,4,False,0,269.1,2021-05-21 14:45:59
2021-05-24 09:15:59,CE,15250,1,True,100.0,0,0
2021-05-24 09:15:59,PE,15250,1,True,125.2,0,0
2021-05-24 15:19:59,CE,15250,1,False,0,71.2,2021-05-24 09:15:59
2021-05-24 15:19:59,PE,15250,1,False,0,120.0,2021-05-24 09:15:59
2021-05-25 09:15:59,CE,15250,1,True,96.1,0,0
2021-05-25 09:15:59,PE,15250,1,True,68.65,0,0
2021-05-25 13:30:59,CE,15200,4,True,88.75,0,0
2021-05-25 15:19:59,CE,15250,1,False,0,56.2,2021-05-25 09:15:59
2021-05-25 15:19:59,PE,15250,1,False,0,91.65,2021-05-25 09:15:59
2021-05-25 15:19:59,CE,15200,4,False,0,82.2,2021-05-25 13:30:59
2021-05-26 09:15:59,CE,15250,1,True,61.95,0,0
2021-05-26 09:15:59,PE,15250,1,True,64.75,0,0
2021-05-26 11:00:59,PE,15350,4,True,90.9,0,0
2021-05-26 15:19:59,CE,15250,1,False,0,90.45,2021-05-26 09:15:59
2021-05-26 15:19:59,PE,15250,1,False,0,29.75,2021-05-26 09:15:59
2021-05-26 15:19:59,PE,15350,4,False,0,72.45,2021-05-26 11:00:59
2021-05-27 09:15:59,CE,15300,1,True,45.65,0,0
2021-05-27 09:15:59,PE,15300,1,True,41.95,0,0
2021-05-27 11:30:59,PE,15400,4,True,65.2,0,0
2021-05-27 15:19:59,CE,15300,1,False,0,36.95,2021-05-27 09:15:59
2021-05-27 15:19:59,PE,15300,1,False,0,0.1,2021-05-27 09:15:59
2021-05-27 15:19:59,PE,15400,4,False,0,63.05,2021-05-27 11:30:59
