Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,29APR21,15650,CE,2021-04-23,09:17:59,1.15,1.15,1.15,1.15,525,19875
NIFTY,29APR21,15650,CE,2021-04-23,09:19:59,1.85,1.85,1.85,1.85,75,19875
NIFTY,29APR21,15650,CE,2021-04-23,09:23:59,1.25,1.25,1.25,1.25,75,19875
NIFTY,29APR21,15650,CE,2021-04-23,09:24:59,1.25,1.25,1.25,1.25,75,19875
NIFTY,29APR21,15650,CE,2021-04-23,09:34:59,1.55,1.55,1.55,1.55,75,19950
NIFTY,29APR21,15650,CE,2021-04-23,09:35:59,1.55,1.55,1.55,1.55,2400,19950
NIFTY,29APR21,15650,CE,2021-04-23,09:50:59,1.45,1.45,1.45,1.45,150,17475
NIFTY,29APR21,15650,CE,2021-04-23,10:08:59,1.2,1.2,1.2,1.2,300,17325
NIFTY,29APR21,15650,CE,2021-04-23,10:15:59,1.55,1.55,1.55,1.55,150,17325
NIFTY,29APR21,15650,CE,2021-04-23,10:17:59,1.45,1.45,1.45,1.45,75,17175
NIFTY,29APR21,15650,CE,2021-04-23,10:21:59,1.5,1.5,1.5,1.5,150,17250
NIFTY,29APR21,15650,CE,2021-04-23,10:23:59,1.45,1.45,1.45,1.45,75,17100
NIFTY,29APR21,15650,CE,2021-04-23,10:31:59,1.45,1.45,1.45,1.45,150,17175
NIFTY,29APR21,15650,CE,2021-04-23,10:33:59,1.45,1.45,1.45,1.45,150,17025
NIFTY,29APR21,15650,CE,2021-04-23,10:45:59,1.4,1.4,1.4,1.4,75,16875
NIFTY,29APR21,15650,CE,2021-04-23,10:46:59,1.45,1.45,1.45,1.45,375,16875
NIFTY,29APR21,15650,CE,2021-04-23,10:56:59,1.45,1.45,1.45,1.45,75,16950
NIFTY,29APR21,15650,CE,2021-04-23,11:11:59,1.5,1.5,1.5,1.5,450,16950
NIFTY,29APR21,15650,CE,2021-04-23,11:12:59,1.5,1.5,1.5,1.5,150,16950
NIFTY,29APR21,15650,CE,2021-04-23,11:15:59,1.6,1.6,1.6,1.6,1875,16350
NIFTY,29APR21,15650,CE,2021-04-23,11:16:59,1.6,1.65,1.6,1.65,675,16350
NIFTY,29APR21,15650,CE,2021-04-23,12:13:59,1.25,1.25,1.25,1.25,150,14700
NIFTY,29APR21,15650,CE,2021-04-23,12:31:59,1.55,1.55,1.55,1.55,150,14550
NIFTY,29APR21,15650,CE,2021-04-23,13:04:59,1.5,1.5,1.5,1.5,75,14700
NIFTY,29APR21,15650,CE,2021-04-23,13:14:59,1.3,1.3,1.3,1.3,75,14700
NIFTY,29APR21,15650,CE,2021-04-23,13:47:59,1.4,1.4,1.4,1.4,75,14625
NIFTY,29APR21,15650,CE,2021-04-23,13:48:59,1.45,1.45,1.45,1.45,375,14550
NIFTY,29APR21,15650,CE,2021-04-23,13:49:59,1.45,1.45,1.45,1.45,225,14550
NIFTY,29APR21,15650,CE,2021-04-23,13:56:59,1.45,1.45,1.45,1.45,150,14550
NIFTY,29APR21,15650,CE,2021-04-23,14:01:59,1.4,1.4,1.4,1.4,75,14550
NIFTY,29APR21,15650,CE,2021-04-23,14:17:59,1.5,1.5,1.5,1.5,75,14475
NIFTY,29APR21,15650,CE,2021-04-23,14:20:59,1.4,1.4,1.4,1.4,75,14475
NIFTY,29APR21,15650,CE,2021-04-23,14:37:59,1.1,1.1,1.1,1.1,75,14400
NIFTY,29APR21,15650,CE,2021-04-23,14:42:59,1.3,1.3,1.3,1.3,225,14400
NIFTY,29APR21,15650,CE,2021-04-23,14:44:59,1.45,1.45,1.45,1.45,600,14400
NIFTY,29APR21,15650,CE,2021-04-23,14:48:59,1.3,1.45,1.25,1.25,600,14700
NIFTY,29APR21,15650,CE,2021-04-23,14:57:59,1.45,1.45,1.45,1.45,75,14925
NIFTY,29APR21,15650,CE,2021-04-23,15:11:59,1.4,1.4,1.4,1.4,75,15000
NIFTY,29APR21,15650,CE,2021-04-23,15:18:59,1.35,1.35,1.35,1.35,375,15000
NIFTY,29APR21,15650,CE,2021-04-23,15:25:59,1.15,1.15,1.15,1.15,300,15075
NIFTY,29APR21,15650,CE,2021-04-23,15:27:59,1.25,1.25,1.25,1.25,150,15075
NIFTY,29APR21,15650,CE,2021-04-23,15:28:59,0.95,1.2,0.95,1.2,900,14625
NIFTY,29APR21,15650,CE,2021-04-26,09:15:59,0.75,0.75,0.75,0.75,75,14550
NIFTY,29APR21,15650,CE,2021-04-26,09:22:59,0.85,0.85,0.85,0.85,225,14625
NIFTY,29APR21,15650,CE,2021-04-26,09:23:59,1.4,1.4,1.4,1.4,75,14625
NIFTY,29APR21,15650,CE,2021-04-26,09:24:59,1.15,1.3,1.0,1.0,375,14625
NIFTY,29APR21,15650,CE,2021-04-26,09:31:59,1.4,1.4,1.4,1.4,150,14550
NIFTY,29APR21,15650,CE,2021-04-26,09:32:59,1.1,1.1,1.0,1.0,225,14700
NIFTY,29APR21,15650,CE,2021-04-26,09:33:59,1.0,1.0,1.0,1.0,75,14700
NIFTY,29APR21,15650,CE,2021-04-26,09:34:59,1.3,1.3,1.3,1.3,75,14700
NIFTY,29APR21,15650,CE,2021-04-26,09:38:59,1.25,1.25,1.25,1.25,375,14775
NIFTY,29APR21,15650,CE,2021-04-26,09:44:59,1.2,1.2,1.2,1.2,75,15150
NIFTY,29APR21,15650,CE,2021-04-26,10:06:59,1.0,1.0,1.0,1.0,75,15150
NIFTY,29APR21,15650,CE,2021-04-26,10:13:59,1.0,1.0,1.0,1.0,75,15225
NIFTY,29APR21,15650,CE,2021-04-26,10:20:59,1.0,1.0,1.0,1.0,150,15225
NIFTY,29APR21,15650,CE,2021-04-26,10:22:59,1.15,1.15,1.15,1.15,75,15075
NIFTY,29APR21,15650,CE,2021-04-26,10:57:59,1.9,1.9,1.9,1.9,1950,15000
NIFTY,29APR21,15650,CE,2021-04-26,10:58:59,1.2,1.2,1.2,1.2,300,15000
NIFTY,29APR21,15650,CE,2021-04-26,10:59:59,1.25,1.25,1.25,1.25,900,15000
NIFTY,29APR21,15650,CE,2021-04-26,11:00:59,1.25,1.25,1.25,1.25,300,17625
NIFTY,29APR21,15650,CE,2021-04-26,11:01:59,1.25,1.25,1.25,1.25,525,17625
NIFTY,29APR21,15650,CE,2021-04-26,11:03:59,1.3,1.3,1.3,1.3,150,18150
NIFTY,29APR21,15650,CE,2021-04-26,11:05:59,1.3,1.3,1.3,1.3,150,18150
NIFTY,29APR21,15650,CE,2021-04-26,11:25:59,1.2,1.2,1.2,1.2,225,0
NIFTY,29APR21,15650,CE,2021-04-26,11:57:59,1.15,1.15,1.15,1.15,150,18075
NIFTY,29APR21,15650,CE,2021-04-26,12:03:59,1.15,1.15,1.15,1.15,150,18075
NIFTY,29APR21,15650,CE,2021-04-26,12:18:59,1.15,1.15,1.15,1.15,150,18075
NIFTY,29APR21,15650,CE,2021-04-26,12:29:59,1.05,1.05,1.05,1.05,75,18075
NIFTY,29APR21,15650,CE,2021-04-26,12:30:59,0.95,0.95,0.95,0.95,75,18075
NIFTY,29APR21,15650,CE,2021-04-26,12:33:59,1.1,1.1,1.1,1.1,150,18075
NIFTY,29APR21,15650,CE,2021-04-26,12:54:59,1.15,1.15,1.15,1.15,75,18000
NIFTY,29APR21,15650,CE,2021-04-26,13:07:59,0.9,0.9,0.9,0.9,75,18075
NIFTY,29APR21,15650,CE,2021-04-26,13:08:59,1.1,1.1,1.1,1.1,75,18075
NIFTY,29APR21,15650,CE,2021-04-26,14:05:59,1.05,1.05,1.05,1.05,75,18075
NIFTY,29APR21,15650,CE,2021-04-26,14:21:59,1.1,1.1,1.1,1.1,150,18075
NIFTY,29APR21,15650,CE,2021-04-26,14:23:59,1.15,1.15,1.15,1.15,150,18075
NIFTY,29APR21,15650,CE,2021-04-26,14:25:59,0.85,0.85,0.85,0.85,75,18150
NIFTY,29APR21,15650,CE,2021-04-26,14:26:59,0.9,0.9,0.9,0.9,150,18150
NIFTY,29APR21,15650,CE,2021-04-26,14:28:59,0.9,0.9,0.85,0.85,225,18075
NIFTY,29APR21,15650,CE,2021-04-26,14:33:59,0.85,0.85,0.8,0.8,300,18075
NIFTY,29APR21,15650,CE,2021-04-26,14:34:59,0.8,0.8,0.8,0.8,300,18075
NIFTY,29APR21,15650,CE,2021-04-26,14:36:59,0.8,0.8,0.8,0.8,150,18075
NIFTY,29APR21,15650,CE,2021-04-26,14:42:59,0.75,0.75,0.75,0.75,225,17700
NIFTY,29APR21,15650,CE,2021-04-26,14:49:59,0.9,0.9,0.9,0.9,300,0
NIFTY,29APR21,15650,CE,2021-04-26,15:00:59,0.95,0.95,0.85,0.85,750,17850
NIFTY,29APR21,15650,CE,2021-04-26,15:01:59,0.9,0.9,0.9,0.9,150,17925
NIFTY,29APR21,15650,CE,2021-04-26,15:02:59,0.75,0.75,0.75,0.75,75,17925
NIFTY,29APR21,15650,CE,2021-04-26,15:12:59,0.8,0.8,0.8,0.8,75,18000
NIFTY,29APR21,15650,CE,2021-04-26,15:18:59,0.8,0.8,0.8,0.8,75,18000
