Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,29APR21,16200,PE,2021-04-23,09:18:59,1830.5,1830.5,1830.5,1830.5,75,4650
NIFTY,29APR21,16200,PE,2021-04-23,11:04:59,1771.9,1771.9,1771.9,1771.9,75,4650
NIFTY,29APR21,16200,PE,2021-04-23,14:47:59,1901.9,1901.9,1901.9,1901.9,75,4650
NIFTY,29APR21,16200,PE,2021-04-26,09:29:59,1711.75,1711.75,1711.75,1711.75,75,4575
NIFTY,29APR21,16200,PE,2021-04-26,09:57:59,1670.0,1670.0,1669.65,1670.0,1500,4500
NIFTY,29APR21,16200,PE,2021-04-26,09:59:59,1660.0,1660.0,1660.0,1660.0,1050,4500
NIFTY,29APR21,16200,PE,2021-04-26,10:00:59,1655.0,1655.0,1655.0,1655.0,1200,2025
NIFTY,29APR21,16200,PE,2021-04-27,12:17:59,1586.5,1586.5,1586.5,1586.5,75,2025
NIFTY,29APR21,16200,PE,2021-04-28,11:07:59,1438.0,1438.0,1438.0,1438.0,75,1950
NIFTY,29APR21,16200,PE,2021-04-28,11:50:59,1438.0,1438.0,1438.0,1438.0,150,1950
NIFTY,29APR21,16200,PE,2021-04-29,09:37:59,1174.0,1174.0,1174.0,1174.0,75,1950
NIFTY,29APR21,16200,PE,2021-04-29,12:34:59,1300.0,1300.0,1300.0,1300.0,225,1950
NIFTY,29APR21,16200,PE,2021-04-29,14:43:59,1294.9,1294.9,1294.9,1294.9,75,1950
NIFTY,29APR21,16200,PE,2021-04-29,15:08:59,1306.9,1306.9,1306.9,1306.9,75,1950
NIFTY,29APR21,16200,PE,2021-04-29,15:25:59,1329.45,1329.45,1329.45,1329.45,75,1875
