Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,26AUG21,16700,PE,2021-08-20,09:15:59,275.0,348.65,275.0,301.65,75400,1069500
NIFTY,26AUG21,16700,PE,2021-08-20,09:16:59,300.6,310.75,300.15,309.0,65900,1069500
NIFTY,26AUG21,16700,PE,2021-08-20,09:17:59,310.85,318.0,308.75,310.3,44250,1047150
NIFTY,26AUG21,16700,PE,2021-08-20,09:18:59,309.9,310.0,283.05,283.05,61500,1047150
NIFTY,26AUG21,16700,PE,2021-08-20,09:19:59,283.35,283.35,271.35,271.4,37400,1047150
NIFTY,26AUG21,16700,PE,2021-08-20,09:20:59,274.65,282.95,274.1,281.65,30100,1023200
NIFTY,26AUG21,16700,PE,2021-08-20,09:21:59,282.9,296.85,278.0,283.45,47200,1023200
NIFTY,26AUG21,16700,PE,2021-08-20,09:22:59,284.5,298.15,284.5,285.0,31450,1023200
NIFTY,26AUG21,16700,PE,2021-08-20,09:23:59,285.1,289.85,283.95,284.3,21850,1011900
NIFTY,26AUG21,16700,PE,2021-08-20,09:24:59,283.7,289.5,279.7,279.7,16100,1011900
NIFTY,26AUG21,16700,PE,2021-08-20,09:25:59,279.2,285.2,268.75,273.15,21150,1011900
NIFTY,26AUG21,16700,PE,2021-08-20,09:26:59,271.25,276.75,257.7,275.25,36350,994350
NIFTY,26AUG21,16700,PE,2021-08-20,09:27:59,275.0,283.1,270.0,272.0,30150,994350
NIFTY,26AUG21,16700,PE,2021-08-20,09:28:59,271.5,277.0,267.4,268.8,35300,994350
NIFTY,26AUG21,16700,PE,2021-08-20,09:29:59,268.0,275.1,266.25,270.2,18450,965050
NIFTY,26AUG21,16700,PE,2021-08-20,09:30:59,269.15,277.35,266.75,270.5,20000,965050
NIFTY,26AUG21,16700,PE,2021-08-20,09:31:59,267.3,269.5,260.75,261.55,25350,965050
NIFTY,26AUG21,16700,PE,2021-08-20,09:32:59,259.55,262.2,253.8,261.7,30800,941550
NIFTY,26AUG21,16700,PE,2021-08-20,09:33:59,264.0,264.0,253.9,256.95,17150,941550
NIFTY,26AUG21,16700,PE,2021-08-20,09:34:59,256.55,265.0,255.5,255.8,16750,941550
NIFTY,26AUG21,16700,PE,2021-08-20,09:35:59,254.65,261.9,252.5,261.9,12850,931300
NIFTY,26AUG21,16700,PE,2021-08-20,09:36:59,259.8,259.8,251.7,257.15,14200,931300
NIFTY,26AUG21,16700,PE,2021-08-20,09:37:59,258.1,260.0,254.0,254.95,21150,931300
NIFTY,26AUG21,16700,PE,2021-08-20,09:38:59,252.0,252.0,246.8,250.55,40100,919600
NIFTY,26AUG21,16700,PE,2021-08-20,09:39:59,249.35,250.95,247.6,247.6,27350,919600
NIFTY,26AUG21,16700,PE,2021-08-20,09:40:59,247.0,249.15,241.8,247.4,28850,919600
NIFTY,26AUG21,16700,PE,2021-08-20,09:41:59,248.35,248.35,240.2,246.25,16400,906200
NIFTY,26AUG21,16700,PE,2021-08-20,09:42:59,246.7,250.0,242.0,249.05,17100,906200
NIFTY,26AUG21,16700,PE,2021-08-20,09:43:59,248.4,249.05,243.0,244.4,27100,906200
NIFTY,26AUG21,16700,PE,2021-08-20,09:44:59,245.85,249.5,243.85,249.5,15650,900350
NIFTY,26AUG21,16700,PE,2021-08-20,09:45:59,249.8,259.65,249.8,259.2,41200,900350
NIFTY,26AUG21,16700,PE,2021-08-20,09:46:59,259.8,261.15,248.0,249.4,33750,900350
NIFTY,26AUG21,16700,PE,2021-08-20,09:47:59,248.7,257.95,243.45,256.35,15000,895450
NIFTY,26AUG21,16700,PE,2021-08-20,09:48:59,256.1,256.1,245.45,248.0,19600,895450
NIFTY,26AUG21,16700,PE,2021-08-20,09:49:59,246.55,247.3,233.7,237.6,39150,895450
NIFTY,26AUG21,16700,PE,2021-08-20,09:50:59,238.0,241.3,234.1,240.65,19900,891600
