Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,30DEC21,15450,PE,2021-12-24,09:15:59,3.25,3.25,3.25,3.25,50,15300
NIFTY,30DEC21,15450,PE,2021-12-24,09:17:59,2.95,2.95,2.95,2.95,50,15300
NIFTY,30DEC21,15450,PE,2021-12-24,09:18:59,3.05,3.05,2.4,2.4,150,15300
NIFTY,30DEC21,15450,PE,2021-12-24,09:19:59,2.75,2.8,2.7,2.8,350,15300
NIFTY,30DEC21,15450,PE,2021-12-24,09:20:59,2.75,2.75,2.75,2.75,50,15300
NIFTY,30DEC21,15450,PE,2021-12-24,09:21:59,2.55,2.6,2.55,2.6,100,15600
NIFTY,30DEC21,15450,PE,2021-12-24,09:23:59,2.6,2.6,2.6,2.6,100,15600
NIFTY,30DEC21,15450,PE,2021-12-24,09:24:59,2.25,2.6,2.25,2.45,650,15600
NIFTY,30DEC21,15450,PE,2021-12-24,09:25:59,2.45,2.45,2.4,2.4,500,15600
NIFTY,30DEC21,15450,PE,2021-12-24,09:26:59,2.4,2.4,2.4,2.4,50,15600
NIFTY,30DEC21,15450,PE,2021-12-24,09:30:59,2.4,2.4,2.4,2.4,50,15550
NIFTY,30DEC21,15450,PE,2021-12-24,09:35:59,2.75,2.75,2.5,2.5,100,15400
NIFTY,30DEC21,15450,PE,2021-12-24,09:38:59,2.75,2.75,2.75,2.75,100,15450
NIFTY,30DEC21,15450,PE,2021-12-24,09:48:59,2.8,2.8,2.8,2.8,50,15450
NIFTY,30DEC21,15450,PE,2021-12-24,09:56:59,3.15,3.15,3.15,3.15,100,15450
NIFTY,30DEC21,15450,PE,2021-12-24,10:03:59,3.1,3.1,3.1,3.1,100,15500
NIFTY,30DEC21,15450,PE,2021-12-24,10:05:59,3.2,3.2,3.05,3.05,200,15500
NIFTY,30DEC21,15450,PE,2021-12-24,10:07:59,3.15,3.15,2.95,2.95,200,15750
NIFTY,30DEC21,15450,PE,2021-12-24,10:09:59,3.2,3.35,3.2,3.35,150,15850
NIFTY,30DEC21,15450,PE,2021-12-24,10:10:59,3.35,3.35,3.15,3.15,450,15850
NIFTY,30DEC21,15450,PE,2021-12-24,10:12:59,3.2,3.4,3.15,3.15,300,16450
NIFTY,30DEC21,15450,PE,2021-12-24,10:14:59,3.2,3.2,3.2,3.2,100,16450
NIFTY,30DEC21,15450,PE,2021-12-24,10:15:59,3.25,3.25,3.15,3.15,300,16450
NIFTY,30DEC21,15450,PE,2021-12-24,10:20:59,3.15,3.15,3.15,3.15,50,16750
NIFTY,30DEC21,15450,PE,2021-12-24,10:24:59,3.2,3.2,3.2,3.2,100,16700
NIFTY,30DEC21,15450,PE,2021-12-24,10:25:59,3.2,3.2,3.05,3.05,100,16700
NIFTY,30DEC21,15450,PE,2021-12-24,10:27:59,3.05,3.05,3.05,3.05,150,16850
NIFTY,30DEC21,15450,PE,2021-12-24,10:28:59,3.15,3.15,3.0,3.0,100,16850
NIFTY,30DEC21,15450,PE,2021-12-24,10:30:59,3.1,3.1,2.9,3.1,300,17000
NIFTY,30DEC21,15450,PE,2021-12-24,10:31:59,3.0,3.15,3.0,3.0,800,17000
NIFTY,30DEC21,15450,PE,2021-12-24,10:32:59,3.05,3.05,2.95,2.95,450,17000
NIFTY,30DEC21,15450,PE,2021-12-24,10:33:59,3.05,3.05,2.9,3.05,500,17450
NIFTY,30DEC21,15450,PE,2021-12-24,10:34:59,2.9,2.9,2.9,2.9,50,17450
NIFTY,30DEC21,15450,PE,2021-12-24,10:35:59,3.05,3.05,3.05,3.05,100,17450
NIFTY,30DEC21,15450,PE,2021-12-24,10:36:59,3.25,3.25,3.05,3.05,100,17950
NIFTY,30DEC21,15450,PE,2021-12-24,10:39:59,3.2,3.2,3.05,3.2,250,18000
NIFTY,30DEC21,15450,PE,2021-12-24,10:40:59,3.05,3.35,3.05,3.2,6850,18000
NIFTY,30DEC21,15450,PE,2021-12-24,10:41:59,3.25,3.25,3.25,3.25,100,18000
NIFTY,30DEC21,15450,PE,2021-12-24,10:43:59,3.15,3.2,3.15,3.2,850,24300
NIFTY,30DEC21,15450,PE,2021-12-24,10:44:59,3.15,3.15,3.15,3.15,1600,24300
