Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,25FEB21,14800,PE,2021-02-19,09:15:59,65.0,72.15,55.5,66.9,243675,1500525
NIFTY,25FEB21,14800,PE,2021-02-19,09:16:59,67.15,70.0,65.1,65.1,141525,1500525
NIFTY,25FEB21,14800,PE,2021-02-19,09:17:59,65.95,68.6,64.6,65.9,97800,1561650
NIFTY,25FEB21,14800,PE,2021-02-19,09:18:59,65.8,67.2,63.0,63.0,116025,1561650
NIFTY,25FEB21,14800,PE,2021-02-19,09:19:59,63.0,65.0,62.0,63.3,109050,1561650
NIFTY,25FEB21,14800,PE,2021-02-19,09:20:59,64.1,66.15,62.05,63.55,164025,1608075
NIFTY,25FEB21,14800,PE,2021-02-19,09:21:59,63.9,64.0,62.2,63.0,58500,1608075
NIFTY,25FEB21,14800,PE,2021-02-19,09:22:59,62.55,65.0,62.5,62.7,68400,1608075
NIFTY,25FEB21,14800,PE,2021-02-19,09:23:59,62.4,64.0,62.0,63.05,67875,1641525
NIFTY,25FEB21,14800,PE,2021-02-19,09:24:59,62.9,63.85,62.85,63.25,61875,1641525
NIFTY,25FEB21,14800,PE,2021-02-19,09:25:59,63.45,68.0,62.2,67.55,87600,1641525
NIFTY,25FEB21,14800,PE,2021-02-19,09:26:59,66.75,69.75,66.75,67.5,101400,1684050
NIFTY,25FEB21,14800,PE,2021-02-19,09:27:59,67.6,68.0,65.9,66.15,75000,1684050
NIFTY,25FEB21,14800,PE,2021-02-19,09:28:59,66.05,69.25,65.65,68.55,56100,1684050
NIFTY,25FEB21,14800,PE,2021-02-19,09:29:59,68.65,69.55,67.25,69.55,81750,1731075
NIFTY,25FEB21,14800,PE,2021-02-19,09:30:59,69.55,70.35,68.5,68.75,85350,1731075
NIFTY,25FEB21,14800,PE,2021-02-19,09:31:59,69.1,69.15,66.15,66.3,77625,1731075
NIFTY,25FEB21,14800,PE,2021-02-19,09:32:59,66.65,66.65,64.15,65.2,85350,1737000
NIFTY,25FEB21,14800,PE,2021-02-19,09:33:59,65.45,67.85,65.35,67.25,76125,1737000
NIFTY,25FEB21,14800,PE,2021-02-19,09:34:59,67.25,67.25,64.75,65.1,47550,1737000
NIFTY,25FEB21,14800,PE,2021-02-19,09:35:59,65.15,67.5,65.0,67.5,53025,1763250
NIFTY,25FEB21,14800,PE,2021-02-19,09:36:59,67.35,67.95,65.5,65.7,38700,1763250
NIFTY,25FEB21,14800,PE,2021-02-19,09:37:59,65.9,65.9,63.2,64.65,49350,1763250
NIFTY,25FEB21,14800,PE,2021-02-19,09:38:59,64.75,65.1,63.6,63.6,34275,1785900
NIFTY,25FEB21,14800,PE,2021-02-19,09:39:59,63.5,63.5,60.65,62.35,89700,1785900
NIFTY,25FEB21,14800,PE,2021-02-19,09:40:59,62.45,62.45,58.85,59.3,92250,1785900
NIFTY,25FEB21,14800,PE,2021-02-19,09:41:59,59.15,61.35,59.0,59.0,57225,1816500
NIFTY,25FEB21,14800,PE,2021-02-19,09:42:59,58.4,60.45,57.95,60.0,81825,1816500
NIFTY,25FEB21,14800,PE,2021-02-19,09:43:59,59.25,59.9,54.0,55.25,119925,1816500
NIFTY,25FEB21,14800,PE,2021-02-19,09:44:59,55.15,57.4,55.15,56.45,62400,1856400
NIFTY,25FEB21,14800,PE,2021-02-19,09:45:59,55.45,55.9,52.3,53.65,91425,1856400
NIFTY,25FEB21,14800,PE,2021-02-19,09:46:59,53.15,56.3,53.15,55.35,64800,1856400
NIFTY,25FEB21,14800,PE,2021-02-19,09:47:59,55.3,57.5,55.15,55.95,55950,1872600
NIFTY,25FEB21,14800,PE,2021-02-19,09:48:59,55.8,55.85,53.75,54.35,47700,1872600
NIFTY,25FEB21,14800,PE,2021-02-19,09:49:59,54.15,56.95,54.0,56.95,42000,1872600
NIFTY,25FEB21,14800,PE,2021-02-19,09:50:59,56.9,57.5,56.75,57.15,55500,1893900
NIFTY,25FEB21,14800,PE,2021-02-19,09:51:59,57.3,57.3,54.0,55.35,50175,1893900
NIFTY,25FEB21,14800,PE,2021-02-19,09:52:59,55.3,56.4,54.7,55.35,35550,1893900
NIFTY,25FEB21,14800,PE,2021-02-19,09:53:59,55.25,56.1,54.2,54.35,61125,1922625
NIFTY,25FEB21,14800,PE,2021-02-19,09:54:59,54.2,54.45,50.45,51.15,70425,1922625
NIFTY,25FEB21,14800,PE,2021-02-19,09:55:59,51.1,53.45,51.1,53.45,66450,1922625
NIFTY,25FEB21,14800,PE,2021-02-19,09:56:59,53.65,54.65,53.25,54.65,38850,1967100
NIFTY,25FEB21,14800,PE,2021-02-19,09:57:59,54.35,55.25,53.05,55.0,44850,1967100
NIFTY,25FEB21,14800,PE,2021-02-19,09:58:59,55.05,55.5,53.35,53.6,28800,1967100
NIFTY,25FEB21,14800,PE,2021-02-19,09:59:59,53.95,55.3,53.55,55.3,21300,1998600
