Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,25FEB21,14950,CE,2021-02-19,09:15:59,208.05,209.8,195.35,201.8,4950,19425
NIFTY,25FEB21,14950,CE,2021-02-19,09:16:59,202.0,204.9,199.6,204.9,2850,19425
NIFTY,25FEB21,14950,CE,2021-02-19,09:17:59,202.5,202.5,195.7,200.7,1200,22125
NIFTY,25FEB21,14950,CE,2021-02-19,09:18:59,200.05,202.2,196.0,202.2,1200,22125
NIFTY,25FEB21,14950,CE,2021-02-19,09:19:59,202.45,204.1,200.0,203.1,1725,22125
NIFTY,25FEB21,14950,CE,2021-02-19,09:20:59,200.0,202.45,195.1,198.95,8025,24225
NIFTY,25FEB21,14950,CE,2021-02-19,09:21:59,200.55,202.05,198.95,202.05,1425,24225
NIFTY,25FEB21,14950,CE,2021-02-19,09:22:59,202.25,202.95,199.2,202.35,2250,24225
NIFTY,25FEB21,14950,CE,2021-02-19,09:23:59,202.4,202.4,199.8,201.05,1950,27150
NIFTY,25FEB21,14950,CE,2021-02-19,09:24:59,201.0,201.8,199.2,200.3,4725,27150
NIFTY,25FEB21,14950,CE,2021-02-19,09:25:59,200.0,202.7,190.6,192.05,6450,27150
NIFTY,25FEB21,14950,CE,2021-02-19,09:26:59,193.15,193.15,189.05,191.25,3750,31350
NIFTY,25FEB21,14950,CE,2021-02-19,09:27:59,192.7,195.2,191.95,194.6,6825,31350
NIFTY,25FEB21,14950,CE,2021-02-19,09:28:59,195.4,196.4,190.5,190.5,1200,31350
NIFTY,25FEB21,14950,CE,2021-02-19,09:29:59,189.15,191.1,188.75,189.3,1500,32025
NIFTY,25FEB21,14950,CE,2021-02-19,09:30:59,188.0,190.4,186.1,189.4,2475,32025
NIFTY,25FEB21,14950,CE,2021-02-19,09:31:59,189.25,193.55,189.0,193.0,3000,32025
NIFTY,25FEB21,14950,CE,2021-02-19,09:32:59,195.1,196.45,194.35,196.45,1200,33975
NIFTY,25FEB21,14950,CE,2021-02-19,09:33:59,195.05,196.15,192.95,193.9,1950,33975
NIFTY,25FEB21,14950,CE,2021-02-19,09:34:59,196.15,198.5,196.15,198.1,1800,33975
NIFTY,25FEB21,14950,CE,2021-02-19,09:35:59,197.2,197.4,192.8,192.8,2175,35250
NIFTY,25FEB21,14950,CE,2021-02-19,09:36:59,192.4,193.25,192.4,193.25,300,35250
NIFTY,25FEB21,14950,CE,2021-02-19,09:37:59,195.35,198.95,195.1,197.95,1125,35250
NIFTY,25FEB21,14950,CE,2021-02-19,09:38:59,197.65,200.2,197.65,200.0,1725,35475
NIFTY,25FEB21,14950,CE,2021-02-19,09:39:59,201.3,204.8,200.25,203.55,2325,35475
NIFTY,25FEB21,14950,CE,2021-02-19,09:40:59,204.15,207.05,202.95,207.05,7200,35475
NIFTY,25FEB21,14950,CE,2021-02-19,09:41:59,206.45,208.0,204.5,208.0,6225,37050
NIFTY,25FEB21,14950,CE,2021-02-19,09:42:59,209.85,210.15,205.5,205.85,5625,37050
NIFTY,25FEB21,14950,CE,2021-02-19,09:43:59,207.05,220.05,207.05,217.95,7650,37050
NIFTY,25FEB21,14950,CE,2021-02-19,09:44:59,217.5,217.5,210.7,211.8,5400,45675
NIFTY,25FEB21,14950,CE,2021-02-19,09:45:59,212.4,221.2,212.4,220.45,8400,45675
NIFTY,25FEB21,14950,CE,2021-02-19,09:46:59,219.55,219.55,210.4,213.0,5325,45675
NIFTY,25FEB21,14950,CE,2021-02-19,09:47:59,212.6,213.15,208.35,210.45,11550,55050
NIFTY,25FEB21,14950,CE,2021-02-19,09:48:59,211.25,217.8,211.25,214.9,4125,55050
NIFTY,25FEB21,14950,CE,2021-02-19,09:49:59,215.2,215.9,211.95,211.95,3075,55050
NIFTY,25FEB21,14950,CE,2021-02-19,09:50:59,210.75,211.5,209.35,211.5,1500,66300
NIFTY,25FEB21,14950,CE,2021-02-19,09:51:59,211.5,216.75,211.5,215.0,1500,66300
