Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,28JAN21,10500,PE,2021-01-22,09:15:59,0.9,0.9,0.9,0.9,3150,218400
NIFTY,28JAN21,10500,PE,2021-01-22,09:17:59,0.85,0.85,0.85,0.85,750,221400
NIFTY,28JAN21,10500,PE,2021-01-22,09:19:59,0.7,0.7,0.7,0.7,75,221400
NIFTY,28JAN21,10500,PE,2021-01-22,09:25:59,0.8,0.8,0.8,0.8,225,222150
NIFTY,28JAN21,10500,PE,2021-01-22,09:26:59,0.8,0.8,0.65,0.65,600,222150
NIFTY,28JAN21,10500,PE,2021-01-22,09:29:59,0.7,0.7,0.65,0.65,750,221925
NIFTY,28JAN21,10500,PE,2021-01-22,09:33:59,0.8,0.8,0.8,0.8,525,221325
NIFTY,28JAN21,10500,PE,2021-01-22,09:34:59,0.8,0.95,0.8,0.95,7650,221325
NIFTY,28JAN21,10500,PE,2021-01-22,09:35:59,1.0,1.0,0.9,0.9,2100,228450
NIFTY,28JAN21,10500,PE,2021-01-22,09:36:59,0.9,1.0,0.9,1.0,8025,228450
NIFTY,28JAN21,10500,PE,2021-01-22,09:37:59,1.15,1.15,1.05,1.1,13500,228450
NIFTY,28JAN21,10500,PE,2021-01-22,09:38:59,1.0,1.0,1.0,1.0,3075,250950
NIFTY,28JAN21,10500,PE,2021-01-22,09:39:59,0.95,0.95,0.95,0.95,2625,250950
NIFTY,28JAN21,10500,PE,2021-01-22,09:40:59,0.95,0.95,0.95,0.95,975,250950
NIFTY,28JAN21,10500,PE,2021-01-22,09:41:59,0.95,0.95,0.95,0.95,1575,250950
NIFTY,28JAN21,10500,PE,2021-01-22,09:43:59,0.95,0.95,0.9,0.9,225,251850
NIFTY,28JAN21,10500,PE,2021-01-22,09:44:59,0.95,0.95,0.95,0.95,975,252075
NIFTY,28JAN21,10500,PE,2021-01-22,09:46:59,1.0,1.0,1.0,1.0,7800,252075
NIFTY,28JAN21,10500,PE,2021-01-22,09:47:59,1.0,1.0,1.0,1.0,75,252075
NIFTY,28JAN21,10500,PE,2021-01-22,09:49:59,1.0,1.0,1.0,1.0,750,252525
NIFTY,28JAN21,10500,PE,2021-01-22,09:54:59,1.0,1.0,1.0,1.0,75,252525
NIFTY,28JAN21,10500,PE,2021-01-22,09:56:59,0.9,0.9,0.9,0.9,1950,252525
NIFTY,28JAN21,10500,PE,2021-01-22,10:02:59,0.9,0.95,0.9,0.95,2025,250575
NIFTY,28JAN21,10500,PE,2021-01-22,10:05:59,0.95,0.95,0.9,0.9,600,250575
NIFTY,28JAN21,10500,PE,2021-01-22,10:07:59,0.9,0.9,0.9,0.9,2100,250575
NIFTY,28JAN21,10500,PE,2021-01-22,10:13:59,0.9,0.9,0.9,0.9,1125,249075
NIFTY,28JAN21,10500,PE,2021-01-22,10:14:59,0.85,0.85,0.85,0.85,3675,249075
NIFTY,28JAN21,10500,PE,2021-01-22,10:15:59,0.9,0.9,0.9,0.9,1125,249075
NIFTY,28JAN21,10500,PE,2021-01-22,10:16:59,0.9,0.95,0.9,0.9,3450,249075
NIFTY,28JAN21,10500,PE,2021-01-22,10:17:59,0.9,0.95,0.9,0.9,2100,247125
NIFTY,28JAN21,10500,PE,2021-01-22,10:21:59,0.95,0.95,0.95,0.95,225,247125
NIFTY,28JAN21,10500,PE,2021-01-22,10:23:59,0.95,0.95,0.95,0.95,75,247125
NIFTY,28JAN21,10500,PE,2021-01-22,10:28:59,0.9,0.9,0.9,0.9,1425,247200
NIFTY,28JAN21,10500,PE,2021-01-22,10:30:59,0.85,0.85,0.85,0.85,450,245775
NIFTY,28JAN21,10500,PE,2021-01-22,10:33:59,0.85,0.85,0.85,0.85,75,245775
NIFTY,28JAN21,10500,PE,2021-01-22,10:37:59,0.85,0.85,0.85,0.85,225,245775
NIFTY,28JAN21,10500,PE,2021-01-22,10:38:59,0.85,0.85,0.85,0.85,225,245775
NIFTY,28JAN21,10500,PE,2021-01-22,10:39:59,0.8,0.8,0.8,0.8,12675,245700
NIFTY,28JAN21,10500,PE,2021-01-22,10:40:59,0.85,0.85,0.85,0.85,825,245700
NIFTY,28JAN21,10500,PE,2021-01-22,10:41:59,0.85,0.85,0.85,0.85,450,245700
NIFTY,28JAN21,10500,PE,2021-01-22,10:42:59,0.85,0.85,0.8,0.8,3600,246075
NIFTY,28JAN21,10500,PE,2021-01-22,10:43:59,0.75,0.75,0.75,0.75,1725,246075
NIFTY,28JAN21,10500,PE,2021-01-22,10:44:59,0.75,0.75,0.75,0.75,450,246075
NIFTY,28JAN21,10500,PE,2021-01-22,10:45:59,0.7,0.7,0.7,0.7,4500,245550
NIFTY,28JAN21,10500,PE,2021-01-22,10:46:59,0.65,0.7,0.65,0.7,150,245550
NIFTY,28JAN21,10500,PE,2021-01-22,10:48:59,0.7,0.75,0.7,0.7,375,240975
NIFTY,28JAN21,10500,PE,2021-01-22,10:49:59,0.7,0.7,0.7,0.7,1125,240975
NIFTY,28JAN21,10500,PE,2021-01-22,10:50:59,0.7,0.7,0.7,0.7,3825,241425
NIFTY,28JAN21,10500,PE,2021-01-22,10:51:59,0.7,0.7,0.7,0.7,1275,241425
NIFTY,28JAN21,10500,PE,2021-01-22,10:52:59,0.7,0.7,0.7,0.7,11250,241425
NIFTY,28JAN21,10500,PE,2021-01-22,10:53:59,0.7,0.7,0.7,0.7,7875,241425
NIFTY,28JAN21,10500,PE,2021-01-22,10:54:59,0.7,0.7,0.7,0.7,75,240900
NIFTY,28JAN21,10500,PE,2021-01-22,10:57:59,0.7,0.7,0.7,0.7,225,240900
NIFTY,28JAN21,10500,PE,2021-01-22,10:58:59,0.7,0.7,0.7,0.7,75,240900
NIFTY,28JAN21,10500,PE,2021-01-22,11:00:59,0.7,0.7,0.7,0.7,1125,240900
NIFTY,28JAN21,10500,PE,2021-01-22,11:01:59,0.7,0.7,0.7,0.7,1125,240900
NIFTY,28JAN21,10500,PE,2021-01-22,11:03:59,0.7,0.7,0.7,0.7,2325,240900
NIFTY,28JAN21,10500,PE,2021-01-22,11:04:59,0.7,0.7,0.7,0.7,4125,240900
NIFTY,28JAN21,10500,PE,2021-01-22,11:07:59,0.75,0.75,0.65,0.65,975,239700
NIFTY,28JAN21,10500,PE,2021-01-22,11:08:59,0.8,0.8,0.8,0.8,2025,239850
NIFTY,28JAN21,10500,PE,2021-01-22,11:09:59,0.8,0.8,0.75,0.75,4500,239850
NIFTY,28JAN21,10500,PE,2021-01-22,11:11:59,0.7,0.7,0.7,0.7,450,239850
NIFTY,28JAN21,10500,PE,2021-01-22,11:14:59,0.75,0.75,0.75,0.75,225,238350
NIFTY,28JAN21,10500,PE,2021-01-22,11:16:59,0.7,0.7,0.7,0.7,150,238350
NIFTY,28JAN21,10500,PE,2021-01-22,11:20:59,0.75,0.75,0.75,0.75,75,238350
NIFTY,28JAN21,10500,PE,2021-01-22,11:22:59,0.7,0.75,0.7,0.75,13950,238350
NIFTY,28JAN21,10500,PE,2021-01-22,11:23:59,0.8,0.8,0.8,0.8,4425,238350
NIFTY,28JAN21,10500,PE,2021-01-22,11:24:59,0.8,0.8,0.8,0.8,150,238350
NIFTY,28JAN21,10500,PE,2021-01-22,11:25:59,0.75,0.8,0.75,0.8,1725,238350
NIFTY,28JAN21,10500,PE,2021-01-22,11:28:59,0.8,0.8,0.8,0.8,3000,237225
NIFTY,28JAN21,10500,PE,2021-01-22,11:29:59,0.8,0.8,0.8,0.8,1500,237225
NIFTY,28JAN21,10500,PE,2021-01-22,11:30:59,0.85,0.9,0.85,0.9,6300,237225
NIFTY,28JAN21,10500,PE,2021-01-22,11:31:59,0.9,0.9,0.9,0.9,1500,237225
NIFTY,28JAN21,10500,PE,2021-01-22,11:36:59,0.95,0.95,0.95,0.95,75,244500
NIFTY,28JAN21,10500,PE,2021-01-22,11:39:59,0.95,0.95,0.95,0.95,75,246000
NIFTY,28JAN21,10500,PE,2021-01-22,11:41:59,0.95,0.95,0.95,0.95,75,246000
NIFTY,28JAN21,10500,PE,2021-01-22,11:45:59,1.0,1.0,1.0,1.0,75,246075
NIFTY,28JAN21,10500,PE,2021-01-22,11:48:59,1.0,1.0,1.0,1.0,225,246000
NIFTY,28JAN21,10500,PE,2021-01-22,11:54:59,0.95,0.95,0.95,0.95,300,246225
NIFTY,28JAN21,10500,PE,2021-01-22,11:55:59,0.95,0.95,0.95,0.95,75,246225
NIFTY,28JAN21,10500,PE,2021-01-22,11:56:59,0.95,0.95,0.95,0.95,1350,246225
NIFTY,28JAN21,10500,PE,2021-01-22,12:02:59,1.0,1.0,1.0,1.0,150,247650
NIFTY,28JAN21,10500,PE,2021-01-22,12:05:59,0.9,0.9,0.9,0.9,150,247650
NIFTY,28JAN21,10500,PE,2021-01-22,12:10:59,0.9,0.9,0.9,0.9,300,247500
NIFTY,28JAN21,10500,PE,2021-01-22,12:11:59,0.9,0.9,0.9,0.9,75,247500
NIFTY,28JAN21,10500,PE,2021-01-22,12:17:59,0.95,0.95,0.95,0.95,75,247350
NIFTY,28JAN21,10500,PE,2021-01-22,12:18:59,0.9,0.9,0.9,0.9,150,247350
NIFTY,28JAN21,10500,PE,2021-01-22,12:19:59,0.9,0.9,0.9,0.9,1275,247350
NIFTY,28JAN21,10500,PE,2021-01-22,12:21:59,0.95,0.95,0.95,0.95,75,246300
NIFTY,28JAN21,10500,PE,2021-01-22,12:22:59,0.85,0.85,0.85,0.85,225,246300
NIFTY,28JAN21,10500,PE,2021-01-22,12:23:59,0.85,0.85,0.85,0.85,2025,246300
NIFTY,28JAN21,10500,PE,2021-01-22,12:38:59,0.85,0.85,0.85,0.85,300,244050
NIFTY,28JAN21,10500,PE,2021-01-22,12:39:59,0.85,0.85,0.85,0.85,300,243750
NIFTY,28JAN21,10500,PE,2021-01-22,12:40:59,0.85,0.85,0.85,0.85,300,243750
NIFTY,28JAN21,10500,PE,2021-01-22,12:42:59,0.85,0.85,0.85,0.85,150,243225
NIFTY,28JAN21,10500,PE,2021-01-22,12:55:59,0.9,0.9,0.9,0.9,375,243150
NIFTY,28JAN21,10500,PE,2021-01-22,12:56:59,0.9,0.95,0.85,0.95,1650,243150
