Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,28JAN21,12800,CE,2021-01-22,09:22:59,1765.6,1765.6,1765.6,1765.6,75,51150
NIFTY,28JAN21,12800,CE,2021-01-22,09:26:59,1797.35,1797.35,1783.0,1783.0,150,51150
NIFTY,28JAN21,12800,CE,2021-01-22,10:21:59,1790.0,1790.0,1790.0,1790.0,300,51150
NIFTY,28JAN21,12800,CE,2021-01-22,10:41:59,1779.95,1779.95,1779.95,1779.95,75,50850
NIFTY,28JAN21,12800,CE,2021-01-22,10:54:59,1777.8,1777.8,1777.8,1777.8,75,50775
NIFTY,28JAN21,12800,CE,2021-01-22,11:07:59,1710.0,1710.0,1710.0,1710.0,75,50775
NIFTY,28JAN21,12800,CE,2021-01-22,11:08:59,1719.1,1719.1,1719.1,1719.1,75,50775
NIFTY,28JAN21,12800,CE,2021-01-22,11:15:59,1689.2,1689.2,1689.2,1689.2,75,50775
NIFTY,28JAN21,12800,CE,2021-01-22,11:27:59,1696.25,1696.25,1696.25,1696.25,75,50775
NIFTY,28JAN21,12800,CE,2021-01-22,12:57:59,1640.4,1640.4,1640.4,1640.4,75,50775
NIFTY,28JAN21,12800,CE,2021-01-22,13:10:59,1623.15,1623.15,1623.15,1623.15,75,50700
NIFTY,28JAN21,12800,CE,2021-01-22,13:15:59,1600.0,1600.0,1600.0,1600.0,75,50625
NIFTY,28JAN21,12800,CE,2021-01-22,13:27:59,1642.9,1642.9,1642.9,1642.9,75,50550
NIFTY,28JAN21,12800,CE,2021-01-22,13:31:59,1611.95,1611.95,1611.95,1611.95,75,50475
NIFTY,28JAN21,12800,CE,2021-01-22,13:53:59,1575.0,1575.0,1575.0,1575.0,375,50475
NIFTY,28JAN21,12800,CE,2021-01-22,13:54:59,1575.0,1575.0,1575.0,1575.0,75,50475
NIFTY,28JAN21,12800,CE,2021-01-22,13:59:59,1580.0,1580.0,1580.0,1580.0,225,50025
