Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,29JUL21,16450,CE,2021-07-23,09:15:59,2.45,2.5,2.25,2.4,650,175950
NIFTY,29JUL21,16450,CE,2021-07-23,09:16:59,2.3,2.5,2.3,2.35,1150,175950
NIFTY,29JUL21,16450,CE,2021-07-23,09:17:59,2.3,2.35,2.3,2.35,600,175950
NIFTY,29JUL21,16450,CE,2021-07-23,09:18:59,2.4,2.4,2.3,2.35,950,177700
NIFTY,29JUL21,16450,CE,2021-07-23,09:19:59,2.35,2.35,2.3,2.3,450,177700
NIFTY,29JUL21,16450,CE,2021-07-23,09:20:59,2.3,2.35,2.3,2.35,3800,177700
NIFTY,29JUL21,16450,CE,2021-07-23,09:21:59,2.35,2.35,2.35,2.35,500,180800
NIFTY,29JUL21,16450,CE,2021-07-23,09:22:59,2.3,2.3,2.25,2.25,3700,180800
NIFTY,29JUL21,16450,CE,2021-07-23,09:23:59,2.25,2.45,2.25,2.45,2350,178550
NIFTY,29JUL21,16450,CE,2021-07-23,09:24:59,2.3,2.4,2.3,2.4,650,178550
NIFTY,29JUL21,16450,CE,2021-07-23,09:25:59,2.45,2.5,2.4,2.5,6900,178550
NIFTY,29JUL21,16450,CE,2021-07-23,09:26:59,2.5,2.5,2.5,2.5,1900,183900
NIFTY,29JUL21,16450,CE,2021-07-23,09:27:59,2.55,2.55,2.45,2.5,7150,183900
NIFTY,29JUL21,16450,CE,2021-07-23,09:28:59,2.5,2.55,2.5,2.55,450,183900
NIFTY,29JUL21,16450,CE,2021-07-23,09:29:59,2.45,2.5,2.45,2.5,8500,190750
NIFTY,29JUL21,16450,CE,2021-07-23,09:30:59,2.5,2.6,2.35,2.55,14300,190750
NIFTY,29JUL21,16450,CE,2021-07-23,09:31:59,2.55,2.65,2.5,2.5,5100,190750
NIFTY,29JUL21,16450,CE,2021-07-23,09:32:59,2.5,2.55,2.45,2.5,5650,194650
NIFTY,29JUL21,16450,CE,2021-07-23,09:33:59,2.5,2.5,2.35,2.45,2150,194650
NIFTY,29JUL21,16450,CE,2021-07-23,09:34:59,2.4,2.4,2.4,2.4,750,194650
NIFTY,29JUL21,16450,CE,2021-07-23,09:36:59,2.4,2.4,2.4,2.4,150,200900
NIFTY,29JUL21,16450,CE,2021-07-23,09:37:59,2.4,2.45,2.4,2.4,850,200900
NIFTY,29JUL21,16450,CE,2021-07-23,09:38:59,2.4,2.4,2.35,2.35,3150,202300
NIFTY,29JUL21,16450,CE,2021-07-23,09:39:59,2.35,2.35,2.35,2.35,300,202300
NIFTY,29JUL21,16450,CE,2021-07-23,09:40:59,2.4,2.5,2.4,2.45,1500,202300
NIFTY,29JUL21,16450,CE,2021-07-23,09:41:59,2.5,2.5,2.45,2.5,3050,188300
NIFTY,29JUL21,16450,CE,2021-07-23,09:42:59,2.5,2.55,2.45,2.55,3400,188300
NIFTY,29JUL21,16450,CE,2021-07-23,09:43:59,2.55,2.6,2.55,2.55,3500,188300
NIFTY,29JUL21,16450,CE,2021-07-23,09:44:59,2.55,2.6,2.55,2.6,4100,188650
NIFTY,29JUL21,16450,CE,2021-07-23,09:45:59,2.5,2.6,2.5,2.55,5350,188650
NIFTY,29JUL21,16450,CE,2021-07-23,09:46:59,2.55,2.55,2.55,2.55,3700,188650
NIFTY,29JUL21,16450,CE,2021-07-23,09:47:59,2.55,2.55,2.55,2.55,2300,192350
NIFTY,29JUL21,16450,CE,2021-07-23,09:48:59,2.55,2.55,2.5,2.5,150,192350
NIFTY,29JUL21,16450,CE,2021-07-23,09:49:59,2.6,2.6,2.55,2.55,31550,192350
NIFTY,29JUL21,16450,CE,2021-07-23,09:50:59,2.55,2.6,2.55,2.6,7050,192050
NIFTY,29JUL21,16450,CE,2021-07-23,09:51:59,2.5,2.7,2.5,2.7,4250,192050
NIFTY,29JUL21,16450,CE,2021-07-23,09:52:59,2.65,2.7,2.65,2.65,1700,192050
NIFTY,29JUL21,16450,CE,2021-07-23,09:53:59,2.7,2.7,2.65,2.7,4400,194150
NIFTY,29JUL21,16450,CE,2021-07-23,09:54:59,2.75,2.8,2.6,2.65,5800,194150
NIFTY,29JUL21,16450,CE,2021-07-23,09:55:59,2.7,2.8,2.7,2.7,1900,194150
NIFTY,29JUL21,16450,CE,2021-07-23,09:56:59,2.8,2.8,2.7,2.75,3200,196450
NIFTY,29JUL21,16450,CE,2021-07-23,09:57:59,2.7,2.7,2.65,2.7,8250,196450
NIFTY,29JUL21,16450,CE,2021-07-23,09:58:59,2.65,2.65,2.65,2.65,2500,196450
NIFTY,29JUL21,16450,CE,2021-07-23,09:59:59,2.65,2.65,2.6,2.65,5750,203650
NIFTY,29JUL21,16450,CE,2021-07-23,10:00:59,2.65,2.7,2.65,2.65,950,203650
NIFTY,29JUL21,16450,CE,2021-07-23,10:02:59,2.7,2.8,2.7,2.75,5050,204850
NIFTY,29JUL21,16450,CE,2021-07-23,10:03:59,2.7,2.7,2.7,2.7,150,204850
NIFTY,29JUL21,16450,CE,2021-07-23,10:04:59,2.7,2.7,2.65,2.7,600,204850
NIFTY,29JUL21,16450,CE,2021-07-23,10:05:59,2.65,2.75,2.65,2.75,3400,205450
NIFTY,29JUL21,16450,CE,2021-07-23,10:06:59,2.7,2.75,2.7,2.75,10500,205450
NIFTY,29JUL21,16450,CE,2021-07-23,10:07:59,2.75,2.75,2.7,2.75,5450,205450
NIFTY,29JUL21,16450,CE,2021-07-23,10:08:59,2.75,2.75,2.65,2.7,13600,205850
NIFTY,29JUL21,16450,CE,2021-07-23,10:09:59,2.65,2.65,2.6,2.6,3000,205850
NIFTY,29JUL21,16450,CE,2021-07-23,10:10:59,2.6,2.6,2.55,2.6,1100,205850
NIFTY,29JUL21,16450,CE,2021-07-23,10:11:59,2.6,2.7,2.6,2.65,2500,208350
NIFTY,29JUL21,16450,CE,2021-07-23,10:12:59,2.6,2.65,2.6,2.6,2450,208350
NIFTY,29JUL21,16450,CE,2021-07-23,10:14:59,2.65,2.65,2.65,2.65,3550,208500
NIFTY,29JUL21,16450,CE,2021-07-23,10:15:59,2.65,2.65,2.6,2.6,800,208500
NIFTY,29JUL21,16450,CE,2021-07-23,10:16:59,2.6,2.6,2.6,2.6,3550,208500
NIFTY,29JUL21,16450,CE,2021-07-23,10:17:59,2.6,2.6,2.55,2.55,7950,215550
NIFTY,29JUL21,16450,CE,2021-07-23,10:18:59,2.7,2.7,2.55,2.55,5100,215550
NIFTY,29JUL21,16450,CE,2021-07-23,10:19:59,2.7,2.7,2.55,2.55,8400,215550
NIFTY,29JUL21,16450,CE,2021-07-23,10:20:59,2.55,2.55,2.5,2.5,10250,223300
NIFTY,29JUL21,16450,CE,2021-07-23,10:21:59,2.55,2.55,2.55,2.55,350,223300
NIFTY,29JUL21,16450,CE,2021-07-23,10:22:59,2.55,2.55,2.5,2.5,5200,223300
NIFTY,29JUL21,16450,CE,2021-07-23,10:23:59,2.5,2.55,2.5,2.55,3350,223400
NIFTY,29JUL21,16450,CE,2021-07-23,10:24:59,2.55,2.6,2.55,2.6,400,223400
NIFTY,29JUL21,16450,CE,2021-07-23,10:25:59,2.6,2.6,2.5,2.5,2800,223400
NIFTY,29JUL21,16450,CE,2021-07-23,10:26:59,2.55,2.55,2.55,2.55,650,224150
NIFTY,29JUL21,16450,CE,2021-07-23,10:27:59,2.5,2.5,2.5,2.5,200,224150
NIFTY,29JUL21,16450,CE,2021-07-23,10:28:59,2.5,2.55,2.5,2.55,1000,224150
NIFTY,29JUL21,16450,CE,2021-07-23,10:29:59,2.5,2.5,2.45,2.45,10900,226550
NIFTY,29JUL21,16450,CE,2021-07-23,10:30:59,2.45,2.45,2.4,2.4,14650,226550
NIFTY,29JUL21,16450,CE,2021-07-23,10:31:59,2.45,2.45,2.4,2.4,8450,226550
NIFTY,29JUL21,16450,CE,2021-07-23,10:32:59,2.45,2.45,2.35,2.35,3500,230250
NIFTY,29JUL21,16450,CE,2021-07-23,10:33:59,2.35,2.4,2.35,2.4,6700,230250
NIFTY,29JUL21,16450,CE,2021-07-23,10:34:59,2.4,2.4,2.35,2.4,2950,230250
NIFTY,29JUL21,16450,CE,2021-07-23,10:35:59,2.35,2.4,2.35,2.4,1000,235300
NIFTY,29JUL21,16450,CE,2021-07-23,10:36:59,2.4,2.4,2.35,2.35,1050,235300
NIFTY,29JUL21,16450,CE,2021-07-23,10:37:59,2.35,2.35,2.35,2.35,7150,235300
NIFTY,29JUL21,16450,CE,2021-07-23,10:38:59,2.35,2.4,2.35,2.35,21600,245950
NIFTY,29JUL21,16450,CE,2021-07-23,10:39:59,2.35,2.4,2.35,2.4,1050,245950
NIFTY,29JUL21,16450,CE,2021-07-23,10:40:59,2.35,2.4,2.35,2.35,17500,245950
NIFTY,29JUL21,16450,CE,2021-07-23,10:41:59,2.35,2.4,2.35,2.35,3250,253150
NIFTY,29JUL21,16450,CE,2021-07-23,10:42:59,2.35,2.35,2.35,2.35,300,253150
NIFTY,29JUL21,16450,CE,2021-07-23,10:43:59,2.35,2.35,2.35,2.35,900,253150
NIFTY,29JUL21,16450,CE,2021-07-23,10:44:59,2.35,2.35,2.3,2.3,1050,252500
NIFTY,29JUL21,16450,CE,2021-07-23,10:45:59,2.35,2.35,2.35,2.35,200,252500
NIFTY,29JUL21,16450,CE,2021-07-23,10:46:59,2.35,2.4,2.35,2.4,4200,252500
NIFTY,29JUL21,16450,CE,2021-07-23,10:47:59,2.4,2.4,2.35,2.35,300,252500
NIFTY,29JUL21,16450,CE,2021-07-23,10:48:59,2.35,2.35,2.35,2.35,150,242900
NIFTY,29JUL21,16450,CE,2021-07-23,10:49:59,2.35,2.35,2.35,2.35,350,242900
NIFTY,29JUL21,16450,CE,2021-07-23,10:50:59,2.35,2.35,2.35,2.35,100,243150
NIFTY,29JUL21,16450,CE,2021-07-23,10:51:59,2.4,2.4,2.35,2.35,650,243150
NIFTY,29JUL21,16450,CE,2021-07-23,10:53:59,2.4,2.45,2.4,2.45,850,232550
NIFTY,29JUL21,16450,CE,2021-07-23,10:55:59,2.45,2.45,2.45,2.45,700,232550
NIFTY,29JUL21,16450,CE,2021-07-23,10:56:59,2.45,2.6,2.45,2.5,2150,232050
NIFTY,29JUL21,16450,CE,2021-07-23,10:57:59,2.5,2.6,2.5,2.55,2400,232050
NIFTY,29JUL21,16450,CE,2021-07-23,10:58:59,2.55,2.55,2.5,2.5,700,232050
NIFTY,29JUL21,16450,CE,2021-07-23,10:59:59,2.5,2.5,2.5,2.5,150,232100
NIFTY,29JUL21,16450,CE,2021-07-23,11:00:59,2.45,2.5,2.45,2.5,250,232100
NIFTY,29JUL21,16450,CE,2021-07-23,11:04:59,2.5,2.5,2.5,2.5,50,232200
