Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,24JUN21,11300,PE,2021-06-18,09:15:59,1.0,1.0,1.0,1.0,75,1800
NIFTY,24JUN21,11300,PE,2021-06-21,09:41:59,0.1,0.1,0.1,0.1,75,1800
NIFTY,24JUN21,11300,PE,2021-06-22,10:29:59,0.85,0.85,0.85,0.85,750,1800
NIFTY,24JUN21,11300,PE,2021-06-22,10:43:59,0.7,0.7,0.7,0.7,225,2550
NIFTY,24JUN21,11300,PE,2021-06-22,10:48:59,0.7,0.7,0.7,0.7,600,2775
NIFTY,24JUN21,11300,PE,2021-06-22,10:52:59,0.75,0.75,0.75,0.75,150,3375
NIFTY,24JUN21,11300,PE,2021-06-22,11:33:59,0.65,0.65,0.65,0.65,75,3375
NIFTY,24JUN21,11300,PE,2021-06-22,11:52:59,0.65,0.65,0.65,0.65,225,3375
NIFTY,24JUN21,11300,PE,2021-06-22,13:25:59,0.65,0.7,0.35,0.7,1125,3525
NIFTY,24JUN21,11300,PE,2021-06-22,13:40:59,0.65,0.65,0.65,0.65,75,4200
NIFTY,24JUN21,11300,PE,2021-06-22,14:37:59,0.3,0.3,0.3,0.3,1125,4200
NIFTY,24JUN21,11300,PE,2021-06-22,14:38:59,0.65,0.65,0.65,0.65,150,4200
NIFTY,24JUN21,11300,PE,2021-06-22,15:11:59,0.65,0.65,0.65,0.65,75,3075
NIFTY,24JUN21,11300,PE,2021-06-22,15:16:59,0.3,0.3,0.3,0.3,225,3150
NIFTY,24JUN21,11300,PE,2021-06-22,15:22:59,1.1,1.1,1.1,1.1,300,2925
NIFTY,24JUN21,11300,PE,2021-06-23,09:21:59,1.0,1.0,1.0,1.0,150,2775
NIFTY,24JUN21,11300,PE,2021-06-23,09:26:59,0.25,0.25,0.25,0.25,150,2775
NIFTY,24JUN21,11300,PE,2021-06-23,09:56:59,1.0,1.0,1.0,1.0,750,2625
NIFTY,24JUN21,11300,PE,2021-06-23,10:13:59,1.0,1.0,1.0,1.0,3000,3375
NIFTY,24JUN21,11300,PE,2021-06-23,10:14:59,1.0,1.0,1.0,1.0,75,6300
NIFTY,24JUN21,11300,PE,2021-06-23,10:23:59,0.4,0.4,0.4,0.4,750,6375
NIFTY,24JUN21,11300,PE,2021-06-23,13:47:59,0.2,0.2,0.2,0.2,3000,5625
NIFTY,24JUN21,11300,PE,2021-06-23,15:16:59,0.25,0.25,0.25,0.25,375,3975
NIFTY,24JUN21,11300,PE,2021-06-24,10:19:59,0.15,0.15,0.15,0.15,75,3600
NIFTY,24JUN21,11300,PE,2021-06-24,10:37:59,0.2,0.2,0.2,0.2,600,3525
NIFTY,24JUN21,11300,PE,2021-06-24,11:53:59,0.3,0.3,0.3,0.3,150,2925
NIFTY,24JUN21,11300,PE,2021-06-24,12:13:59,0.15,0.15,0.15,0.15,150,2925
NIFTY,24JUN21,11300,PE,2021-06-24,13:38:59,0.15,0.15,0.15,0.15,450,2775
