Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,24JUN21,16850,CE,2021-06-18,09:15:59,2.5,2.5,2.0,2.3,525,2025
NIFTY,24JUN21,16850,CE,2021-06-18,09:16:59,2.2,4.85,2.1,2.15,3900,2025
NIFTY,24JUN21,16850,CE,2021-06-18,09:17:59,2.1,2.1,2.1,2.1,75,5025
NIFTY,24JUN21,16850,CE,2021-06-18,09:19:59,2.05,2.1,2.05,2.1,750,5025
NIFTY,24JUN21,16850,CE,2021-06-18,09:22:59,2.05,2.05,1.7,1.9,600,4500
NIFTY,24JUN21,16850,CE,2021-06-18,09:24:59,2.2,2.2,2.2,2.2,75,4350
NIFTY,24JUN21,16850,CE,2021-06-18,09:26:59,1.9,1.9,1.65,1.9,1650,4350
NIFTY,24JUN21,16850,CE,2021-06-18,09:28:59,2.05,2.05,1.85,1.85,450,4950
NIFTY,24JUN21,16850,CE,2021-06-18,09:30:59,1.85,1.95,1.85,1.95,1125,4725
NIFTY,24JUN21,16850,CE,2021-06-18,09:32:59,1.95,1.95,1.95,1.95,150,4125
NIFTY,24JUN21,16850,CE,2021-06-18,09:33:59,2.0,2.05,2.0,2.05,1050,4125
NIFTY,24JUN21,16850,CE,2021-06-18,09:34:59,2.1,2.1,2.05,2.05,2775,4125
NIFTY,24JUN21,16850,CE,2021-06-18,09:39:59,1.9,1.9,1.85,1.85,900,7650
NIFTY,24JUN21,16850,CE,2021-06-18,09:40:59,1.85,1.85,1.55,1.6,2400,7650
NIFTY,24JUN21,16850,CE,2021-06-18,09:41:59,1.7,1.8,1.7,1.8,600,6675
NIFTY,24JUN21,16850,CE,2021-06-18,09:42:59,1.8,1.85,1.8,1.85,150,6675
NIFTY,24JUN21,16850,CE,2021-06-18,09:45:59,1.85,1.85,1.85,1.85,75,6450
NIFTY,24JUN21,16850,CE,2021-06-18,09:56:59,1.85,1.85,1.85,1.85,75,6450
NIFTY,24JUN21,16850,CE,2021-06-18,09:57:59,1.5,1.5,1.5,1.5,1500,6450
NIFTY,24JUN21,16850,CE,2021-06-18,09:58:59,1.85,1.85,1.85,1.85,375,6450
NIFTY,24JUN21,16850,CE,2021-06-18,09:59:59,1.6,1.6,1.6,1.6,75,6450
NIFTY,24JUN21,16850,CE,2021-06-18,10:01:59,1.8,1.8,1.8,1.8,450,0
NIFTY,24JUN21,16850,CE,2021-06-18,10:02:59,1.85,1.95,1.85,1.95,900,5850
NIFTY,24JUN21,16850,CE,2021-06-18,10:05:59,2.0,2.0,2.0,2.0,450,5850
NIFTY,24JUN21,16850,CE,2021-06-18,10:06:59,2.05,2.05,2.05,2.05,75,4875
NIFTY,24JUN21,16850,CE,2021-06-18,10:16:59,2.05,2.05,2.05,2.05,150,4875
NIFTY,24JUN21,16850,CE,2021-06-18,10:17:59,2.05,2.05,2.05,2.05,150,4725
NIFTY,24JUN21,16850,CE,2021-06-18,10:27:59,2.05,2.05,2.05,2.05,75,4575
NIFTY,24JUN21,16850,CE,2021-06-18,10:29:59,2.1,2.1,2.05,2.05,300,4575
