Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,25MAR21,15600,CE,2021-03-19,09:15:59,4.2,5.25,3.0,4.55,40875,1013775
NIFTY,25MAR21,15600,CE,2021-03-19,09:16:59,4.5,4.8,4.5,4.75,112800,1013775
NIFTY,25MAR21,15600,CE,2021-03-19,09:17:59,4.75,4.75,4.65,4.7,25125,1065750
NIFTY,25MAR21,15600,CE,2021-03-19,09:18:59,4.7,4.7,4.5,4.5,35925,1065750
NIFTY,25MAR21,15600,CE,2021-03-19,09:19:59,4.55,4.65,4.45,4.65,116625,1065750
NIFTY,25MAR21,15600,CE,2021-03-19,09:20:59,4.6,4.65,4.5,4.5,70425,1056450
NIFTY,25MAR21,15600,CE,2021-03-19,09:21:59,4.55,4.55,4.5,4.55,35175,1056450
NIFTY,25MAR21,15600,CE,2021-03-19,09:22:59,4.55,4.55,4.45,4.5,27000,1056450
NIFTY,25MAR21,15600,CE,2021-03-19,09:23:59,4.45,4.6,4.45,4.55,73350,1097925
NIFTY,25MAR21,15600,CE,2021-03-19,09:24:59,4.55,4.6,4.55,4.55,15225,1097925
NIFTY,25MAR21,15600,CE,2021-03-19,09:25:59,4.55,4.65,4.55,4.6,23700,1097925
NIFTY,25MAR21,15600,CE,2021-03-19,09:26:59,4.6,4.75,4.55,4.75,78150,1126500
NIFTY,25MAR21,15600,CE,2021-03-19,09:27:59,4.75,4.8,4.65,4.65,27525,1126500
NIFTY,25MAR21,15600,CE,2021-03-19,09:28:59,4.65,4.8,4.65,4.7,20100,1126500
NIFTY,25MAR21,15600,CE,2021-03-19,09:29:59,4.75,4.75,4.65,4.65,10875,1125600
NIFTY,25MAR21,15600,CE,2021-03-19,09:30:59,4.65,4.7,4.6,4.6,36525,1125600
NIFTY,25MAR21,15600,CE,2021-03-19,09:31:59,4.6,4.7,4.6,4.65,22200,1125600
NIFTY,25MAR21,15600,CE,2021-03-19,09:32:59,4.7,4.7,4.65,4.7,45300,1161300
NIFTY,25MAR21,15600,CE,2021-03-19,09:33:59,4.65,4.75,4.65,4.7,30150,1161300
NIFTY,25MAR21,15600,CE,2021-03-19,09:34:59,4.7,4.8,4.7,4.75,31200,1161300
NIFTY,25MAR21,15600,CE,2021-03-19,09:35:59,4.75,4.85,4.75,4.8,23850,1160100
NIFTY,25MAR21,15600,CE,2021-03-19,09:36:59,4.85,4.95,4.85,4.95,46650,1160100
NIFTY,25MAR21,15600,CE,2021-03-19,09:37:59,4.9,5.0,4.85,4.9,18300,1160100
NIFTY,25MAR21,15600,CE,2021-03-19,09:38:59,4.95,4.95,4.85,4.85,17550,1150950
NIFTY,25MAR21,15600,CE,2021-03-19,09:39:59,4.85,4.95,4.75,4.9,21000,1150950
NIFTY,25MAR21,15600,CE,2021-03-19,09:40:59,4.9,5.0,4.9,5.0,35475,1150950
NIFTY,25MAR21,15600,CE,2021-03-19,09:41:59,5.0,5.0,4.95,5.0,22050,1149750
NIFTY,25MAR21,15600,CE,2021-03-19,09:42:59,5.0,5.0,4.95,5.0,37275,1149750
NIFTY,25MAR21,15600,CE,2021-03-19,09:43:59,5.0,5.05,4.95,5.05,14400,1149750
NIFTY,25MAR21,15600,CE,2021-03-19,09:44:59,5.05,5.05,4.95,4.95,9600,1156575
NIFTY,25MAR21,15600,CE,2021-03-19,09:45:59,4.95,4.95,4.9,4.95,17700,1156575
NIFTY,25MAR21,15600,CE,2021-03-19,09:46:59,4.95,5.0,4.85,5.0,35025,1156575
NIFTY,25MAR21,15600,CE,2021-03-19,09:47:59,4.95,5.0,4.9,4.9,20775,1144800
NIFTY,25MAR21,15600,CE,2021-03-19,09:48:59,4.9,4.95,4.9,4.9,12600,1144800
NIFTY,25MAR21,15600,CE,2021-03-19,09:49:59,4.9,4.95,4.9,4.9,23700,1144800
NIFTY,25MAR21,15600,CE,2021-03-19,09:50:59,4.9,4.9,4.85,4.9,27675,1162650
NIFTY,25MAR21,15600,CE,2021-03-19,09:51:59,4.85,4.85,4.75,4.8,14925,1162650
NIFTY,25MAR21,15600,CE,2021-03-19,09:52:59,4.85,4.85,4.8,4.8,13725,1162650
NIFTY,25MAR21,15600,CE,2021-03-19,09:53:59,4.8,4.9,4.8,4.9,22425,1184175
NIFTY,25MAR21,15600,CE,2021-03-19,09:54:59,4.9,4.9,4.8,4.85,34725,1184175
NIFTY,25MAR21,15600,CE,2021-03-19,09:55:59,4.85,4.95,4.85,4.9,34275,1184175
NIFTY,25MAR21,15600,CE,2021-03-19,09:56:59,4.9,4.9,4.85,4.85,17325,1201050
