Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,27MAY21,14650,PE,2021-05-21,09:15:59,26.4,40.4,25.15,28.15,31125,386700
NIFTY,27MAY21,14650,PE,2021-05-21,09:16:59,28.35,28.65,27.65,28.5,36300,386700
NIFTY,27MAY21,14650,PE,2021-05-21,09:17:59,28.5,28.5,27.05,27.3,20475,414075
NIFTY,27MAY21,14650,PE,2021-05-21,09:18:59,27.25,27.6,26.65,27.45,17250,414075
NIFTY,27MAY21,14650,PE,2021-05-21,09:19:59,27.3,27.95,27.05,27.35,17550,414075
NIFTY,27MAY21,14650,PE,2021-05-21,09:20:59,27.45,27.45,26.6,26.95,21450,434400
NIFTY,27MAY21,14650,PE,2021-05-21,09:21:59,26.7,28.2,26.7,28.2,25800,434400
NIFTY,27MAY21,14650,PE,2021-05-21,09:22:59,28.05,30.7,27.9,30.0,41025,434400
NIFTY,27MAY21,14650,PE,2021-05-21,09:23:59,30.05,31.0,29.8,30.5,19275,434475
NIFTY,27MAY21,14650,PE,2021-05-21,09:24:59,30.35,30.65,29.6,30.05,15525,434475
NIFTY,27MAY21,14650,PE,2021-05-21,09:25:59,30.0,31.65,30.0,30.9,25125,434475
NIFTY,27MAY21,14650,PE,2021-05-21,09:26:59,30.6,30.6,28.0,28.15,28500,448200
NIFTY,27MAY21,14650,PE,2021-05-21,09:27:59,27.9,28.4,26.75,27.0,31125,448200
NIFTY,27MAY21,14650,PE,2021-05-21,09:28:59,26.95,27.25,26.15,26.55,20625,448200
NIFTY,27MAY21,14650,PE,2021-05-21,09:29:59,26.45,27.25,26.45,26.5,7725,450675
NIFTY,27MAY21,14650,PE,2021-05-21,09:30:59,26.4,26.4,24.95,25.35,35250,450675
NIFTY,27MAY21,14650,PE,2021-05-21,09:31:59,25.6,26.25,25.55,26.15,11625,450675
NIFTY,27MAY21,14650,PE,2021-05-21,09:32:59,26.15,26.4,25.6,26.4,11475,450000
NIFTY,27MAY21,14650,PE,2021-05-21,09:33:59,26.55,26.8,26.3,26.4,15450,450000
NIFTY,27MAY21,14650,PE,2021-05-21,09:34:59,26.25,26.6,25.85,26.1,21975,450000
NIFTY,27MAY21,14650,PE,2021-05-21,09:35:59,26.2,26.25,25.6,26.15,19800,455475
NIFTY,27MAY21,14650,PE,2021-05-21,09:36:59,25.95,26.0,25.5,25.55,29475,455475
NIFTY,27MAY21,14650,PE,2021-05-21,09:37:59,25.45,25.6,25.05,25.6,25800,455475
NIFTY,27MAY21,14650,PE,2021-05-21,09:38:59,25.45,25.6,25.0,25.4,17475,463800
NIFTY,27MAY21,14650,PE,2021-05-21,09:39:59,25.4,25.45,24.55,24.7,19650,463800
NIFTY,27MAY21,14650,PE,2021-05-21,09:40:59,24.8,24.9,24.35,24.65,24075,463800
NIFTY,27MAY21,14650,PE,2021-05-21,09:41:59,24.65,24.65,24.1,24.3,13350,479400
NIFTY,27MAY21,14650,PE,2021-05-21,09:42:59,24.4,25.0,24.35,24.6,27000,479400
NIFTY,27MAY21,14650,PE,2021-05-21,09:43:59,24.55,24.6,23.7,23.8,12675,479400
NIFTY,27MAY21,14650,PE,2021-05-21,09:44:59,23.9,24.05,23.6,23.65,19800,486975
NIFTY,27MAY21,14650,PE,2021-05-21,09:45:59,23.45,23.6,22.9,23.3,54075,486975
NIFTY,27MAY21,14650,PE,2021-05-21,09:46:59,23.3,23.45,22.55,23.1,28500,486975
NIFTY,27MAY21,14650,PE,2021-05-21,09:47:59,23.05,23.35,22.9,23.15,21825,484950
NIFTY,27MAY21,14650,PE,2021-05-21,09:48:59,22.95,23.05,22.75,22.75,20925,484950
NIFTY,27MAY21,14650,PE,2021-05-21,09:49:59,22.95,22.95,21.9,21.9,32325,484950
NIFTY,27MAY21,14650,PE,2021-05-21,09:50:59,21.9,22.25,21.85,22.0,21675,490875
NIFTY,27MAY21,14650,PE,2021-05-21,09:51:59,21.9,22.1,21.4,21.95,54225,490875
NIFTY,27MAY21,14650,PE,2021-05-21,09:52:59,21.9,22.45,21.9,22.4,24000,490875
NIFTY,27MAY21,14650,PE,2021-05-21,09:53:59,22.25,22.55,22.05,22.2,16050,481800
NIFTY,27MAY21,14650,PE,2021-05-21,09:54:59,22.25,22.3,22.05,22.2,12750,481800
NIFTY,27MAY21,14650,PE,2021-05-21,09:55:59,22.05,22.35,21.8,22.3,10575,481800
NIFTY,27MAY21,14650,PE,2021-05-21,09:56:59,22.3,22.3,21.85,22.0,13950,484125
NIFTY,27MAY21,14650,PE,2021-05-21,09:57:59,21.95,22.0,21.45,21.55,9000,484125
NIFTY,27MAY21,14650,PE,2021-05-21,09:58:59,21.6,21.95,21.3,21.95,16200,484125
NIFTY,27MAY21,14650,PE,2021-05-21,09:59:59,21.85,22.0,21.75,21.85,9750,486000
NIFTY,27MAY21,14650,PE,2021-05-21,10:00:59,21.85,22.45,21.65,22.45,17175,486000
NIFTY,27MAY21,14650,PE,2021-05-21,10:01:59,22.35,22.55,22.2,22.4,10200,486000
NIFTY,27MAY21,14650,PE,2021-05-21,10:02:59,22.3,22.3,21.85,21.9,9825,489150
NIFTY,27MAY21,14650,PE,2021-05-21,10:03:59,21.95,22.1,20.75,20.75,29250,489150
NIFTY,27MAY21,14650,PE,2021-05-21,10:04:59,20.8,21.1,20.55,20.95,14850,489150
NIFTY,27MAY21,14650,PE,2021-05-21,10:05:59,20.85,21.35,20.65,21.25,8625,491475
NIFTY,27MAY21,14650,PE,2021-05-21,10:06:59,21.25,21.75,21.25,21.5,16275,491475
NIFTY,27MAY21,14650,PE,2021-05-21,10:07:59,21.55,21.75,21.45,21.6,4725,491475
NIFTY,27MAY21,14650,PE,2021-05-21,10:08:59,21.55,21.55,21.1,21.15,14325,495150
NIFTY,27MAY21,14650,PE,2021-05-21,10:09:59,21.2,21.7,21.1,21.7,8475,495150
NIFTY,27MAY21,14650,PE,2021-05-21,10:10:59,21.8,22.05,21.55,21.9,8925,495150
NIFTY,27MAY21,14650,PE,2021-05-21,10:11:59,21.9,22.1,21.6,21.8,9900,496800
NIFTY,27MAY21,14650,PE,2021-05-21,10:12:59,21.8,21.85,21.05,21.25,11175,496800
NIFTY,27MAY21,14650,PE,2021-05-21,10:13:59,21.2,21.55,21.2,21.45,4575,496800
NIFTY,27MAY21,14650,PE,2021-05-21,10:14:59,21.45,21.55,21.3,21.4,5550,501000
NIFTY,27MAY21,14650,PE,2021-05-21,10:15:59,21.3,21.4,20.85,20.85,9900,501000
NIFTY,27MAY21,14650,PE,2021-05-21,10:16:59,20.95,21.15,20.75,21.05,7200,501000
NIFTY,27MAY21,14650,PE,2021-05-21,10:17:59,20.95,21.05,20.45,20.95,14400,505050
NIFTY,27MAY21,14650,PE,2021-05-21,10:18:59,21.05,21.05,20.65,20.7,9825,505050
NIFTY,27MAY21,14650,PE,2021-05-21,10:19:59,20.7,20.7,19.75,20.3,31500,505050
NIFTY,27MAY21,14650,PE,2021-05-21,10:20:59,20.1,20.6,20.1,20.45,9450,510075
NIFTY,27MAY21,14650,PE,2021-05-21,10:21:59,20.35,20.5,20.2,20.5,6300,510075
NIFTY,27MAY21,14650,PE,2021-05-21,10:22:59,20.55,20.65,20.15,20.3,11700,510075
NIFTY,27MAY21,14650,PE,2021-05-21,10:23:59,20.1,20.25,20.05,20.2,6600,510675
NIFTY,27MAY21,14650,PE,2021-05-21,10:24:59,20.0,20.4,19.8,19.8,6000,510675
NIFTY,27MAY21,14650,PE,2021-05-21,10:25:59,19.95,20.2,19.4,20.2,9150,510675
NIFTY,27MAY21,14650,PE,2021-05-21,10:26:59,20.0,20.5,20.0,20.4,12825,512025
NIFTY,27MAY21,14650,PE,2021-05-21,10:27:59,20.4,20.5,20.2,20.35,2400,512025
NIFTY,27MAY21,14650,PE,2021-05-21,10:28:59,20.35,20.35,20.0,20.0,5250,512025
NIFTY,27MAY21,14650,PE,2021-05-21,10:29:59,20.0,20.0,19.55,19.65,4200,513300
NIFTY,27MAY21,14650,PE,2021-05-21,10:30:59,19.5,19.5,18.85,19.3,19200,513300
NIFTY,27MAY21,14650,PE,2021-05-21,10:31:59,19.4,19.7,19.3,19.55,6150,513300
NIFTY,27MAY21,14650,PE,2021-05-21,10:32:59,19.5,19.65,19.4,19.55,5550,512775
NIFTY,27MAY21,14650,PE,2021-05-21,10:33:59,19.5,19.7,19.5,19.65,4500,512775
NIFTY,27MAY21,14650,PE,2021-05-21,10:34:59,19.5,19.7,19.4,19.65,6675,512775
NIFTY,27MAY21,14650,PE,2021-05-21,10:35:59,19.75,20.2,19.7,20.2,5550,512625
NIFTY,27MAY21,14650,PE,2021-05-21,10:36:59,20.05,20.2,19.95,20.05,9300,512625
NIFTY,27MAY21,14650,PE,2021-05-21,10:37:59,20.2,20.25,19.65,19.9,8025,512625
NIFTY,27MAY21,14650,PE,2021-05-21,10:38:59,19.85,19.9,19.3,19.4,10275,515550
NIFTY,27MAY21,14650,PE,2021-05-21,10:39:59,19.45,19.6,19.2,19.6,9900,515550
