Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,25NOV21,15250,PE,2021-11-22,09:15:59,2.85,2.85,0.7,1.0,650,2000
NIFTY,25NOV21,15250,PE,2021-11-22,09:16:59,1.0,1.0,1.0,1.0,100,2000
NIFTY,25NOV21,15250,PE,2021-11-22,09:17:59,1.0,1.0,1.0,1.0,1450,4050
NIFTY,25NOV21,15250,PE,2021-11-22,09:18:59,0.95,0.95,0.95,0.95,50,4050
NIFTY,25NOV21,15250,PE,2021-11-22,09:19:59,0.95,0.95,0.95,0.95,700,4050
NIFTY,25NOV21,15250,PE,2021-11-22,09:20:59,1.1,1.1,1.1,1.1,900,4950
NIFTY,25NOV21,15250,PE,2021-11-22,09:21:59,1.1,1.1,1.1,1.1,500,4950
NIFTY,25NOV21,15250,PE,2021-11-22,09:23:59,1.1,1.1,1.1,1.1,200,6400
NIFTY,25NOV21,15250,PE,2021-11-22,09:24:59,1.1,1.1,1.1,1.1,100,6400
NIFTY,25NOV21,15250,PE,2021-11-22,09:31:59,1.1,1.1,1.1,1.1,50,6550
NIFTY,25NOV21,15250,PE,2021-11-22,09:35:59,1.1,1.1,1.1,1.1,50,6600
NIFTY,25NOV21,15250,PE,2021-11-22,09:37:59,1.1,1.1,1.1,1.1,100,6600
NIFTY,25NOV21,15250,PE,2021-11-22,09:39:59,1.1,1.1,1.1,1.1,850,6750
NIFTY,25NOV21,15250,PE,2021-11-22,09:40:59,0.85,1.0,0.85,1.0,1100,6750
NIFTY,25NOV21,15250,PE,2021-11-22,09:41:59,0.85,0.9,0.85,0.9,350,7000
NIFTY,25NOV21,15250,PE,2021-11-22,09:43:59,1.0,1.0,0.85,0.85,550,7000
NIFTY,25NOV21,15250,PE,2021-11-22,09:44:59,0.8,1.0,0.8,0.8,400,7000
NIFTY,25NOV21,15250,PE,2021-11-22,09:45:59,1.0,1.0,1.0,1.0,500,7050
NIFTY,25NOV21,15250,PE,2021-11-22,09:46:59,1.0,1.0,1.0,1.0,100,7050
NIFTY,25NOV21,15250,PE,2021-11-22,09:47:59,1.0,1.0,1.0,1.0,50,7650
NIFTY,25NOV21,15250,PE,2021-11-22,09:48:59,1.0,1.0,1.0,1.0,500,7650
NIFTY,25NOV21,15250,PE,2021-11-22,09:50:59,1.0,1.0,1.0,1.0,200,7650
NIFTY,25NOV21,15250,PE,2021-11-22,09:51:59,1.0,1.0,1.0,1.0,250,8200
NIFTY,25NOV21,15250,PE,2021-11-22,09:53:59,0.8,0.8,0.8,0.8,1050,8200
NIFTY,25NOV21,15250,PE,2021-11-22,09:58:59,0.8,0.8,0.8,0.8,50,7600
NIFTY,25NOV21,15250,PE,2021-11-22,10:02:59,0.8,0.8,0.8,0.8,400,7550
NIFTY,25NOV21,15250,PE,2021-11-22,10:04:59,0.8,0.8,0.8,0.8,150,7550
NIFTY,25NOV21,15250,PE,2021-11-22,10:05:59,1.05,1.05,0.85,1.05,4150,7100
NIFTY,25NOV21,15250,PE,2021-11-22,10:06:59,0.9,1.1,0.85,1.1,4800,7100
NIFTY,25NOV21,15250,PE,2021-11-22,10:07:59,1.1,1.1,0.9,0.95,1900,7100
NIFTY,25NOV21,15250,PE,2021-11-22,10:08:59,1.1,1.1,0.85,1.1,1100,7200
NIFTY,25NOV21,15250,PE,2021-11-22,10:15:59,1.0,1.0,1.0,1.0,1200,7400
NIFTY,25NOV21,15250,PE,2021-11-22,10:16:59,1.1,1.1,1.0,1.0,1800,7400
NIFTY,25NOV21,15250,PE,2021-11-22,10:18:59,1.15,1.15,1.15,1.15,600,7200
NIFTY,25NOV21,15250,PE,2021-11-22,10:19:59,1.15,1.15,1.15,1.15,200,7200
NIFTY,25NOV21,15250,PE,2021-11-22,10:20:59,1.15,1.15,1.1,1.15,650,7950
NIFTY,25NOV21,15250,PE,2021-11-22,10:24:59,1.15,1.15,1.15,1.15,50,7950
NIFTY,25NOV21,15250,PE,2021-11-22,10:28:59,1.05,1.15,1.0,1.15,1000,7950
NIFTY,25NOV21,15250,PE,2021-11-22,10:29:59,1.0,1.0,1.0,1.0,1700,7950
NIFTY,25NOV21,15250,PE,2021-11-22,10:30:59,1.0,1.0,1.0,1.0,150,7650
NIFTY,25NOV21,15250,PE,2021-11-22,10:32:59,1.05,1.05,1.05,1.05,600,7550
NIFTY,25NOV21,15250,PE,2021-11-22,10:33:59,1.05,1.1,1.05,1.05,200,7550
NIFTY,25NOV21,15250,PE,2021-11-22,10:34:59,1.1,1.1,1.05,1.05,800,7550
NIFTY,25NOV21,15250,PE,2021-11-22,10:35:59,1.1,1.1,1.05,1.05,8550,7550
NIFTY,25NOV21,15250,PE,2021-11-22,10:36:59,1.1,1.1,1.05,1.1,4850,7550
NIFTY,25NOV21,15250,PE,2021-11-22,10:37:59,1.05,1.1,1.05,1.1,3250,7550
NIFTY,25NOV21,15250,PE,2021-11-22,10:38:59,1.1,1.1,1.05,1.05,300,7750
NIFTY,25NOV21,15250,PE,2021-11-22,10:42:59,1.05,1.05,1.05,1.05,50,7600
NIFTY,25NOV21,15250,PE,2021-11-22,10:54:59,1.1,1.1,0.9,1.1,3700,7550
NIFTY,25NOV21,15250,PE,2021-11-22,10:55:59,0.9,1.1,0.9,0.9,350,7550
NIFTY,25NOV21,15250,PE,2021-11-22,11:02:59,0.95,0.95,0.95,0.95,150,8150
NIFTY,25NOV21,15250,PE,2021-11-22,11:04:59,0.95,1.0,0.95,1.0,4650,8150
NIFTY,25NOV21,15250,PE,2021-11-22,11:05:59,1.05,1.1,1.0,1.0,5600,8150
NIFTY,25NOV21,15250,PE,2021-11-22,11:06:59,1.15,1.15,1.15,1.15,100,8050
NIFTY,25NOV21,15250,PE,2021-11-22,11:07:59,1.15,1.15,1.05,1.05,1200,8050
NIFTY,25NOV21,15250,PE,2021-11-22,11:08:59,1.0,1.0,1.0,1.0,900,8050
NIFTY,25NOV21,15250,PE,2021-11-22,11:09:59,1.0,1.05,1.0,1.05,3700,8250
NIFTY,25NOV21,15250,PE,2021-11-22,11:10:59,1.05,1.05,1.05,1.05,550,8250
NIFTY,25NOV21,15250,PE,2021-11-22,11:12:59,1.05,1.05,1.05,1.05,3000,8150
NIFTY,25NOV21,15250,PE,2021-11-22,11:13:59,1.05,1.05,1.05,1.05,7150,8150
NIFTY,25NOV21,15250,PE,2021-11-22,11:14:59,1.05,1.05,1.05,1.05,850,8150
NIFTY,25NOV21,15250,PE,2021-11-22,11:17:59,1.0,1.0,1.0,1.0,950,10300
NIFTY,25NOV21,15250,PE,2021-11-22,11:26:59,1.0,1.0,1.0,1.0,50,10100
NIFTY,25NOV21,15250,PE,2021-11-22,11:32:59,0.95,0.95,0.95,0.95,100,10100
NIFTY,25NOV21,15250,PE,2021-11-22,11:44:59,0.95,0.95,0.95,0.95,100,10100
