Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,28OCT21,18250,CE,2021-10-22,09:15:59,146.75,154.8,140.05,147.85,183700,669750
NIFTY,28OCT21,18250,CE,2021-10-22,09:16:59,147.6,156.85,146.95,149.45,279750,669750
NIFTY,28OCT21,18250,CE,2021-10-22,09:17:59,149.25,151.7,138.15,143.0,185050,808650
NIFTY,28OCT21,18250,CE,2021-10-22,09:18:59,142.75,146.55,132.15,146.55,144100,808650
NIFTY,28OCT21,18250,CE,2021-10-22,09:19:59,147.0,153.4,146.05,153.4,151150,808650
NIFTY,28OCT21,18250,CE,2021-10-22,09:20:59,154.8,161.35,152.75,157.05,305500,914100
NIFTY,28OCT21,18250,CE,2021-10-22,09:21:59,157.4,157.95,150.7,154.7,160150,914100
NIFTY,28OCT21,18250,CE,2021-10-22,09:22:59,154.0,154.0,147.05,151.0,114650,914100
NIFTY,28OCT21,18250,CE,2021-10-22,09:23:59,151.25,151.75,138.75,144.35,177900,982850
NIFTY,28OCT21,18250,CE,2021-10-22,09:24:59,144.95,151.8,142.85,148.05,137800,982850
NIFTY,28OCT21,18250,CE,2021-10-22,09:25:59,147.75,152.3,147.75,151.15,142900,982850
NIFTY,28OCT21,18250,CE,2021-10-22,09:26:59,151.6,157.05,150.1,157.05,126000,1052000
NIFTY,28OCT21,18250,CE,2021-10-22,09:27:59,157.85,159.7,155.4,157.85,120400,1052000
NIFTY,28OCT21,18250,CE,2021-10-22,09:28:59,157.65,159.35,154.95,158.65,108800,1052000
NIFTY,28OCT21,18250,CE,2021-10-22,09:29:59,159.0,160.5,154.15,158.0,117200,1032050
NIFTY,28OCT21,18250,CE,2021-10-22,09:30:59,158.1,165.65,158.1,163.9,208300,1032050
NIFTY,28OCT21,18250,CE,2021-10-22,09:31:59,165.0,167.0,157.85,160.2,139550,1032050
NIFTY,28OCT21,18250,CE,2021-10-22,09:32:59,160.05,164.0,160.05,162.2,59700,1029950
NIFTY,28OCT21,18250,CE,2021-10-22,09:33:59,161.75,162.8,157.65,162.4,64450,1029950
NIFTY,28OCT21,18250,CE,2021-10-22,09:34:59,163.05,167.05,162.5,166.55,105500,1029950
NIFTY,28OCT21,18250,CE,2021-10-22,09:35:59,167.2,167.2,159.05,161.0,110800,1024500
NIFTY,28OCT21,18250,CE,2021-10-22,09:36:59,161.75,165.85,161.0,164.35,54150,1024500
NIFTY,28OCT21,18250,CE,2021-10-22,09:37:59,164.7,167.75,161.35,167.0,62600,1024500
NIFTY,28OCT21,18250,CE,2021-10-22,09:38:59,165.75,167.45,162.75,166.0,75050,996100
NIFTY,28OCT21,18250,CE,2021-10-22,09:39:59,165.85,168.7,165.25,168.4,63050,996100
NIFTY,28OCT21,18250,CE,2021-10-22,09:40:59,168.55,174.6,168.15,171.55,135450,996100
NIFTY,28OCT21,18250,CE,2021-10-22,09:41:59,170.15,174.1,169.95,170.9,78900,975100
NIFTY,28OCT21,18250,CE,2021-10-22,09:42:59,170.15,172.6,168.0,170.75,64200,975100
NIFTY,28OCT21,18250,CE,2021-10-22,09:43:59,170.6,171.15,167.45,170.5,55950,975100
NIFTY,28OCT21,18250,CE,2021-10-22,09:44:59,170.95,173.8,170.05,173.25,69000,971150
NIFTY,28OCT21,18250,CE,2021-10-22,09:45:59,172.6,176.1,167.7,168.1,100900,971150
NIFTY,28OCT21,18250,CE,2021-10-22,09:46:59,167.9,172.25,164.25,164.25,78300,971150
NIFTY,28OCT21,18250,CE,2021-10-22,09:47:59,164.55,164.8,159.1,162.2,97550,968850
NIFTY,28OCT21,18250,CE,2021-10-22,09:48:59,162.9,165.2,159.35,160.6,74350,968850
NIFTY,28OCT21,18250,CE,2021-10-22,09:49:59,160.85,164.4,159.05,164.35,45400,968850
NIFTY,28OCT21,18250,CE,2021-10-22,09:50:59,164.75,167.0,162.65,163.45,59750,973950
NIFTY,28OCT21,18250,CE,2021-10-22,09:51:59,163.55,163.55,156.85,161.25,63950,973950
NIFTY,28OCT21,18250,CE,2021-10-22,09:52:59,161.95,162.25,158.3,162.25,38250,973950
NIFTY,28OCT21,18250,CE,2021-10-22,09:53:59,161.95,161.95,154.4,154.45,79000,996300
NIFTY,28OCT21,18250,CE,2021-10-22,09:54:59,152.85,156.75,149.35,155.0,125750,996300
NIFTY,28OCT21,18250,CE,2021-10-22,09:55:59,154.7,154.7,149.0,149.0,87200,996300
NIFTY,28OCT21,18250,CE,2021-10-22,09:56:59,148.3,148.3,142.4,142.4,136000,1035750
NIFTY,28OCT21,18250,CE,2021-10-22,09:57:59,140.95,144.95,138.75,144.95,141800,1035750
NIFTY,28OCT21,18250,CE,2021-10-22,09:58:59,144.8,148.8,144.65,148.4,96800,1035750
NIFTY,28OCT21,18250,CE,2021-10-22,09:59:59,148.8,155.0,148.8,152.7,137350,1078450
NIFTY,28OCT21,18250,CE,2021-10-22,10:00:59,153.9,155.0,148.1,153.95,101700,1078450
NIFTY,28OCT21,18250,CE,2021-10-22,10:01:59,153.95,159.55,153.8,157.2,149600,1078450
NIFTY,28OCT21,18250,CE,2021-10-22,10:02:59,156.15,159.3,154.1,158.45,61500,1086550
NIFTY,28OCT21,18250,CE,2021-10-22,10:03:59,158.05,162.35,157.45,160.45,98800,1086550
NIFTY,28OCT21,18250,CE,2021-10-22,10:04:59,160.45,163.0,159.0,159.0,64250,1086550
NIFTY,28OCT21,18250,CE,2021-10-22,10:05:59,158.65,162.45,157.3,158.15,59850,1089600
NIFTY,28OCT21,18250,CE,2021-10-22,10:06:59,158.3,158.85,153.45,155.0,71100,1089600
