Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,30SEP21,15300,PE,2021-09-24,09:16:59,1.6,1.6,1.6,1.6,100,193600
NIFTY,30SEP21,15300,PE,2021-09-24,09:17:59,1.85,1.85,1.85,1.85,300,193700
NIFTY,30SEP21,15300,PE,2021-09-24,09:18:59,1.9,1.9,1.9,1.9,1350,193700
NIFTY,30SEP21,15300,PE,2021-09-24,09:19:59,1.9,1.9,1.9,1.9,450,193700
NIFTY,30SEP21,15300,PE,2021-09-24,09:20:59,1.9,1.9,1.85,1.9,3150,193400
NIFTY,30SEP21,15300,PE,2021-09-24,09:21:59,1.9,1.9,1.9,1.9,300,193400
NIFTY,30SEP21,15300,PE,2021-09-24,09:22:59,1.95,1.95,1.95,1.95,2250,193400
NIFTY,30SEP21,15300,PE,2021-09-24,09:23:59,2.0,2.0,2.0,2.0,450,193550
NIFTY,30SEP21,15300,PE,2021-09-24,09:24:59,2.0,2.0,2.0,2.0,200,193550
NIFTY,30SEP21,15300,PE,2021-09-24,09:26:59,2.0,2.05,2.0,2.0,1250,193950
NIFTY,30SEP21,15300,PE,2021-09-24,09:27:59,2.05,2.05,2.05,2.05,1200,193950
NIFTY,30SEP21,15300,PE,2021-09-24,09:29:59,2.0,2.0,1.95,1.95,1450,194250
NIFTY,30SEP21,15300,PE,2021-09-24,09:31:59,1.95,1.95,1.95,1.95,4250,194250
NIFTY,30SEP21,15300,PE,2021-09-24,09:32:59,1.9,1.9,1.9,1.9,600,195900
NIFTY,30SEP21,15300,PE,2021-09-24,09:33:59,1.85,1.9,1.85,1.9,750,195900
NIFTY,30SEP21,15300,PE,2021-09-24,09:35:59,1.85,1.85,1.85,1.85,600,195700
NIFTY,30SEP21,15300,PE,2021-09-24,09:36:59,1.85,1.85,1.8,1.8,500,195700
NIFTY,30SEP21,15300,PE,2021-09-24,09:37:59,1.9,1.9,1.85,1.9,850,195700
NIFTY,30SEP21,15300,PE,2021-09-24,09:38:59,1.85,1.9,1.85,1.9,2000,196100
NIFTY,30SEP21,15300,PE,2021-09-24,09:39:59,1.9,1.9,1.8,1.8,2500,196100
NIFTY,30SEP21,15300,PE,2021-09-24,09:41:59,1.8,1.8,1.8,1.8,400,196100
NIFTY,30SEP21,15300,PE,2021-09-24,09:42:59,1.8,1.85,1.8,1.85,450,196500
NIFTY,30SEP21,15300,PE,2021-09-24,09:46:59,1.85,1.85,1.85,1.85,500,196500
NIFTY,30SEP21,15300,PE,2021-09-24,09:47:59,1.8,1.8,1.8,1.8,300,196500
NIFTY,30SEP21,15300,PE,2021-09-24,09:48:59,1.85,1.85,1.85,1.85,400,196550
NIFTY,30SEP21,15300,PE,2021-09-24,09:52:59,1.9,1.9,1.85,1.85,2700,196450
NIFTY,30SEP21,15300,PE,2021-09-24,09:53:59,1.9,1.9,1.9,1.9,150,196450
NIFTY,30SEP21,15300,PE,2021-09-24,09:55:59,1.9,1.9,1.9,1.9,1650,196450
NIFTY,30SEP21,15300,PE,2021-09-24,09:56:59,1.85,1.85,1.85,1.85,600,196450
NIFTY,30SEP21,15300,PE,2021-09-24,09:57:59,1.9,1.9,1.9,1.9,300,196450
NIFTY,30SEP21,15300,PE,2021-09-24,09:58:59,1.95,1.95,1.95,1.95,50,196450
NIFTY,30SEP21,15300,PE,2021-09-24,10:00:59,1.95,1.95,1.95,1.95,300,196650
NIFTY,30SEP21,15300,PE,2021-09-24,10:01:59,1.9,1.9,1.9,1.9,400,196650
NIFTY,30SEP21,15300,PE,2021-09-24,10:02:59,1.9,1.9,1.85,1.85,600,196200
NIFTY,30SEP21,15300,PE,2021-09-24,10:05:59,1.85,1.9,1.85,1.85,5950,195850
NIFTY,30SEP21,15300,PE,2021-09-24,10:13:59,1.9,1.9,1.9,1.9,1100,198350
NIFTY,30SEP21,15300,PE,2021-09-24,10:16:59,1.85,1.85,1.85,1.85,150,199450
NIFTY,30SEP21,15300,PE,2021-09-24,10:18:59,1.8,1.8,1.8,1.8,450,199450
NIFTY,30SEP21,15300,PE,2021-09-24,10:20:59,1.9,1.9,1.9,1.9,1100,199450
NIFTY,30SEP21,15300,PE,2021-09-24,10:22:59,1.85,1.85,1.85,1.85,200,199850
NIFTY,30SEP21,15300,PE,2021-09-24,10:26:59,1.8,1.8,1.8,1.8,50,199650
NIFTY,30SEP21,15300,PE,2021-09-24,10:27:59,1.85,1.85,1.85,1.85,100,199600
NIFTY,30SEP21,15300,PE,2021-09-24,10:28:59,1.85,1.85,1.85,1.85,600,199600
NIFTY,30SEP21,15300,PE,2021-09-24,10:30:59,1.9,1.9,1.9,1.9,1700,199600
NIFTY,30SEP21,15300,PE,2021-09-24,10:31:59,1.9,1.9,1.85,1.85,1000,199600
NIFTY,30SEP21,15300,PE,2021-09-24,10:33:59,1.85,1.85,1.85,1.85,150,200600
NIFTY,30SEP21,15300,PE,2021-09-24,10:34:59,1.9,1.9,1.85,1.85,2250,200600
NIFTY,30SEP21,15300,PE,2021-09-24,10:35:59,1.85,1.85,1.85,1.85,150,201300
NIFTY,30SEP21,15300,PE,2021-09-24,10:36:59,1.85,1.85,1.85,1.85,150,201300
NIFTY,30SEP21,15300,PE,2021-09-24,10:37:59,1.8,1.85,1.8,1.85,1550,201300
NIFTY,30SEP21,15300,PE,2021-09-24,10:42:59,1.9,1.9,1.85,1.85,1800,201100
NIFTY,30SEP21,15300,PE,2021-09-24,10:43:59,1.9,1.9,1.9,1.9,150,201100
NIFTY,30SEP21,15300,PE,2021-09-24,10:44:59,1.9,1.9,1.85,1.85,1700,201100
NIFTY,30SEP21,15300,PE,2021-09-24,10:49:59,1.85,1.85,1.85,1.85,1500,201050
NIFTY,30SEP21,15300,PE,2021-09-24,10:52:59,1.85,1.85,1.85,1.85,100,201950
NIFTY,30SEP21,15300,PE,2021-09-24,10:53:59,1.9,1.9,1.9,1.9,350,201650
NIFTY,30SEP21,15300,PE,2021-09-24,10:54:59,1.85,1.85,1.85,1.85,150,201650
NIFTY,30SEP21,15300,PE,2021-09-24,10:56:59,1.8,1.9,1.8,1.9,650,201650
NIFTY,30SEP21,15300,PE,2021-09-24,10:57:59,1.85,1.85,1.85,1.85,1000,201200
NIFTY,30SEP21,15300,PE,2021-09-24,10:58:59,1.9,1.9,1.9,1.9,750,201200
NIFTY,30SEP21,15300,PE,2021-09-24,11:00:59,1.95,1.95,1.9,1.9,750,201000
NIFTY,30SEP21,15300,PE,2021-09-24,11:02:59,1.85,1.95,1.85,1.95,100,201000
NIFTY,30SEP21,15300,PE,2021-09-24,11:03:59,1.9,1.9,1.9,1.9,150,201300
NIFTY,30SEP21,15300,PE,2021-09-24,11:04:59,1.85,1.85,1.85,1.85,50,201300
NIFTY,30SEP21,15300,PE,2021-09-24,11:05:59,1.85,1.9,1.85,1.9,1200,199750
NIFTY,30SEP21,15300,PE,2021-09-24,11:06:59,1.85,1.85,1.85,1.85,1100,199750
NIFTY,30SEP21,15300,PE,2021-09-24,11:07:59,1.9,1.9,1.9,1.9,50,199750
NIFTY,30SEP21,15300,PE,2021-09-24,11:08:59,1.9,1.9,1.9,1.9,750,199750
NIFTY,30SEP21,15300,PE,2021-09-24,11:09:59,2.05,2.05,1.85,1.85,2850,200800
NIFTY,30SEP21,15300,PE,2021-09-24,11:10:59,1.9,1.9,1.9,1.9,1750,200800
NIFTY,30SEP21,15300,PE,2021-09-24,11:14:59,1.95,1.95,1.95,1.95,50,203600
NIFTY,30SEP21,15300,PE,2021-09-24,11:15:59,1.9,1.9,1.9,1.9,750,201300
NIFTY,30SEP21,15300,PE,2021-09-24,11:17:59,1.9,1.95,1.9,1.9,550,201300
NIFTY,30SEP21,15300,PE,2021-09-24,11:22:59,1.9,1.9,1.9,1.9,50,201950
NIFTY,30SEP21,15300,PE,2021-09-24,11:25:59,1.9,1.9,1.9,1.9,50,201900
NIFTY,30SEP21,15300,PE,2021-09-24,11:26:59,1.9,1.9,1.9,1.9,250,201900
NIFTY,30SEP21,15300,PE,2021-09-24,11:29:59,1.85,1.85,1.8,1.85,3100,201950
NIFTY,30SEP21,15300,PE,2021-09-24,11:31:59,1.8,1.8,1.8,1.8,750,199950
NIFTY,30SEP21,15300,PE,2021-09-24,11:34:59,1.85,1.85,1.85,1.85,600,200700
NIFTY,30SEP21,15300,PE,2021-09-24,11:35:59,1.9,1.9,1.9,1.9,100,200700
NIFTY,30SEP21,15300,PE,2021-09-24,11:45:59,1.9,1.9,1.9,1.9,150,198300
NIFTY,30SEP21,15300,PE,2021-09-24,11:50:59,1.85,1.85,1.85,1.85,200,198450
NIFTY,30SEP21,15300,PE,2021-09-24,11:51:59,1.9,1.9,1.9,1.9,100,198250
NIFTY,30SEP21,15300,PE,2021-09-24,11:52:59,1.9,1.95,1.9,1.95,2050,198250
NIFTY,30SEP21,15300,PE,2021-09-24,11:53:59,1.9,1.9,1.85,1.85,1500,198250
NIFTY,30SEP21,15300,PE,2021-09-24,11:54:59,1.95,1.95,1.95,1.95,450,200150
NIFTY,30SEP21,15300,PE,2021-09-24,11:55:59,1.9,1.9,1.8,1.8,1750,200150
NIFTY,30SEP21,15300,PE,2021-09-24,12:01:59,1.9,1.9,1.9,1.9,1000,200300
NIFTY,30SEP21,15300,PE,2021-09-24,12:02:59,1.9,1.9,1.9,1.9,350,200300
NIFTY,30SEP21,15300,PE,2021-09-24,12:03:59,1.9,1.9,1.9,1.9,200,201300
NIFTY,30SEP21,15300,PE,2021-09-24,12:04:59,1.9,1.9,1.9,1.9,200,201300
NIFTY,30SEP21,15300,PE,2021-09-24,12:18:59,1.85,1.85,1.85,1.85,50,200450
NIFTY,30SEP21,15300,PE,2021-09-24,12:19:59,1.9,1.9,1.9,1.9,300,200450
NIFTY,30SEP21,15300,PE,2021-09-24,12:20:59,1.9,1.9,1.9,1.9,150,200450
NIFTY,30SEP21,15300,PE,2021-09-24,12:22:59,1.85,1.85,1.85,1.85,100,200300
NIFTY,30SEP21,15300,PE,2021-09-24,12:34:59,1.75,1.9,1.75,1.9,1600,200200
NIFTY,30SEP21,15300,PE,2021-09-24,12:35:59,1.9,1.9,1.9,1.9,300,200200
NIFTY,30SEP21,15300,PE,2021-09-24,12:36:59,1.9,1.95,1.9,1.95,1400,200200
NIFTY,30SEP21,15300,PE,2021-09-24,12:40:59,1.9,1.9,1.85,1.85,700,200150
NIFTY,30SEP21,15300,PE,2021-09-24,12:42:59,1.9,1.9,1.9,1.9,50,200150
NIFTY,30SEP21,15300,PE,2021-09-24,12:43:59,1.85,1.85,1.85,1.85,50,199600
NIFTY,30SEP21,15300,PE,2021-09-24,12:44:59,1.85,1.85,1.85,1.85,50,199600
NIFTY,30SEP21,15300,PE,2021-09-24,12:46:59,1.9,1.9,1.9,1.9,350,199500
NIFTY,30SEP21,15300,PE,2021-09-24,12:52:59,1.9,1.9,1.9,1.9,50,199750
NIFTY,30SEP21,15300,PE,2021-09-24,12:58:59,1.85,1.85,1.85,1.85,100,199800
NIFTY,30SEP21,15300,PE,2021-09-24,12:59:59,1.85,1.85,1.85,1.85,50,199800
NIFTY,30SEP21,15300,PE,2021-09-24,13:00:59,1.95,1.95,1.9,1.9,1150,199650
NIFTY,30SEP21,15300,PE,2021-09-24,13:02:59,1.85,1.85,1.85,1.85,550,199650
NIFTY,30SEP21,15300,PE,2021-09-24,13:05:59,1.8,1.8,1.8,1.8,1100,199900
NIFTY,30SEP21,15300,PE,2021-09-24,13:06:59,1.85,1.85,1.85,1.85,400,199900
NIFTY,30SEP21,15300,PE,2021-09-24,13:11:59,1.8,1.8,1.8,1.8,650,199000
NIFTY,30SEP21,15300,PE,2021-09-24,13:13:59,1.8,1.8,1.8,1.8,700,199000
NIFTY,30SEP21,15300,PE,2021-09-24,13:14:59,1.8,1.8,1.8,1.8,1150,199000
NIFTY,30SEP21,15300,PE,2021-09-24,13:18:59,1.8,1.85,1.8,1.85,300,200850
NIFTY,30SEP21,15300,PE,2021-09-24,13:23:59,1.8,1.8,1.8,1.8,100,200950
NIFTY,30SEP21,15300,PE,2021-09-24,13:24:59,1.85,1.9,1.85,1.9,1350,199150
NIFTY,30SEP21,15300,PE,2021-09-24,13:27:59,1.85,1.85,1.7,1.7,2500,199150
NIFTY,30SEP21,15300,PE,2021-09-24,13:30:59,1.75,1.75,1.75,1.75,150,199150
NIFTY,30SEP21,15300,PE,2021-09-24,13:31:59,1.95,1.95,1.95,1.95,1550,197800
NIFTY,30SEP21,15300,PE,2021-09-24,13:33:59,1.75,1.8,1.75,1.8,200,198450
NIFTY,30SEP21,15300,PE,2021-09-24,13:34:59,1.8,1.8,1.8,1.8,200,198450
NIFTY,30SEP21,15300,PE,2021-09-24,13:37:59,1.75,1.75,1.75,1.75,50,198200
NIFTY,30SEP21,15300,PE,2021-09-24,13:40:59,1.75,1.75,1.75,1.75,50,198150
NIFTY,30SEP21,15300,PE,2021-09-24,13:41:59,1.75,1.75,1.75,1.75,100,198150
NIFTY,30SEP21,15300,PE,2021-09-24,13:48:59,1.8,1.8,1.8,1.8,600,198000
NIFTY,30SEP21,15300,PE,2021-09-24,13:49:59,1.8,1.8,1.8,1.8,300,198000
NIFTY,30SEP21,15300,PE,2021-09-24,13:53:59,1.75,1.75,1.75,1.75,100,197800
NIFTY,30SEP21,15300,PE,2021-09-24,13:56:59,1.75,1.75,1.75,1.75,1600,197700
NIFTY,30SEP21,15300,PE,2021-09-24,14:03:59,1.8,1.8,1.8,1.8,50,197750
NIFTY,30SEP21,15300,PE,2021-09-24,14:06:59,1.75,1.8,1.75,1.8,2050,197100
NIFTY,30SEP21,15300,PE,2021-09-24,14:07:59,1.8,1.8,1.8,1.8,600,197100
NIFTY,30SEP21,15300,PE,2021-09-24,14:08:59,1.85,1.9,1.85,1.9,1200,197100
NIFTY,30SEP21,15300,PE,2021-09-24,14:12:59,1.9,1.9,1.9,1.9,450,196500
NIFTY,30SEP21,15300,PE,2021-09-24,14:14:59,1.85,1.85,1.85,1.85,100,196500
NIFTY,30SEP21,15300,PE,2021-09-24,14:15:59,1.85,1.85,1.85,1.85,100,196350
NIFTY,30SEP21,15300,PE,2021-09-24,14:25:59,1.85,1.85,1.85,1.85,200,196300
NIFTY,30SEP21,15300,PE,2021-09-24,14:27:59,1.85,1.85,1.85,1.85,750,196300
NIFTY,30SEP21,15300,PE,2021-09-24,14:29:59,1.9,1.9,1.9,1.9,1100,196300
