Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,30SEP21,17800,CE,2021-09-24,09:15:59,183.95,191.2,170.0,188.0,532400,2515350
NIFTY,30SEP21,17800,CE,2021-09-24,09:16:59,188.0,197.0,187.65,196.0,328150,2515350
NIFTY,30SEP21,17800,CE,2021-09-24,09:17:59,195.85,204.0,195.85,203.8,253100,2414050
NIFTY,30SEP21,17800,CE,2021-09-24,09:18:59,203.3,203.3,193.85,197.0,256050,2414050
NIFTY,30SEP21,17800,CE,2021-09-24,09:19:59,196.6,205.95,196.5,205.65,156150,2414050
NIFTY,30SEP21,17800,CE,2021-09-24,09:20:59,207.4,216.9,206.35,213.55,210900,2317550
NIFTY,30SEP21,17800,CE,2021-09-24,09:21:59,213.75,213.75,205.45,208.1,193500,2317550
NIFTY,30SEP21,17800,CE,2021-09-24,09:22:59,206.9,208.5,202.05,207.35,136000,2317550
NIFTY,30SEP21,17800,CE,2021-09-24,09:23:59,208.0,208.0,198.05,199.6,148900,2277250
NIFTY,30SEP21,17800,CE,2021-09-24,09:24:59,198.8,198.8,185.15,198.05,193000,2277250
NIFTY,30SEP21,17800,CE,2021-09-24,09:25:59,198.9,198.9,183.5,183.5,136600,2277250
NIFTY,30SEP21,17800,CE,2021-09-24,09:26:59,184.55,195.85,183.0,195.4,145500,2251600
NIFTY,30SEP21,17800,CE,2021-09-24,09:27:59,194.0,194.0,184.1,187.0,84250,2251600
NIFTY,30SEP21,17800,CE,2021-09-24,09:28:59,187.5,199.8,187.5,199.65,102450,2251600
NIFTY,30SEP21,17800,CE,2021-09-24,09:29:59,200.5,204.7,194.8,196.65,117650,2245950
NIFTY,30SEP21,17800,CE,2021-09-24,09:30:59,195.2,195.2,186.0,189.35,106050,2245950
NIFTY,30SEP21,17800,CE,2021-09-24,09:31:59,188.45,195.8,186.0,192.9,98900,2245950
NIFTY,30SEP21,17800,CE,2021-09-24,09:32:59,192.2,195.8,190.4,195.75,60400,2259150
NIFTY,30SEP21,17800,CE,2021-09-24,09:33:59,195.95,199.3,195.2,197.4,69300,2259150
NIFTY,30SEP21,17800,CE,2021-09-24,09:34:59,197.55,199.15,195.9,197.35,50950,2259150
NIFTY,30SEP21,17800,CE,2021-09-24,09:35:59,197.85,203.5,192.25,201.75,120200,2242600
NIFTY,30SEP21,17800,CE,2021-09-24,09:36:59,201.9,201.9,197.25,199.9,59900,2242600
NIFTY,30SEP21,17800,CE,2021-09-24,09:37:59,199.85,201.15,198.35,200.9,66800,2242600
NIFTY,30SEP21,17800,CE,2021-09-24,09:38:59,200.55,201.6,197.55,199.4,75300,2236700
NIFTY,30SEP21,17800,CE,2021-09-24,09:39:59,199.45,199.8,193.85,195.0,134100,2236700
NIFTY,30SEP21,17800,CE,2021-09-24,09:40:59,195.7,200.55,195.4,197.3,72750,2236700
NIFTY,30SEP21,17800,CE,2021-09-24,09:41:59,197.45,197.55,193.0,197.0,126650,2182050
NIFTY,30SEP21,17800,CE,2021-09-24,09:42:59,196.6,198.45,195.35,195.55,54250,2182050
NIFTY,30SEP21,17800,CE,2021-09-24,09:43:59,195.0,201.8,193.8,201.8,83200,2182050
NIFTY,30SEP21,17800,CE,2021-09-24,09:44:59,201.05,201.05,195.0,195.15,92850,2156550
NIFTY,30SEP21,17800,CE,2021-09-24,09:45:59,194.0,201.95,193.55,201.4,60100,2156550
NIFTY,30SEP21,17800,CE,2021-09-24,09:46:59,201.45,201.95,197.4,199.55,93250,2156550
NIFTY,30SEP21,17800,CE,2021-09-24,09:47:59,200.5,201.8,197.35,198.0,81850,2114700
NIFTY,30SEP21,17800,CE,2021-09-24,09:48:59,198.05,198.85,194.4,195.8,67650,2114700
NIFTY,30SEP21,17800,CE,2021-09-24,09:49:59,195.25,197.55,194.3,196.25,45800,2114700
NIFTY,30SEP21,17800,CE,2021-09-24,09:50:59,195.85,197.15,193.45,195.45,36100,2098900
