Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,26AUG21,16600,CE,2021-08-20,09:15:59,59.4,80.0,20.0,32.85,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:16:59,32.55,32.75,30.1,30.2,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:17:59,29.8,31.7,29.05,31.6,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:18:59,31.45,37.6,30.8,37.6,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:19:59,37.7,41.6,36.75,41.6,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:20:59,40.85,40.85,38.05,39.1,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:21:59,39.0,40.9,35.05,39.55,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:22:59,39.4,39.4,35.3,39.15,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:23:59,38.8,39.4,37.6,39.4,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:24:59,39.8,40.85,37.9,40.85,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:25:59,40.9,46.1,38.9,44.6,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:26:59,45.75,52.45,45.05,45.35,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:27:59,45.95,46.0,41.65,45.6,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:28:59,46.0,47.3,43.5,46.35,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:29:59,46.35,47.05,44.25,46.1,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:30:59,46.0,46.85,43.3,45.95,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:31:59,46.6,48.5,45.75,48.05,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:32:59,48.55,51.4,48.55,49.5,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:33:59,48.45,52.0,48.45,50.9,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:34:59,51.0,51.5,48.45,51.35,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:35:59,51.3,52.15,48.7,48.95,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:36:59,49.8,52.2,49.1,49.1,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:37:59,49.15,51.5,48.45,51.3,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:38:59,51.5,52.95,51.25,51.7,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:39:59,51.8,52.7,51.25,52.45,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:40:59,52.6,55.2,52.6,53.45,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:41:59,53.75,57.4,53.65,54.8,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:42:59,55.45,57.55,54.0,54.15,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:43:59,54.6,57.05,54.6,56.15,0,0
NIFTY,26AUG21,16600,CE,2021-08-20,09:44:59,55.5,56.55,54.55,54.55,0,0
