Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,29JUL21,15650,PE,2021-07-23,09:15:59,25.85,28.4,24.85,27.2,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:16:59,27.25,27.25,23.8,24.55,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:17:59,24.6,25.55,24.2,25.55,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:18:59,25.25,25.25,23.35,23.45,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:19:59,23.3,24.0,22.85,23.35,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:20:59,22.5,22.9,21.85,21.95,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:21:59,21.8,22.95,21.55,22.95,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:22:59,23.0,23.8,22.65,23.5,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:23:59,23.75,23.75,22.6,22.7,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:24:59,22.75,23.05,22.15,22.85,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:25:59,22.85,22.95,21.75,22.35,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:26:59,22.3,23.4,22.1,23.35,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:27:59,23.3,23.7,23.05,23.35,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:28:59,23.35,23.65,22.9,23.5,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:29:59,23.5,24.15,23.0,23.75,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:30:59,24.1,33.1,24.0,28.25,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:31:59,28.75,35.15,28.3,34.3,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:32:59,34.4,45.7,33.25,44.05,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:33:59,45.1,46.6,38.85,41.5,0,0
NIFTY,29JUL21,15650,PE,2021-07-23,09:34:59,41.85,44.15,41.3,41.95,0,0
