Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,25MAR21,13800,PE,2021-03-19,09:15:59,26.5,33.8,22.0,30.3,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:16:59,30.15,31.2,27.85,31.2,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:17:59,31.45,36.9,31.45,36.2,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:18:59,36.4,43.55,36.4,39.45,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:19:59,39.8,46.45,39.8,45.75,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:20:59,44.45,44.45,38.45,42.0,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:21:59,41.75,42.2,40.25,41.45,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:22:59,41.2,41.3,37.6,40.4,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:23:59,40.2,42.7,40.05,40.8,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:24:59,40.7,42.3,39.65,41.95,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:25:59,41.95,43.6,41.6,42.6,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:26:59,42.6,45.5,40.9,45.35,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:27:59,45.3,51.35,45.3,49.0,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:28:59,49.45,50.5,47.6,49.95,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:29:59,50.4,54.65,49.8,52.55,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:30:59,52.85,59.45,52.85,55.6,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:31:59,55.7,57.95,52.15,57.4,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:32:59,57.35,57.8,52.0,53.75,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:33:59,53.3,56.35,53.0,54.0,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:34:59,54.25,54.35,49.1,50.6,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:35:59,50.6,51.8,46.7,47.4,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:36:59,47.35,52.7,46.65,52.3,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:37:59,52.3,54.35,52.3,52.45,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:38:59,52.35,52.35,49.15,49.35,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:39:59,48.85,51.1,47.1,50.45,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:40:59,50.75,50.75,46.15,47.55,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:41:59,47.45,49.2,46.55,46.55,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:42:59,45.95,47.5,44.9,47.1,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:43:59,47.3,47.45,45.75,46.4,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:44:59,46.35,48.45,45.55,48.3,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:45:59,47.75,51.05,47.75,50.3,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:46:59,50.45,50.8,47.65,49.0,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:47:59,49.5,49.9,46.05,46.6,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:48:59,46.75,47.0,44.65,45.25,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:49:59,45.55,47.8,44.85,46.45,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:50:59,46.15,46.7,44.25,45.25,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:51:59,45.0,45.45,43.65,45.35,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:52:59,45.35,46.05,44.0,44.1,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:53:59,43.85,43.85,41.15,42.15,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:54:59,42.1,42.5,40.35,40.35,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:55:59,40.15,41.35,38.3,40.9,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:56:59,40.8,43.5,40.8,42.5,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:57:59,42.4,42.45,41.05,41.05,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:58:59,41.45,43.75,41.45,42.5,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,09:59:59,42.35,43.05,40.7,40.7,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:00:59,40.75,43.05,39.45,43.05,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:01:59,43.1,44.55,42.5,44.25,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:02:59,44.05,44.45,42.1,42.65,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:03:59,42.5,42.5,38.6,39.3,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:04:59,39.0,40.85,38.15,40.1,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:05:59,40.2,42.1,40.1,40.4,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:06:59,40.35,40.6,38.3,38.3,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:07:59,38.1,38.1,36.5,36.7,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:08:59,36.85,38.3,36.65,37.4,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:09:59,37.1,37.7,34.5,34.5,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:10:59,33.95,34.9,33.1,34.9,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:11:59,34.9,36.35,34.5,36.1,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:12:59,36.05,36.05,34.45,35.35,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:13:59,35.3,35.95,33.85,35.35,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:14:59,35.2,36.4,35.15,36.2,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:15:59,36.35,36.55,34.1,35.5,0,0
NIFTY,25MAR21,13800,PE,2021-03-19,10:16:59,35.45,39.7,35.45,39.05,0,0
