Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,29APR21,16800,CE,2021-02-25,10:23:59,84.5,84.5,84.5,84.5,75,0
NIFTY,29APR21,16800,CE,2021-02-25,13:24:59,63.0,63.0,63.0,63.0,75,75
NIFTY,29APR21,16800,CE,2021-02-25,15:21:59,62.9,62.9,62.9,62.9,75,150
NIFTY,29APR21,16800,CE,2021-02-25,15:28:59,60.0,60.0,60.0,60.0,75,150
NIFTY,29APR21,16800,CE,2021-02-25,15:30:00,60.0,62.5,60.0,62.5,825,150
NIFTY,29APR21,16800,CE,2021-02-26,09:18:59,41.0,41.0,40.0,40.0,525,1125
NIFTY,29APR21,16800,CE,2021-02-26,09:30:59,40.0,40.0,40.0,40.0,225,1500
NIFTY,29APR21,16800,CE,2021-02-26,09:39:59,39.95,39.95,39.95,39.95,75,1500
NIFTY,29APR21,16800,CE,2021-02-26,10:12:59,39.75,39.75,39.75,39.75,75,1800
NIFTY,29APR21,16800,CE,2021-02-26,10:15:59,38.9,38.9,38.9,38.9,75,1800
NIFTY,29APR21,16800,CE,2021-02-26,10:16:59,38.9,38.9,38.9,38.9,75,1800
NIFTY,29APR21,16800,CE,2021-02-26,10:39:59,38.7,38.7,38.7,38.7,150,1800
NIFTY,29APR21,16800,CE,2021-02-26,10:50:59,38.6,38.6,38.6,38.6,75,1800
NIFTY,29APR21,16800,CE,2021-02-26,10:51:59,38.6,38.6,38.6,38.6,75,1800
NIFTY,29APR21,16800,CE,2021-02-26,10:54:59,38.6,39.0,38.6,39.0,150,1800
NIFTY,29APR21,16800,CE,2021-02-26,11:03:59,38.95,38.95,38.95,38.95,75,1875
NIFTY,29APR21,16800,CE,2021-02-26,11:05:59,35.0,35.0,35.0,35.0,75,1875
NIFTY,29APR21,16800,CE,2021-02-26,11:06:59,35.0,35.0,35.0,35.0,75,1875
