Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,26AUG21,13950,PE,2021-07-28,14:06:59,12.5,12.5,12.5,12.5,50,0
NIFTY,26AUG21,13950,PE,2021-08-17,10:01:59,1.55,1.55,1.55,1.55,50,50
NIFTY,26AUG21,13950,PE,2021-08-17,14:51:59,2.7,2.7,1.7,1.7,5050,50
NIFTY,26AUG21,13950,PE,2021-08-17,15:00:59,1.75,1.75,1.75,1.75,50,50
NIFTY,26AUG21,13950,PE,2021-08-17,15:18:59,2.0,2.0,2.0,2.0,50,50
NIFTY,26AUG21,13950,PE,2021-08-18,09:20:59,3.7,3.7,3.7,3.7,50,50
NIFTY,26AUG21,13950,PE,2021-08-18,11:06:59,2.8,2.8,2.8,2.8,50,100
NIFTY,26AUG21,13950,PE,2021-08-18,12:06:59,2.8,2.8,2.8,2.8,50,150
NIFTY,26AUG21,13950,PE,2021-08-18,12:16:59,2.5,2.5,2.5,2.5,50,200
NIFTY,26AUG21,13950,PE,2021-08-18,12:17:59,2.5,2.5,2.5,2.5,50,200
NIFTY,26AUG21,13950,PE,2021-08-18,12:26:59,1.7,1.7,1.7,1.7,50,150
NIFTY,26AUG21,13950,PE,2021-08-18,15:20:59,1.55,1.55,1.55,1.55,300,100
NIFTY,26AUG21,13950,PE,2021-08-18,15:22:59,1.4,1.4,1.4,1.4,50,400
NIFTY,26AUG21,13950,PE,2021-08-18,15:24:59,1.2,1.2,1.2,1.2,200,400
NIFTY,26AUG21,13950,PE,2021-08-18,15:25:59,1.1,1.1,1.1,1.1,50,400
NIFTY,26AUG21,13950,PE,2021-08-20,09:15:59,1.7,1.7,1.7,1.7,500,400
NIFTY,26AUG21,13950,PE,2021-08-20,09:17:59,1.4,1.4,1.4,1.4,300,900
NIFTY,26AUG21,13950,PE,2021-08-20,09:19:59,1.4,1.4,1.35,1.4,200,900
NIFTY,26AUG21,13950,PE,2021-08-20,09:22:59,1.5,1.5,1.5,1.5,150,1400
NIFTY,26AUG21,13950,PE,2021-08-20,09:25:59,1.6,1.6,1.6,1.6,50,1400
NIFTY,26AUG21,13950,PE,2021-08-20,09:26:59,1.6,1.6,1.6,1.6,50,1400
NIFTY,26AUG21,13950,PE,2021-08-20,09:27:59,1.7,1.7,1.7,1.7,1750,1550
NIFTY,26AUG21,13950,PE,2021-08-20,09:28:59,1.65,1.65,1.65,1.65,50,1550
NIFTY,26AUG21,13950,PE,2021-08-20,09:29:59,1.65,1.65,1.65,1.65,100,1550
NIFTY,26AUG21,13950,PE,2021-08-20,09:32:59,1.5,1.5,1.5,1.5,550,3450
NIFTY,26AUG21,13950,PE,2021-08-20,09:33:59,1.0,1.25,1.0,1.25,2150,3450
NIFTY,26AUG21,13950,PE,2021-08-20,09:37:59,1.2,1.2,1.2,1.2,50,2700
NIFTY,26AUG21,13950,PE,2021-08-20,09:38:59,1.2,1.2,1.2,1.2,100,2700
