Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,30DEC21,18550,CE,2021-10-14,11:35:59,410.0,410.0,410.0,410.0,50,0
NIFTY,30DEC21,18550,CE,2021-10-14,11:38:59,410.0,410.0,410.0,410.0,50,50
NIFTY,30DEC21,18550,CE,2021-10-14,12:41:59,410.0,410.0,410.0,410.0,250,100
NIFTY,30DEC21,18550,CE,2021-10-18,09:32:59,530.0,530.0,530.0,530.0,100,250
NIFTY,30DEC21,18550,CE,2021-10-18,09:58:59,508.2,508.2,508.2,508.2,50,250
NIFTY,30DEC21,18550,CE,2021-10-18,09:59:59,490.8,490.8,490.8,490.8,50,200
NIFTY,30DEC21,18550,CE,2021-10-18,10:00:59,492.05,492.05,492.05,492.05,50,200
NIFTY,30DEC21,18550,CE,2021-10-18,10:02:59,494.1,494.4,494.1,494.4,100,50
NIFTY,30DEC21,18550,CE,2021-10-18,15:25:59,547.15,547.15,547.15,547.15,50,0
NIFTY,30DEC21,18550,CE,2021-10-19,09:17:59,569.55,569.55,569.55,569.55,50,50
NIFTY,30DEC21,18550,CE,2021-10-19,09:18:59,569.55,569.55,569.55,569.55,50,50
NIFTY,30DEC21,18550,CE,2021-10-19,09:37:59,578.0,578.0,578.0,578.0,50,150
NIFTY,30DEC21,18550,CE,2021-10-19,10:11:59,512.55,512.55,512.55,512.55,150,100
NIFTY,30DEC21,18550,CE,2021-10-19,10:20:59,567.15,567.15,567.15,567.15,50,50
NIFTY,30DEC21,18550,CE,2021-10-19,10:41:59,561.95,561.95,561.95,561.95,50,100
NIFTY,30DEC21,18550,CE,2021-10-19,10:46:59,561.0,561.0,561.0,561.0,50,150
NIFTY,30DEC21,18550,CE,2021-10-19,10:48:59,561.0,561.0,561.0,561.0,50,200
NIFTY,30DEC21,18550,CE,2021-10-19,11:03:59,561.35,561.35,561.35,561.35,50,250
NIFTY,30DEC21,18550,CE,2021-10-19,11:47:59,566.5,566.5,566.5,566.5,50,200
NIFTY,30DEC21,18550,CE,2021-10-19,11:50:59,564.7,564.7,564.7,564.7,50,200
NIFTY,30DEC21,18550,CE,2021-10-19,12:08:59,583.2,583.2,583.2,583.2,50,150
NIFTY,30DEC21,18550,CE,2021-10-19,12:10:59,583.0,583.0,583.0,583.0,50,150
NIFTY,30DEC21,18550,CE,2021-10-19,12:26:59,583.0,583.0,583.0,583.0,50,200
NIFTY,30DEC21,18550,CE,2021-10-19,13:18:59,572.4,572.4,572.4,572.4,50,250
NIFTY,30DEC21,18550,CE,2021-10-19,14:07:59,571.0,571.0,571.0,571.0,50,200
NIFTY,30DEC21,18550,CE,2021-10-20,09:17:59,493.95,493.95,493.95,493.95,50,250
NIFTY,30DEC21,18550,CE,2021-10-20,09:19:59,499.95,500.0,499.95,500.0,100,300
NIFTY,30DEC21,18550,CE,2021-10-20,10:15:59,526.45,526.45,526.45,526.45,50,200
NIFTY,30DEC21,18550,CE,2021-10-20,11:15:59,502.6,502.6,502.6,502.6,50,250
NIFTY,30DEC21,18550,CE,2021-10-20,11:17:59,515.9,515.9,515.9,515.9,50,250
NIFTY,30DEC21,18550,CE,2021-10-20,13:08:59,485.0,485.0,485.0,485.0,50,250
NIFTY,30DEC21,18550,CE,2021-10-21,09:18:59,487.05,487.05,487.05,487.05,100,300
NIFTY,30DEC21,18550,CE,2021-10-21,09:23:59,475.75,475.75,475.75,475.75,50,400
NIFTY,30DEC21,18550,CE,2021-10-21,09:25:59,479.05,479.05,472.2,479.05,100,350
NIFTY,30DEC21,18550,CE,2021-10-21,10:56:59,435.05,435.05,435.05,435.05,50,300
NIFTY,30DEC21,18550,CE,2021-10-21,11:49:59,435.1,435.1,435.1,435.1,50,350
NIFTY,30DEC21,18550,CE,2021-10-21,11:52:59,430.0,430.0,430.0,430.0,50,400
NIFTY,30DEC21,18550,CE,2021-10-21,15:05:59,403.0,403.0,403.0,403.0,50,450
NIFTY,30DEC21,18550,CE,2021-10-22,09:50:59,458.5,458.5,458.5,458.5,50,500
NIFTY,30DEC21,18550,CE,2021-10-22,12:15:59,394.55,394.55,394.55,394.55,50,0
NIFTY,30DEC21,18550,CE,2021-10-25,11:55:59,383.1,383.1,383.1,383.1,50,450
NIFTY,30DEC21,18550,CE,2021-10-25,12:06:59,385.15,385.15,385.15,385.15,50,500
NIFTY,30DEC21,18550,CE,2021-10-25,12:13:59,366.35,366.35,365.0,365.0,100,500
NIFTY,30DEC21,18550,CE,2021-10-25,12:51:59,376.4,376.4,376.4,376.4,50,550
NIFTY,30DEC21,18550,CE,2021-10-25,13:36:59,384.8,384.8,384.8,384.8,50,550
NIFTY,30DEC21,18550,CE,2021-10-25,14:10:59,368.65,368.65,368.65,368.65,50,550
NIFTY,30DEC21,18550,CE,2021-10-25,14:15:59,347.95,347.95,347.95,347.95,50,550
NIFTY,30DEC21,18550,CE,2021-10-25,14:53:59,360.0,360.0,360.0,360.0,50,550
NIFTY,30DEC21,18550,CE,2021-10-25,15:28:59,367.6,367.6,367.6,367.6,50,600
NIFTY,30DEC21,18550,CE,2021-10-26,10:24:59,386.55,388.6,386.55,388.6,150,650
NIFTY,30DEC21,18550,CE,2021-10-26,13:47:59,374.0,374.0,374.0,374.0,150,800
NIFTY,30DEC21,18550,CE,2021-10-26,14:07:59,374.1,374.1,374.1,374.1,100,650
NIFTY,30DEC21,18550,CE,2021-10-27,09:43:59,400.0,400.0,400.0,400.0,50,700
NIFTY,30DEC21,18550,CE,2021-10-27,12:48:59,401.85,401.85,401.85,401.85,50,650
NIFTY,30DEC21,18550,CE,2021-10-27,13:34:59,407.95,407.95,407.95,407.95,50,650
NIFTY,30DEC21,18550,CE,2021-10-27,14:17:59,380.0,380.0,380.0,380.0,50,650
NIFTY,30DEC21,18550,CE,2021-10-27,15:01:59,373.4,373.4,373.4,373.4,50,700
NIFTY,30DEC21,18550,CE,2021-10-28,09:49:59,333.25,333.25,333.25,333.25,50,700
