Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,25FEB21,13400,PE,2020-12-17,09:55:59,295.0,295.0,295.0,295.0,75,0
NIFTY,25FEB21,13400,PE,2020-12-17,09:56:59,295.0,295.0,295.0,295.0,150,0
NIFTY,25FEB21,13400,PE,2020-12-17,10:29:59,295.0,295.0,295.0,295.0,75,225
NIFTY,25FEB21,13400,PE,2020-12-17,10:30:59,300.0,300.0,300.0,300.0,450,225
NIFTY,25FEB21,13400,PE,2020-12-17,11:53:59,295.0,295.0,295.0,295.0,75,750
NIFTY,25FEB21,13400,PE,2020-12-17,12:09:59,285.0,285.0,285.0,285.0,75,825
NIFTY,25FEB21,13400,PE,2020-12-17,13:15:59,281.1,281.1,281.1,281.1,75,825
NIFTY,25FEB21,13400,PE,2020-12-17,13:28:59,282.0,282.0,282.0,282.0,75,825
NIFTY,25FEB21,13400,PE,2020-12-17,13:33:59,273.2,273.2,273.2,273.2,150,900
NIFTY,25FEB21,13400,PE,2020-12-17,13:55:59,270.0,270.0,270.0,270.0,75,900
NIFTY,25FEB21,13400,PE,2020-12-17,14:04:59,268.55,268.55,268.55,268.55,75,900
NIFTY,25FEB21,13400,PE,2020-12-17,14:05:59,269.75,269.75,269.75,269.75,75,900
NIFTY,25FEB21,13400,PE,2020-12-17,14:38:59,270.0,270.0,270.0,270.0,300,900
NIFTY,25FEB21,13400,PE,2020-12-17,14:57:59,279.25,279.25,279.25,279.25,75,1050
NIFTY,25FEB21,13400,PE,2020-12-18,09:28:59,282.75,282.75,282.75,282.75,75,1050
NIFTY,25FEB21,13400,PE,2020-12-18,09:40:59,297.0,297.0,297.0,297.0,75,1050
NIFTY,25FEB21,13400,PE,2020-12-18,09:53:59,295.0,295.0,295.0,295.0,75,1050
NIFTY,25FEB21,13400,PE,2020-12-18,09:58:59,311.4,311.4,311.4,311.4,75,1050
NIFTY,25FEB21,13400,PE,2020-12-18,10:45:59,289.6,289.6,289.6,289.6,75,1050
NIFTY,25FEB21,13400,PE,2020-12-18,14:31:59,270.05,270.05,270.0,270.05,150,975
NIFTY,25FEB21,13400,PE,2020-12-18,14:53:59,255.2,255.2,255.2,255.2,150,975
NIFTY,25FEB21,13400,PE,2020-12-21,13:00:59,297.0,297.0,297.0,297.0,75,975
NIFTY,25FEB21,13400,PE,2020-12-21,13:34:59,303.0,303.0,303.0,303.0,75,1050
NIFTY,25FEB21,13400,PE,2020-12-21,14:29:59,398.7,398.7,398.7,398.7,75,1050
NIFTY,25FEB21,13400,PE,2020-12-21,14:30:59,244.4,244.4,244.4,244.4,75,1050
NIFTY,25FEB21,13400,PE,2020-12-21,14:32:59,410.0,410.0,410.0,410.0,75,1050
NIFTY,25FEB21,13400,PE,2020-12-21,14:48:59,425.0,425.0,425.0,425.0,75,1050
