Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,28JAN21,11600,PE,2020-11-26,15:25:59,55.5,55.5,55.5,55.5,75,0
NIFTY,28JAN21,11600,PE,2020-11-26,15:26:59,57.0,57.0,57.0,57.0,75,0
NIFTY,28JAN21,11600,PE,2020-11-26,15:27:59,56.0,56.0,56.0,56.0,75,0
NIFTY,28JAN21,11600,PE,2020-11-27,14:19:59,56.1,56.1,56.1,56.1,75,150
NIFTY,28JAN21,11600,PE,2020-12-02,13:30:59,47.85,47.85,47.85,47.85,75,75
NIFTY,28JAN21,11600,PE,2020-12-02,13:36:59,57.7,57.7,57.7,57.7,75,75
NIFTY,28JAN21,11600,PE,2020-12-02,14:45:59,44.4,44.4,44.4,44.4,75,150
NIFTY,28JAN21,11600,PE,2020-12-02,15:07:59,44.5,44.5,44.5,44.5,375,150
NIFTY,28JAN21,11600,PE,2020-12-02,15:15:59,44.25,44.25,44.25,44.25,225,525
NIFTY,28JAN21,11600,PE,2020-12-04,10:02:59,36.65,36.65,36.65,36.65,75,750
NIFTY,28JAN21,11600,PE,2020-12-04,10:27:59,27.05,27.05,27.05,27.05,150,750
NIFTY,28JAN21,11600,PE,2020-12-04,11:08:59,35.7,35.7,35.7,35.7,75,900
NIFTY,28JAN21,11600,PE,2020-12-04,11:52:59,30.85,30.85,30.85,30.85,75,900
NIFTY,28JAN21,11600,PE,2020-12-04,14:52:59,26.6,26.6,26.6,26.6,75,975
NIFTY,28JAN21,11600,PE,2020-12-04,15:21:59,27.0,27.0,27.0,27.0,150,975
NIFTY,28JAN21,11600,PE,2020-12-04,15:25:59,26.3,26.3,26.3,26.3,75,1125
NIFTY,28JAN21,11600,PE,2020-12-07,12:05:59,27.85,27.85,27.85,27.85,75,1125
NIFTY,28JAN21,11600,PE,2020-12-07,12:07:59,24.3,24.3,24.3,24.3,75,1050
NIFTY,28JAN21,11600,PE,2020-12-07,12:08:59,26.3,26.3,26.3,26.3,75,1050
NIFTY,28JAN21,11600,PE,2020-12-07,13:42:59,25.95,25.95,25.95,25.95,75,1125
NIFTY,28JAN21,11600,PE,2020-12-08,10:27:59,22.0,22.0,22.0,22.0,75,1125
NIFTY,28JAN21,11600,PE,2020-12-08,10:52:59,24.0,24.0,24.0,24.0,75,1125
NIFTY,28JAN21,11600,PE,2020-12-08,11:27:59,26.0,26.0,26.0,26.0,150,1125
NIFTY,28JAN21,11600,PE,2020-12-08,11:33:59,25.15,25.15,25.15,25.15,75,1275
NIFTY,28JAN21,11600,PE,2020-12-08,11:51:59,24.45,24.45,24.45,24.45,75,1350
NIFTY,28JAN21,11600,PE,2020-12-08,12:23:59,24.65,24.65,24.65,24.65,75,1425
NIFTY,28JAN21,11600,PE,2020-12-08,12:26:59,24.05,24.05,24.0,24.0,225,1500
NIFTY,28JAN21,11600,PE,2020-12-08,13:21:59,23.75,23.75,23.75,23.75,75,1725
NIFTY,28JAN21,11600,PE,2020-12-08,13:35:59,23.15,23.15,23.15,23.15,75,1800
NIFTY,28JAN21,11600,PE,2020-12-08,13:46:59,22.3,22.3,22.3,22.3,75,1875
NIFTY,28JAN21,11600,PE,2020-12-08,14:52:59,23.45,23.45,23.45,23.45,75,1950
NIFTY,28JAN21,11600,PE,2020-12-08,15:06:59,22.9,22.9,22.9,22.9,75,1875
NIFTY,28JAN21,11600,PE,2020-12-09,12:16:59,25.5,25.5,25.5,25.5,75,1875
NIFTY,28JAN21,11600,PE,2020-12-09,13:16:59,25.5,25.5,24.95,25.5,750,1875
NIFTY,28JAN21,11600,PE,2020-12-09,14:37:59,21.0,21.0,21.0,21.0,75,2175
NIFTY,28JAN21,11600,PE,2020-12-09,14:38:59,24.95,24.95,24.95,24.95,75,2175
NIFTY,28JAN21,11600,PE,2020-12-09,14:44:59,21.0,21.0,21.0,21.0,75,2100
NIFTY,28JAN21,11600,PE,2020-12-09,14:48:59,19.5,19.5,19.5,19.5,825,2100
NIFTY,28JAN21,11600,PE,2020-12-09,14:50:59,20.45,20.45,20.45,20.45,75,2100
NIFTY,28JAN21,11600,PE,2020-12-09,14:51:59,20.5,20.5,20.5,20.5,300,2100
NIFTY,28JAN21,11600,PE,2020-12-09,14:52:59,20.85,20.85,20.85,20.85,75,2100
NIFTY,28JAN21,11600,PE,2020-12-09,14:55:59,21.0,21.0,21.0,21.0,150,2100
NIFTY,28JAN21,11600,PE,2020-12-09,14:57:59,21.0,21.25,21.0,21.25,225,2100
NIFTY,28JAN21,11600,PE,2020-12-09,15:00:59,21.25,21.25,21.25,21.25,225,2100
NIFTY,28JAN21,11600,PE,2020-12-09,15:19:59,21.25,21.25,21.25,21.25,150,1200
NIFTY,28JAN21,11600,PE,2020-12-10,09:34:59,23.15,23.2,23.15,23.2,225,1350
NIFTY,28JAN21,11600,PE,2020-12-10,11:59:59,23.2,23.2,23.2,23.2,150,1350
NIFTY,28JAN21,11600,PE,2020-12-10,12:04:59,22.1,22.1,22.1,22.1,150,1500
NIFTY,28JAN21,11600,PE,2020-12-10,12:08:59,22.1,22.1,22.1,22.1,150,1650
NIFTY,28JAN21,11600,PE,2020-12-10,13:04:59,21.55,21.55,21.55,21.55,75,1800
NIFTY,28JAN21,11600,PE,2020-12-10,13:12:59,20.65,20.65,20.65,20.65,75,1875
NIFTY,28JAN21,11600,PE,2020-12-10,14:05:59,20.0,20.0,20.0,20.0,150,1875
NIFTY,28JAN21,11600,PE,2020-12-10,14:12:59,22.0,22.0,22.0,22.0,150,1950
NIFTY,28JAN21,11600,PE,2020-12-11,09:26:59,20.0,20.0,20.0,20.0,75,1950
NIFTY,28JAN21,11600,PE,2020-12-11,10:12:59,18.0,18.0,18.0,18.0,75,1950
NIFTY,28JAN21,11600,PE,2020-12-11,11:07:59,18.0,18.0,17.05,17.05,225,2025
NIFTY,28JAN21,11600,PE,2020-12-11,11:08:59,17.95,17.95,17.95,17.95,75,2025
NIFTY,28JAN21,11600,PE,2020-12-11,12:18:59,17.05,17.05,17.05,17.05,225,2325
NIFTY,28JAN21,11600,PE,2020-12-11,12:19:59,18.45,18.45,18.45,18.45,75,2325
NIFTY,28JAN21,11600,PE,2020-12-11,12:32:59,16.7,16.7,16.7,16.7,75,2625
NIFTY,28JAN21,11600,PE,2020-12-11,12:53:59,16.65,16.65,16.65,16.65,150,2700
NIFTY,28JAN21,11600,PE,2020-12-11,12:59:59,16.25,16.25,16.25,16.25,150,2850
NIFTY,28JAN21,11600,PE,2020-12-11,14:00:59,17.45,17.45,17.45,17.45,75,3000
NIFTY,28JAN21,11600,PE,2020-12-11,14:03:59,17.8,17.8,17.8,17.8,75,3075
NIFTY,28JAN21,11600,PE,2020-12-11,14:04:59,17.9,18.0,17.9,18.0,300,3075
NIFTY,28JAN21,11600,PE,2020-12-11,14:06:59,18.0,18.0,18.0,18.0,75,3075
NIFTY,28JAN21,11600,PE,2020-12-11,14:07:59,18.0,18.0,18.0,18.0,225,3000
NIFTY,28JAN21,11600,PE,2020-12-11,14:10:59,18.4,18.4,18.4,18.4,75,2700
NIFTY,28JAN21,11600,PE,2020-12-11,14:37:59,19.0,19.0,19.0,19.0,150,2700
NIFTY,28JAN21,11600,PE,2020-12-11,14:50:59,18.4,18.4,18.4,18.4,75,2550
NIFTY,28JAN21,11600,PE,2020-12-14,09:31:59,21.0,24.8,21.0,24.8,150,2475
NIFTY,28JAN21,11600,PE,2020-12-14,09:38:59,20.65,20.65,20.65,20.65,75,2625
NIFTY,28JAN21,11600,PE,2020-12-14,09:43:59,18.4,18.4,18.4,18.4,150,2700
NIFTY,28JAN21,11600,PE,2020-12-14,11:47:59,16.4,16.4,16.4,16.4,225,2700
NIFTY,28JAN21,11600,PE,2020-12-14,12:13:59,16.4,16.4,16.4,16.4,75,2925
NIFTY,28JAN21,11600,PE,2020-12-15,10:35:59,20.8,20.8,20.8,20.8,75,3000
NIFTY,28JAN21,11600,PE,2020-12-15,10:57:59,17.0,17.0,17.0,17.0,75,2925
NIFTY,28JAN21,11600,PE,2020-12-15,11:27:59,16.15,16.15,16.0,16.0,825,2925
NIFTY,28JAN21,11600,PE,2020-12-15,11:28:59,16.0,16.0,16.0,16.0,225,2925
NIFTY,28JAN21,11600,PE,2020-12-15,11:44:59,15.15,15.15,15.15,15.15,75,3600
NIFTY,28JAN21,11600,PE,2020-12-15,11:56:59,14.75,14.75,14.75,14.75,75,3600
NIFTY,28JAN21,11600,PE,2020-12-15,11:58:59,14.7,14.7,14.7,14.7,300,3525
NIFTY,28JAN21,11600,PE,2020-12-15,12:02:59,14.6,14.6,14.6,14.6,75,3825
NIFTY,28JAN21,11600,PE,2020-12-15,12:59:59,14.45,14.45,14.45,14.45,75,3450
NIFTY,28JAN21,11600,PE,2020-12-15,13:22:59,14.25,14.25,14.25,14.25,225,3450
NIFTY,28JAN21,11600,PE,2020-12-15,13:36:59,14.0,14.0,14.0,14.0,75,3675
NIFTY,28JAN21,11600,PE,2020-12-15,13:37:59,14.45,14.45,14.45,14.45,75,3675
NIFTY,28JAN21,11600,PE,2020-12-15,13:40:59,14.45,14.45,14.45,14.45,75,3750
NIFTY,28JAN21,11600,PE,2020-12-15,13:41:59,14.45,14.45,14.45,14.45,75,3750
NIFTY,28JAN21,11600,PE,2020-12-15,14:29:59,13.75,13.75,13.75,13.75,75,3750
NIFTY,28JAN21,11600,PE,2020-12-15,15:08:59,13.35,13.35,13.35,13.35,75,3675
NIFTY,28JAN21,11600,PE,2020-12-15,15:25:59,13.05,14.75,13.05,14.75,150,3600
NIFTY,28JAN21,11600,PE,2020-12-15,15:30:00,13.15,13.15,13.15,13.15,75,3600
NIFTY,28JAN21,11600,PE,2020-12-16,10:14:59,11.65,11.65,11.6,11.6,150,3675
NIFTY,28JAN21,11600,PE,2020-12-16,10:18:59,10.55,10.55,10.55,10.55,300,3750
NIFTY,28JAN21,11600,PE,2020-12-16,10:22:59,10.75,10.75,10.75,10.75,300,3675
NIFTY,28JAN21,11600,PE,2020-12-16,11:43:59,11.9,11.9,11.9,11.9,150,3375
NIFTY,28JAN21,11600,PE,2020-12-16,12:44:59,13.35,13.35,13.35,13.35,225,3225
NIFTY,28JAN21,11600,PE,2020-12-16,12:58:59,13.35,13.35,13.35,13.35,150,3000
NIFTY,28JAN21,11600,PE,2020-12-16,14:02:59,11.15,11.15,11.15,11.15,75,2850
NIFTY,28JAN21,11600,PE,2020-12-16,14:51:59,11.2,11.2,11.15,11.15,150,2850
NIFTY,28JAN21,11600,PE,2020-12-16,15:01:59,11.2,11.2,11.2,11.2,75,2925
NIFTY,28JAN21,11600,PE,2020-12-17,10:11:59,10.35,10.35,10.35,10.35,75,2925
NIFTY,28JAN21,11600,PE,2020-12-17,12:00:59,10.35,10.35,10.35,10.35,75,3000
NIFTY,28JAN21,11600,PE,2020-12-17,12:10:59,10.3,10.3,10.3,10.3,75,3075
NIFTY,28JAN21,11600,PE,2020-12-17,12:41:59,9.3,9.3,9.3,9.3,75,3150
NIFTY,28JAN21,11600,PE,2020-12-17,14:30:59,10.15,10.15,10.15,10.15,75,3075
NIFTY,28JAN21,11600,PE,2020-12-17,15:10:59,11.35,11.35,11.35,11.35,150,3000
NIFTY,28JAN21,11600,PE,2020-12-17,15:25:59,11.55,11.55,11.55,11.55,75,2850
NIFTY,28JAN21,11600,PE,2020-12-18,09:21:59,12.9,12.9,12.9,12.9,75,2775
NIFTY,28JAN21,11600,PE,2020-12-18,10:41:59,14.35,14.35,14.35,14.35,75,2700
NIFTY,28JAN21,11600,PE,2020-12-18,11:24:59,13.0,13.0,13.0,13.0,150,2700
NIFTY,28JAN21,11600,PE,2020-12-18,11:58:59,12.5,12.5,12.5,12.5,75,2700
NIFTY,28JAN21,11600,PE,2020-12-18,13:01:59,11.15,11.15,11.15,11.15,600,2700
NIFTY,28JAN21,11600,PE,2020-12-18,13:15:59,11.15,11.15,11.15,11.15,75,3300
NIFTY,28JAN21,11600,PE,2020-12-18,13:55:59,10.6,10.6,10.6,10.6,75,3375
NIFTY,28JAN21,11600,PE,2020-12-21,09:21:59,13.8,13.8,13.8,13.8,75,3375
NIFTY,28JAN21,11600,PE,2020-12-21,09:23:59,13.0,13.0,13.0,13.0,75,3375
NIFTY,28JAN21,11600,PE,2020-12-21,10:05:59,13.0,13.0,13.0,13.0,75,3450
NIFTY,28JAN21,11600,PE,2020-12-21,11:43:59,12.9,12.9,12.9,12.9,75,3450
NIFTY,28JAN21,11600,PE,2020-12-21,12:41:59,12.7,12.7,12.7,12.7,75,3450
NIFTY,28JAN21,11600,PE,2020-12-21,13:48:59,13.6,13.6,13.6,13.6,600,3450
NIFTY,28JAN21,11600,PE,2020-12-21,14:44:59,20.0,20.0,20.0,20.0,75,2850
NIFTY,28JAN21,11600,PE,2020-12-21,14:50:59,38.0,38.0,38.0,38.0,75,2850
NIFTY,28JAN21,11600,PE,2020-12-21,14:53:59,26.55,26.55,26.55,26.55,75,2850
NIFTY,28JAN21,11600,PE,2020-12-21,14:54:59,26.95,26.95,26.45,26.45,225,2850
NIFTY,28JAN21,11600,PE,2020-12-21,15:10:59,26.0,26.0,26.0,26.0,300,2850
NIFTY,28JAN21,11600,PE,2020-12-21,15:12:59,25.6,25.6,25.6,25.6,75,2850
NIFTY,28JAN21,11600,PE,2020-12-21,15:22:59,29.6,29.6,29.6,29.6,375,2850
NIFTY,28JAN21,11600,PE,2020-12-21,15:25:59,35.0,35.0,35.0,35.0,75,2850
NIFTY,28JAN21,11600,PE,2020-12-21,15:27:59,30.0,30.0,30.0,30.0,150,2850
NIFTY,28JAN21,11600,PE,2020-12-22,09:15:59,33.25,33.3,33.25,33.3,150,2850
NIFTY,28JAN21,11600,PE,2020-12-22,09:18:59,27.25,27.25,27.25,27.25,150,2775
NIFTY,28JAN21,11600,PE,2020-12-22,09:19:59,25.65,25.65,25.65,25.65,150,2775
NIFTY,28JAN21,11600,PE,2020-12-22,09:21:59,16.15,16.15,16.15,16.15,75,2775
NIFTY,28JAN21,11600,PE,2020-12-22,09:25:59,29.45,29.45,29.45,29.45,75,2775
NIFTY,28JAN21,11600,PE,2020-12-22,09:26:59,29.45,29.45,29.45,29.45,75,2775
NIFTY,28JAN21,11600,PE,2020-12-22,09:29:59,29.7,29.7,29.7,29.7,150,2775
NIFTY,28JAN21,11600,PE,2020-12-22,09:30:59,30.0,30.0,30.0,30.0,150,3000
NIFTY,28JAN21,11600,PE,2020-12-22,09:38:59,33.0,33.0,33.0,33.0,150,3000
NIFTY,28JAN21,11600,PE,2020-12-22,09:46:59,34.8,35.0,34.8,35.0,450,3000
NIFTY,28JAN21,11600,PE,2020-12-22,09:51:59,37.4,37.4,37.4,37.4,300,3075
NIFTY,28JAN21,11600,PE,2020-12-22,09:52:59,37.5,37.5,33.5,33.5,525,3075
NIFTY,28JAN21,11600,PE,2020-12-22,09:55:59,31.05,31.05,31.05,31.05,75,3150
NIFTY,28JAN21,11600,PE,2020-12-22,11:14:59,35.05,35.05,35.05,35.05,75,0
NIFTY,28JAN21,11600,PE,2020-12-22,11:19:59,48.9,48.9,48.9,48.9,75,3525
NIFTY,28JAN21,11600,PE,2020-12-22,11:29:59,33.55,33.55,33.55,33.55,75,3525
NIFTY,28JAN21,11600,PE,2020-12-22,12:27:59,35.7,35.7,35.7,35.7,150,3675
NIFTY,28JAN21,11600,PE,2020-12-22,12:31:59,38.1,38.7,37.85,38.7,600,3675
NIFTY,28JAN21,11600,PE,2020-12-22,12:36:59,38.0,39.0,38.0,39.0,225,3675
NIFTY,28JAN21,11600,PE,2020-12-22,12:39:59,36.85,36.85,36.85,36.85,75,3675
NIFTY,28JAN21,11600,PE,2020-12-22,12:43:59,36.9,36.9,36.9,36.9,150,3675
NIFTY,28JAN21,11600,PE,2020-12-22,12:50:59,34.85,34.85,34.85,34.85,150,3525
NIFTY,28JAN21,11600,PE,2020-12-22,12:58:59,34.8,34.8,34.8,34.8,75,3825
NIFTY,28JAN21,11600,PE,2020-12-22,13:20:59,31.15,31.15,31.15,31.15,75,3825
