Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,29JUL21,15150,CE,2021-06-18,10:59:59,558.0,558.0,550.0,552.0,400,0
NIFTY,29JUL21,15150,CE,2021-06-18,11:00:59,560.0,575.0,560.0,575.0,350,400
NIFTY,29JUL21,15150,CE,2021-06-18,11:01:59,574.0,587.0,574.0,582.0,300,400
NIFTY,29JUL21,15150,CE,2021-06-18,11:09:59,585.0,585.0,582.0,582.0,150,1050
NIFTY,29JUL21,15150,CE,2021-06-18,11:11:59,584.0,589.0,583.0,589.0,750,1050
NIFTY,29JUL21,15150,CE,2021-06-18,13:31:59,610.15,610.15,610.15,610.15,50,1950
NIFTY,29JUL21,15150,CE,2021-06-18,13:49:59,632.1,632.1,632.1,632.1,50,1950
NIFTY,29JUL21,15150,CE,2021-06-21,10:30:59,625.9,625.9,625.9,625.9,50,1950
NIFTY,29JUL21,15150,CE,2021-06-21,11:09:59,627.35,627.35,627.35,627.35,50,2000
NIFTY,29JUL21,15150,CE,2021-06-21,11:13:59,625.9,625.9,625.9,625.9,50,2000
NIFTY,29JUL21,15150,CE,2021-06-21,11:15:59,623.1,623.1,623.1,623.1,50,2000
NIFTY,29JUL21,15150,CE,2021-06-21,11:17:59,617.05,617.05,617.05,617.05,50,2000
NIFTY,29JUL21,15150,CE,2021-06-21,11:24:59,626.4,626.4,626.4,626.4,50,2000
NIFTY,29JUL21,15150,CE,2021-06-21,11:25:59,625.55,625.55,625.55,625.55,50,2000
NIFTY,29JUL21,15150,CE,2021-06-21,11:33:59,631.45,631.45,631.45,631.45,50,2000
NIFTY,29JUL21,15150,CE,2021-06-21,11:41:59,634.75,634.75,634.75,634.75,50,2000
NIFTY,29JUL21,15150,CE,2021-06-21,12:04:59,634.75,634.75,634.75,634.75,50,2000
NIFTY,29JUL21,15150,CE,2021-06-21,12:35:59,654.25,654.25,650.55,650.55,100,2000
NIFTY,29JUL21,15150,CE,2021-06-21,12:36:59,649.05,649.05,649.05,649.05,50,2000
NIFTY,29JUL21,15150,CE,2021-06-23,13:35:59,725.0,725.0,725.0,725.0,50,2000
NIFTY,29JUL21,15150,CE,2021-06-23,15:22:59,670.65,670.65,670.65,670.65,100,2050
NIFTY,29JUL21,15150,CE,2021-06-29,14:24:59,693.6,693.6,693.6,693.6,50,2150
NIFTY,29JUL21,15150,CE,2021-06-29,14:28:59,684.8,684.8,684.8,684.8,50,2200
NIFTY,29JUL21,15150,CE,2021-06-30,10:00:59,722.9,722.9,722.9,722.9,200,2150
NIFTY,29JUL21,15150,CE,2021-07-01,11:11:59,628.0,628.0,628.0,628.0,100,2150
NIFTY,29JUL21,15150,CE,2021-07-01,12:04:59,626.0,626.0,626.0,626.0,50,2050
NIFTY,29JUL21,15150,CE,2021-07-07,14:37:59,742.4,742.4,742.4,742.4,50,2050
NIFTY,29JUL21,15150,CE,2021-07-08,09:37:59,742.4,742.4,742.4,742.4,50,2000
NIFTY,29JUL21,15150,CE,2021-07-08,09:47:59,755.45,755.45,755.45,755.45,50,2000
NIFTY,29JUL21,15150,CE,2021-07-08,09:48:59,734.65,747.0,734.65,747.0,100,2050
NIFTY,29JUL21,15150,CE,2021-07-08,09:50:59,729.35,729.35,729.35,729.35,50,2050
NIFTY,29JUL21,15150,CE,2021-07-08,12:17:59,664.35,664.35,664.35,664.35,100,2050
NIFTY,29JUL21,15150,CE,2021-07-08,12:52:59,643.55,643.55,643.55,643.55,100,1950
NIFTY,29JUL21,15150,CE,2021-07-08,13:29:59,650.0,650.0,650.0,650.0,50,1950
NIFTY,29JUL21,15150,CE,2021-07-08,13:55:59,623.65,623.65,623.65,623.65,50,1950
NIFTY,29JUL21,15150,CE,2021-07-08,14:05:59,613.75,613.75,613.75,613.75,50,1950
NIFTY,29JUL21,15150,CE,2021-07-08,14:33:59,610.35,610.35,610.35,610.35,50,1950
