Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,29JUL21,15800,PE,2021-05-25,13:27:59,698.1,698.15,698.1,698.15,100,0
NIFTY,29JUL21,15800,PE,2021-05-27,12:49:59,664.8,664.8,664.8,664.8,100,100
NIFTY,29JUL21,15800,PE,2021-05-27,14:17:59,664.8,664.8,664.8,664.8,100,200
NIFTY,29JUL21,15800,PE,2021-05-27,15:10:59,649.9,649.9,649.9,649.9,50,300
NIFTY,29JUL21,15800,PE,2021-05-27,15:22:59,550.0,550.0,550.0,550.0,150,350
NIFTY,29JUL21,15800,PE,2021-05-28,09:39:59,560.0,560.0,560.0,560.0,50,400
NIFTY,29JUL21,15800,PE,2021-05-28,10:10:59,560.3,560.3,560.3,560.3,50,400
NIFTY,29JUL21,15800,PE,2021-05-28,12:19:59,540.0,540.0,540.0,540.0,50,450
NIFTY,29JUL21,15800,PE,2021-05-28,15:24:59,540.0,540.0,540.0,540.0,50,500
NIFTY,29JUL21,15800,PE,2021-05-31,09:25:59,554.05,554.05,554.05,554.05,50,550
NIFTY,29JUL21,15800,PE,2021-05-31,09:31:59,549.65,549.65,549.65,549.65,50,600
NIFTY,29JUL21,15800,PE,2021-05-31,09:35:59,548.3,548.3,548.3,548.3,50,650
NIFTY,29JUL21,15800,PE,2021-05-31,09:37:59,551.0,551.0,551.0,551.0,50,600
NIFTY,29JUL21,15800,PE,2021-05-31,09:39:59,540.0,540.0,540.0,540.0,50,600
NIFTY,29JUL21,15800,PE,2021-05-31,09:47:59,510.5,510.5,510.5,510.5,50,600
NIFTY,29JUL21,15800,PE,2021-05-31,09:48:59,500.8,500.8,500.8,500.8,50,600
NIFTY,29JUL21,15800,PE,2021-05-31,09:49:59,497.7,497.7,497.7,497.7,450,600
NIFTY,29JUL21,15800,PE,2021-05-31,09:50:59,513.2,513.2,513.2,513.2,450,800
NIFTY,29JUL21,15800,PE,2021-05-31,10:11:59,474.3,474.3,474.3,474.3,50,1000
NIFTY,29JUL21,15800,PE,2021-05-31,10:17:59,506.7,506.7,506.7,506.7,50,1050
NIFTY,29JUL21,15800,PE,2021-05-31,12:23:59,475.0,475.0,475.0,475.0,50,1050
NIFTY,29JUL21,15800,PE,2021-05-31,12:31:59,473.85,473.85,473.85,473.85,50,1100
NIFTY,29JUL21,15800,PE,2021-05-31,12:44:59,466.3,466.3,466.3,466.3,50,1150
NIFTY,29JUL21,15800,PE,2021-05-31,13:12:59,466.3,466.3,466.3,466.3,50,1200
NIFTY,29JUL21,15800,PE,2021-05-31,13:22:59,470.0,470.0,470.0,470.0,50,1200
NIFTY,29JUL21,15800,PE,2021-05-31,14:32:59,452.4,452.4,452.4,452.4,50,1150
NIFTY,29JUL21,15800,PE,2021-05-31,14:35:59,428.55,428.55,428.55,428.55,1000,1200
NIFTY,29JUL21,15800,PE,2021-05-31,14:41:59,453.6,453.6,453.45,453.45,900,2050
NIFTY,29JUL21,15800,PE,2021-05-31,14:47:59,458.0,458.85,458.0,458.85,950,2100
NIFTY,29JUL21,15800,PE,2021-05-31,14:48:59,455.2,455.2,455.2,455.2,50,2950
NIFTY,29JUL21,15800,PE,2021-05-31,14:49:59,455.45,456.1,455.45,456.1,100,2950
NIFTY,29JUL21,15800,PE,2021-05-31,14:50:59,456.65,456.65,456.65,456.65,450,2950
NIFTY,29JUL21,15800,PE,2021-05-31,14:51:59,456.6,459.75,456.6,459.75,650,4050
NIFTY,29JUL21,15800,PE,2021-05-31,14:52:59,456.75,456.95,456.75,456.95,450,4050
NIFTY,29JUL21,15800,PE,2021-05-31,14:53:59,457.45,457.8,457.45,457.8,300,4050
NIFTY,29JUL21,15800,PE,2021-05-31,14:54:59,457.55,457.55,457.55,457.55,150,4050
NIFTY,29JUL21,15800,PE,2021-05-31,14:55:59,457.0,457.0,457.0,457.0,150,4200
NIFTY,29JUL21,15800,PE,2021-05-31,14:59:59,458.9,458.9,458.9,458.9,600,4350
NIFTY,29JUL21,15800,PE,2021-05-31,15:00:59,453.7,453.7,453.7,453.7,150,4950
NIFTY,29JUL21,15800,PE,2021-05-31,15:01:59,453.5,454.75,453.5,454.75,1650,4950
NIFTY,29JUL21,15800,PE,2021-05-31,15:02:59,454.75,454.75,454.75,454.75,150,4950
NIFTY,29JUL21,15800,PE,2021-05-31,15:06:59,461.55,461.55,456.65,456.65,950,6900
NIFTY,29JUL21,15800,PE,2021-05-31,15:08:59,453.55,453.55,453.55,453.55,50,7850
NIFTY,29JUL21,15800,PE,2021-05-31,15:14:59,456.5,456.5,456.1,456.1,300,7850
NIFTY,29JUL21,15800,PE,2021-05-31,15:25:59,455.45,455.45,455.45,455.45,50,8150
NIFTY,29JUL21,15800,PE,2021-05-31,15:26:59,458.75,459.4,458.75,459.4,150,8150
NIFTY,29JUL21,15800,PE,2021-05-31,15:28:59,474.5,474.5,474.5,474.5,150,8250
NIFTY,29JUL21,15800,PE,2021-06-01,09:19:59,442.15,442.15,442.15,442.15,50,8250
NIFTY,29JUL21,15800,PE,2021-06-01,09:21:59,436.15,436.15,436.15,436.15,50,8300
NIFTY,29JUL21,15800,PE,2021-06-01,09:23:59,432.05,432.05,432.0,432.0,100,8300
NIFTY,29JUL21,15800,PE,2021-06-01,09:24:59,429.9,429.9,429.9,429.9,50,8350
NIFTY,29JUL21,15800,PE,2021-06-01,09:31:59,428.05,428.05,428.05,428.05,50,8400
NIFTY,29JUL21,15800,PE,2021-06-01,09:46:59,422.0,423.0,422.0,423.0,100,8450
NIFTY,29JUL21,15800,PE,2021-06-01,09:47:59,422.8,422.8,422.8,422.8,100,8500
NIFTY,29JUL21,15800,PE,2021-06-01,09:48:59,422.9,425.0,422.9,425.0,750,8500
NIFTY,29JUL21,15800,PE,2021-06-01,09:49:59,424.95,425.0,424.95,425.0,250,8500
NIFTY,29JUL21,15800,PE,2021-06-01,10:02:59,428.95,428.95,428.95,428.95,50,9050
NIFTY,29JUL21,15800,PE,2021-06-01,10:04:59,441.0,441.0,441.0,441.0,250,9050
NIFTY,29JUL21,15800,PE,2021-06-01,10:11:59,440.7,440.7,440.7,440.7,50,9350
NIFTY,29JUL21,15800,PE,2021-06-01,10:19:59,446.8,448.8,446.8,446.8,150,9400
NIFTY,29JUL21,15800,PE,2021-06-01,10:20:59,456.35,456.35,456.35,456.35,150,9500
NIFTY,29JUL21,15800,PE,2021-06-01,10:31:59,444.3,444.3,444.3,444.3,150,9650
NIFTY,29JUL21,15800,PE,2021-06-01,10:55:59,450.85,450.85,450.85,450.85,50,9600
NIFTY,29JUL21,15800,PE,2021-06-01,10:56:59,444.35,444.35,442.2,442.2,200,9550
NIFTY,29JUL21,15800,PE,2021-06-01,11:18:59,449.05,449.05,449.05,449.05,50,9500
NIFTY,29JUL21,15800,PE,2021-06-01,11:37:59,455.55,455.55,455.55,455.55,50,9450
NIFTY,29JUL21,15800,PE,2021-06-01,11:38:59,455.05,455.05,455.05,455.05,100,9450
NIFTY,29JUL21,15800,PE,2021-06-01,11:40:59,459.95,459.95,459.95,459.95,50,9400
NIFTY,29JUL21,15800,PE,2021-06-01,11:41:59,458.3,458.3,458.3,458.3,50,9400
NIFTY,29JUL21,15800,PE,2021-06-01,11:42:59,462.05,462.05,462.0,462.0,150,9350
NIFTY,29JUL21,15800,PE,2021-06-01,11:44:59,463.45,463.7,463.45,463.45,250,9350
