Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,24JUN21,12950,PE,2021-06-18,13:26:59,0.95,1.1,0.95,0.95,7500,0
NIFTY,24JUN21,12950,PE,2021-06-18,13:27:59,0.95,1.0,0.7,1.0,16575,7500
NIFTY,24JUN21,12950,PE,2021-06-18,13:28:59,0.95,0.95,0.65,0.9,58425,7500
NIFTY,24JUN21,12950,PE,2021-06-18,13:29:59,0.95,1.1,0.75,0.8,45075,7500
NIFTY,24JUN21,12950,PE,2021-06-18,13:30:59,0.75,0.75,0.75,0.75,7500,7500
NIFTY,24JUN21,12950,PE,2021-06-18,15:30:00,0.3,0.3,0.3,0.3,75,75
NIFTY,24JUN21,12950,PE,2021-06-22,09:36:59,1.3,1.3,0.15,0.15,600,75
NIFTY,24JUN21,12950,PE,2021-06-22,09:37:59,1.0,1.0,1.0,1.0,150,75
NIFTY,24JUN21,12950,PE,2021-06-22,15:28:59,1.0,1.0,1.0,1.0,75,600
NIFTY,24JUN21,12950,PE,2021-06-23,10:27:59,1.0,1.0,0.25,0.25,150,525
NIFTY,24JUN21,12950,PE,2021-06-23,10:28:59,1.2,1.2,1.2,1.2,150,525
NIFTY,24JUN21,12950,PE,2021-06-23,10:31:59,0.25,0.25,0.25,0.25,150,600
NIFTY,24JUN21,12950,PE,2021-06-23,10:35:59,0.9,0.9,0.9,0.9,150,750
NIFTY,24JUN21,12950,PE,2021-06-23,10:37:59,1.2,1.2,1.2,1.2,150,675
NIFTY,24JUN21,12950,PE,2021-06-23,12:03:59,0.7,0.7,0.7,0.7,75,600
NIFTY,24JUN21,12950,PE,2021-06-23,12:39:59,1.0,1.0,1.0,1.0,75,600
NIFTY,24JUN21,12950,PE,2021-06-23,13:49:59,0.75,0.75,0.75,0.75,75,600
NIFTY,24JUN21,12950,PE,2021-06-23,14:48:59,1.0,1.0,1.0,1.0,75,600
NIFTY,24JUN21,12950,PE,2021-06-24,09:20:59,0.6,0.6,0.6,0.6,300,675
NIFTY,24JUN21,12950,PE,2021-06-24,15:14:59,0.2,0.2,0.2,0.2,75,975
NIFTY,24JUN21,12950,PE,2021-06-24,15:17:59,0.1,0.1,0.1,0.1,150,900
