Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,25MAR21,15550,PE,2021-02-15,09:20:59,510.0,510.0,510.0,510.0,300,0
NIFTY,25MAR21,15550,PE,2021-02-16,09:22:59,431.5,431.5,431.5,431.5,75,300
NIFTY,25MAR21,15550,PE,2021-02-16,12:17:59,452.0,452.0,452.0,452.0,75,300
NIFTY,25MAR21,15550,PE,2021-02-16,12:23:59,451.5,451.5,451.5,451.5,75,375
NIFTY,25MAR21,15550,PE,2021-02-16,12:36:59,453.5,453.5,453.5,453.5,75,450
NIFTY,25MAR21,15550,PE,2021-02-16,14:29:59,489.5,489.5,489.5,489.5,75,525
NIFTY,25MAR21,15550,PE,2021-02-16,14:31:59,479.0,479.0,479.0,479.0,75,525
NIFTY,25MAR21,15550,PE,2021-02-17,09:17:59,500.0,503.0,500.0,503.0,150,675
NIFTY,25MAR21,15550,PE,2021-02-17,09:19:59,505.0,505.0,505.0,505.0,75,675
NIFTY,25MAR21,15550,PE,2021-02-17,13:44:59,525.3,525.3,525.3,525.3,75,825
NIFTY,25MAR21,15550,PE,2021-02-17,14:14:59,499.0,499.5,499.0,499.5,150,900
NIFTY,25MAR21,15550,PE,2021-02-18,12:49:59,567.9,568.65,567.9,568.65,150,900
NIFTY,25MAR21,15550,PE,2021-02-18,12:50:59,561.05,561.05,561.05,561.05,75,900
NIFTY,25MAR21,15550,PE,2021-02-19,09:19:59,621.0,622.0,621.0,622.0,525,1125
NIFTY,25MAR21,15550,PE,2021-02-19,09:20:59,624.0,629.0,624.0,629.0,1125,2250
NIFTY,25MAR21,15550,PE,2021-02-19,09:40:59,613.0,613.0,613.0,613.0,150,2775
NIFTY,25MAR21,15550,PE,2021-02-19,09:41:59,615.0,615.0,615.0,615.0,75,2925
NIFTY,25MAR21,15550,PE,2021-02-19,09:42:59,609.0,609.0,609.0,609.0,150,2925
NIFTY,25MAR21,15550,PE,2021-02-19,09:43:59,597.0,597.0,592.0,597.0,675,2925
NIFTY,25MAR21,15550,PE,2021-02-19,09:44:59,597.0,601.0,597.0,601.0,750,3450
NIFTY,25MAR21,15550,PE,2021-02-19,09:47:59,601.0,601.0,601.0,601.0,225,3450
NIFTY,25MAR21,15550,PE,2021-02-19,09:49:59,606.0,606.0,606.0,606.0,75,4050
NIFTY,25MAR21,15550,PE,2021-02-19,10:00:59,603.0,603.0,603.0,603.0,75,4125
NIFTY,25MAR21,15550,PE,2021-02-19,10:05:59,609.45,609.45,609.45,609.45,225,4200
NIFTY,25MAR21,15550,PE,2021-02-19,10:11:59,588.2,588.2,588.0,588.0,225,4200
NIFTY,25MAR21,15550,PE,2021-02-19,10:16:59,574.9,574.9,574.9,574.9,75,4425
NIFTY,25MAR21,15550,PE,2021-02-19,10:19:59,580.5,580.5,580.5,580.5,75,4425
NIFTY,25MAR21,15550,PE,2021-02-19,10:31:59,561.0,562.0,561.0,562.0,150,4500
NIFTY,25MAR21,15550,PE,2021-02-19,10:33:59,548.0,548.0,548.0,548.0,375,4650
NIFTY,25MAR21,15550,PE,2021-02-19,10:35:59,565.0,565.0,565.0,565.0,150,4650
NIFTY,25MAR21,15550,PE,2021-02-19,10:39:59,569.0,569.0,569.0,569.0,150,4425
NIFTY,25MAR21,15550,PE,2021-02-19,10:40:59,559.0,559.0,559.0,559.0,75,4425
NIFTY,25MAR21,15550,PE,2021-02-19,10:54:59,594.0,594.0,594.0,594.0,75,4875
NIFTY,25MAR21,15550,PE,2021-02-19,10:59:59,606.0,606.0,606.0,606.0,75,4950
NIFTY,25MAR21,15550,PE,2021-02-19,11:23:59,602.0,602.0,602.0,602.0,75,4800
NIFTY,25MAR21,15550,PE,2021-02-19,11:32:59,588.0,588.0,588.0,588.0,75,4875
NIFTY,25MAR21,15550,PE,2021-02-19,11:33:59,588.0,589.0,588.0,589.0,150,4875
NIFTY,25MAR21,15550,PE,2021-02-19,11:37:59,599.0,600.0,599.0,600.0,150,5100
NIFTY,25MAR21,15550,PE,2021-02-19,11:46:59,586.0,586.0,586.0,586.0,150,5100
NIFTY,25MAR21,15550,PE,2021-02-19,12:14:59,585.0,586.0,585.0,586.0,300,5175
NIFTY,25MAR21,15550,PE,2021-02-19,12:15:59,587.0,587.0,587.0,587.0,150,5175
NIFTY,25MAR21,15550,PE,2021-02-19,12:18:59,585.0,585.0,585.0,585.0,75,5475
NIFTY,25MAR21,15550,PE,2021-02-19,12:20:59,587.0,587.0,587.0,587.0,75,5475
NIFTY,25MAR21,15550,PE,2021-02-19,12:21:59,587.0,591.0,587.0,591.0,150,5625
NIFTY,25MAR21,15550,PE,2021-02-19,12:22:59,590.0,590.0,590.0,590.0,150,5625
NIFTY,25MAR21,15550,PE,2021-02-19,12:24:59,587.0,587.0,587.0,587.0,150,5700
NIFTY,25MAR21,15550,PE,2021-02-19,12:27:59,589.0,589.0,589.0,589.0,150,5850
NIFTY,25MAR21,15550,PE,2021-02-19,12:28:59,592.0,592.0,592.0,592.0,75,5850
NIFTY,25MAR21,15550,PE,2021-02-19,13:09:59,585.0,590.0,585.0,590.0,2250,6075
NIFTY,25MAR21,15550,PE,2021-02-19,13:12:59,589.0,589.0,586.0,586.0,300,4725
NIFTY,25MAR21,15550,PE,2021-02-19,13:14:59,586.0,586.0,586.0,586.0,150,4725
NIFTY,25MAR21,15550,PE,2021-02-19,13:16:59,592.0,592.0,592.0,592.0,150,5100
NIFTY,25MAR21,15550,PE,2021-02-19,13:21:59,593.0,593.0,593.0,593.0,75,5250
NIFTY,25MAR21,15550,PE,2021-02-19,13:23:59,596.0,596.0,596.0,596.0,525,5250
NIFTY,25MAR21,15550,PE,2021-02-19,13:26:59,613.55,613.55,613.55,613.55,225,5850
NIFTY,25MAR21,15550,PE,2021-02-19,13:29:59,613.35,613.35,613.35,613.35,225,5850
NIFTY,25MAR21,15550,PE,2021-02-19,13:30:59,620.85,620.85,620.85,620.85,225,6075
NIFTY,25MAR21,15550,PE,2021-02-19,13:32:59,616.0,616.0,616.0,616.0,75,6075
NIFTY,25MAR21,15550,PE,2021-02-19,13:33:59,630.0,630.0,630.0,630.0,75,6375
NIFTY,25MAR21,15550,PE,2021-02-19,13:56:59,627.0,627.0,627.0,627.0,75,5475
NIFTY,25MAR21,15550,PE,2021-02-19,14:02:59,641.75,641.9,640.8,640.8,1500,5550
