Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,25MAR21,16000,CE,2020-12-09,13:55:59,35.0,35.0,35.0,35.0,75,0
NIFTY,25MAR21,16000,CE,2020-12-09,14:30:59,49.0,49.0,49.0,49.0,300,75
NIFTY,25MAR21,16000,CE,2020-12-09,15:02:59,36.0,36.0,36.0,36.0,75,375
NIFTY,25MAR21,16000,CE,2020-12-09,15:06:59,36.0,36.0,36.0,36.0,75,375
NIFTY,25MAR21,16000,CE,2020-12-09,15:23:59,36.0,36.0,36.0,36.0,75,375
NIFTY,25MAR21,16000,CE,2020-12-09,15:30:00,36.0,36.0,36.0,36.0,75,450
NIFTY,25MAR21,16000,CE,2020-12-10,09:31:59,39.95,40.0,39.95,40.0,150,525
NIFTY,25MAR21,16000,CE,2020-12-10,09:32:59,36.5,37.0,36.0,37.0,375,900
NIFTY,25MAR21,16000,CE,2020-12-10,09:40:59,34.9,35.0,34.9,35.0,150,975
NIFTY,25MAR21,16000,CE,2020-12-10,09:44:59,35.1,35.1,35.1,35.1,75,1125
NIFTY,25MAR21,16000,CE,2020-12-10,09:55:59,34.4,34.4,34.0,34.4,300,1200
NIFTY,25MAR21,16000,CE,2020-12-10,09:56:59,34.4,34.4,34.4,34.4,75,1500
NIFTY,25MAR21,16000,CE,2020-12-10,10:09:59,34.45,34.45,34.45,34.45,75,1500
NIFTY,25MAR21,16000,CE,2020-12-10,10:15:59,34.5,34.5,34.5,34.5,75,1575
NIFTY,25MAR21,16000,CE,2020-12-10,10:24:59,34.05,34.05,34.05,34.05,75,1575
NIFTY,25MAR21,16000,CE,2020-12-10,10:27:59,35.0,35.0,35.0,35.0,150,1650
NIFTY,25MAR21,16000,CE,2020-12-10,11:08:59,34.9,34.9,34.9,34.9,75,1800
NIFTY,25MAR21,16000,CE,2020-12-10,11:41:59,36.0,36.0,36.0,36.0,75,1875
NIFTY,25MAR21,16000,CE,2020-12-10,11:44:59,35.05,35.05,35.05,35.05,75,1950
NIFTY,25MAR21,16000,CE,2020-12-10,12:15:59,35.05,35.05,35.05,35.05,75,2025
NIFTY,25MAR21,16000,CE,2020-12-10,12:18:59,35.05,35.05,35.05,35.05,75,0
NIFTY,25MAR21,16000,CE,2020-12-10,12:25:59,35.0,35.0,35.0,35.0,75,2025
NIFTY,25MAR21,16000,CE,2020-12-10,12:27:59,35.05,35.05,35.05,35.05,75,2100
NIFTY,25MAR21,16000,CE,2020-12-10,12:35:59,35.05,35.05,35.05,35.05,75,2100
NIFTY,25MAR21,16000,CE,2020-12-10,12:45:59,36.0,36.0,36.0,36.0,75,2100
NIFTY,25MAR21,16000,CE,2020-12-10,13:04:59,36.5,36.5,36.5,36.5,75,2175
NIFTY,25MAR21,16000,CE,2020-12-10,13:05:59,36.5,36.5,36.5,36.5,75,2175
NIFTY,25MAR21,16000,CE,2020-12-10,13:10:59,36.5,36.5,36.5,36.5,600,2175
NIFTY,25MAR21,16000,CE,2020-12-10,13:16:59,36.0,36.0,35.7,35.7,300,2775
NIFTY,25MAR21,16000,CE,2020-12-10,13:17:59,35.7,35.7,35.7,35.7,75,2775
NIFTY,25MAR21,16000,CE,2020-12-10,13:29:59,36.0,36.0,36.0,36.0,75,3075
NIFTY,25MAR21,16000,CE,2020-12-10,13:30:59,36.0,36.0,36.0,36.0,150,3075
NIFTY,25MAR21,16000,CE,2020-12-10,13:31:59,36.0,36.0,36.0,36.0,75,3300
NIFTY,25MAR21,16000,CE,2020-12-10,14:39:59,33.3,33.3,33.3,33.3,150,3375
NIFTY,25MAR21,16000,CE,2020-12-11,09:23:59,40.0,40.0,40.0,40.0,150,3375
NIFTY,25MAR21,16000,CE,2020-12-11,09:32:59,40.0,40.0,40.0,40.0,75,3525
NIFTY,25MAR21,16000,CE,2020-12-11,09:37:59,38.7,38.7,38.7,38.7,75,3525
NIFTY,25MAR21,16000,CE,2020-12-11,09:56:59,37.45,37.45,37.45,37.45,75,3525
NIFTY,25MAR21,16000,CE,2020-12-11,10:08:59,36.9,36.9,36.9,36.9,75,3525
NIFTY,25MAR21,16000,CE,2020-12-11,10:34:59,36.0,36.0,36.0,36.0,75,3600
NIFTY,25MAR21,16000,CE,2020-12-11,11:23:59,36.0,36.0,36.0,36.0,225,3675
NIFTY,25MAR21,16000,CE,2020-12-11,11:31:59,36.0,36.0,36.0,36.0,75,3825
NIFTY,25MAR21,16000,CE,2020-12-11,12:18:59,36.0,36.0,36.0,36.0,150,3825
NIFTY,25MAR21,16000,CE,2020-12-11,12:45:59,36.0,36.0,36.0,36.0,75,3975
NIFTY,25MAR21,16000,CE,2020-12-11,13:10:59,35.0,35.0,35.0,35.0,75,4050
NIFTY,25MAR21,16000,CE,2020-12-11,13:16:59,35.0,35.0,35.0,35.0,75,4050
NIFTY,25MAR21,16000,CE,2020-12-11,13:17:59,35.0,35.0,35.0,35.0,225,4050
NIFTY,25MAR21,16000,CE,2020-12-11,13:20:59,35.0,35.0,35.0,35.0,150,4350
NIFTY,25MAR21,16000,CE,2020-12-11,13:30:59,34.05,34.05,34.05,34.05,75,4500
NIFTY,25MAR21,16000,CE,2020-12-11,13:31:59,34.0,34.0,34.0,34.0,150,4500
NIFTY,25MAR21,16000,CE,2020-12-11,13:47:59,34.0,34.0,34.0,34.0,150,4725
NIFTY,25MAR21,16000,CE,2020-12-11,14:03:59,34.0,34.2,34.0,34.2,150,4725
NIFTY,25MAR21,16000,CE,2020-12-11,14:04:59,34.2,34.2,34.2,34.2,75,4725
NIFTY,25MAR21,16000,CE,2020-12-11,14:10:59,33.75,33.75,33.75,33.75,150,4800
NIFTY,25MAR21,16000,CE,2020-12-11,14:11:59,34.0,34.0,34.0,34.0,150,4800
NIFTY,25MAR21,16000,CE,2020-12-11,14:15:59,33.5,33.5,33.5,33.5,150,4800
NIFTY,25MAR21,16000,CE,2020-12-11,14:25:59,32.5,32.5,32.45,32.5,300,4950
NIFTY,25MAR21,16000,CE,2020-12-11,14:27:59,31.3,31.3,31.3,31.3,75,5175
NIFTY,25MAR21,16000,CE,2020-12-11,14:36:59,32.0,32.0,32.0,32.0,75,5250
NIFTY,25MAR21,16000,CE,2020-12-11,14:53:59,33.5,33.5,33.5,33.5,75,5175
NIFTY,25MAR21,16000,CE,2020-12-11,15:03:59,31.0,31.0,31.0,31.0,150,5250
NIFTY,25MAR21,16000,CE,2020-12-11,15:22:59,33.3,33.3,33.3,33.3,75,5400
NIFTY,25MAR21,16000,CE,2020-12-11,15:24:59,33.3,33.3,33.3,33.3,75,5400
NIFTY,25MAR21,16000,CE,2020-12-14,09:34:59,32.2,32.2,32.2,32.2,75,5550
NIFTY,25MAR21,16000,CE,2020-12-14,10:55:59,33.95,33.95,33.95,33.95,75,5625
NIFTY,25MAR21,16000,CE,2020-12-14,11:11:59,33.95,33.95,33.95,33.95,75,5625
NIFTY,25MAR21,16000,CE,2020-12-14,11:14:59,33.95,33.95,33.95,33.95,75,5625
NIFTY,25MAR21,16000,CE,2020-12-14,11:18:59,33.85,33.85,33.85,33.85,75,5625
NIFTY,25MAR21,16000,CE,2020-12-14,11:19:59,33.9,33.9,33.9,33.9,75,5625
NIFTY,25MAR21,16000,CE,2020-12-14,11:23:59,34.0,34.0,34.0,34.0,75,5625
NIFTY,25MAR21,16000,CE,2020-12-14,11:33:59,34.95,34.95,34.95,34.95,150,5700
NIFTY,25MAR21,16000,CE,2020-12-14,11:38:59,34.95,34.95,34.95,34.95,75,5850
NIFTY,25MAR21,16000,CE,2020-12-14,11:42:59,34.75,34.75,34.75,34.75,150,5925
NIFTY,25MAR21,16000,CE,2020-12-14,11:59:59,33.25,33.25,33.25,33.25,150,6075
NIFTY,25MAR21,16000,CE,2020-12-14,12:07:59,33.25,33.25,33.25,33.25,75,6225
NIFTY,25MAR21,16000,CE,2020-12-14,12:14:59,33.25,33.25,33.25,33.25,75,6300
NIFTY,25MAR21,16000,CE,2020-12-14,12:34:59,33.0,33.0,33.0,33.0,75,6300
NIFTY,25MAR21,16000,CE,2020-12-14,12:39:59,33.25,33.25,33.25,33.25,75,6375
NIFTY,25MAR21,16000,CE,2020-12-14,12:54:59,34.0,34.0,34.0,34.0,75,6375
NIFTY,25MAR21,16000,CE,2020-12-14,12:55:59,34.0,34.0,34.0,34.0,375,6375
NIFTY,25MAR21,16000,CE,2020-12-14,12:57:59,33.0,33.0,33.0,33.0,75,6675
NIFTY,25MAR21,16000,CE,2020-12-14,13:00:59,32.2,32.2,32.2,32.2,75,6600
NIFTY,25MAR21,16000,CE,2020-12-14,13:01:59,32.95,32.95,32.95,32.95,75,6600
NIFTY,25MAR21,16000,CE,2020-12-14,13:03:59,32.9,33.0,32.9,33.0,375,6600
NIFTY,25MAR21,16000,CE,2020-12-14,13:05:59,32.5,32.5,32.5,32.5,1050,6600
NIFTY,25MAR21,16000,CE,2020-12-14,13:13:59,32.5,32.5,32.5,32.5,75,8025
NIFTY,25MAR21,16000,CE,2020-12-14,13:16:59,33.45,33.45,33.45,33.45,75,8100
NIFTY,25MAR21,16000,CE,2020-12-14,13:19:59,33.45,33.45,33.45,33.45,75,8175
NIFTY,25MAR21,16000,CE,2020-12-14,13:20:59,33.5,33.5,33.5,33.5,150,8175
NIFTY,25MAR21,16000,CE,2020-12-14,13:32:59,33.5,33.5,33.5,33.5,75,8400
NIFTY,25MAR21,16000,CE,2020-12-14,13:34:59,33.75,33.75,33.75,33.75,150,8475
NIFTY,25MAR21,16000,CE,2020-12-14,14:02:59,32.9,32.9,32.9,32.9,75,8625
NIFTY,25MAR21,16000,CE,2020-12-14,14:06:59,32.95,32.95,32.95,32.95,75,8700
NIFTY,25MAR21,16000,CE,2020-12-14,14:08:59,32.75,32.75,32.25,32.25,150,8700
NIFTY,25MAR21,16000,CE,2020-12-14,14:17:59,32.25,32.25,32.25,32.25,75,8700
NIFTY,25MAR21,16000,CE,2020-12-14,14:23:59,32.95,32.95,32.95,32.95,300,8700
NIFTY,25MAR21,16000,CE,2020-12-14,14:25:59,32.5,32.5,32.5,32.5,225,9000
NIFTY,25MAR21,16000,CE,2020-12-14,14:41:59,32.6,32.6,32.6,32.6,75,0
NIFTY,25MAR21,16000,CE,2020-12-14,14:45:59,32.8,32.8,32.8,32.8,75,9300
NIFTY,25MAR21,16000,CE,2020-12-14,14:46:59,32.8,32.8,32.8,32.8,75,9300
NIFTY,25MAR21,16000,CE,2020-12-14,14:47:59,32.8,32.8,32.8,32.8,75,9300
NIFTY,25MAR21,16000,CE,2020-12-14,14:50:59,32.95,32.95,32.95,32.95,75,9375
NIFTY,25MAR21,16000,CE,2020-12-14,15:01:59,32.0,32.0,32.0,32.0,225,9450
NIFTY,25MAR21,16000,CE,2020-12-14,15:30:00,32.95,32.95,32.95,32.95,75,9600
NIFTY,25MAR21,16000,CE,2020-12-15,09:16:59,39.9,39.9,39.9,39.9,75,9600
NIFTY,25MAR21,16000,CE,2020-12-15,09:18:59,35.9,35.9,35.9,35.9,75,9675
NIFTY,25MAR21,16000,CE,2020-12-15,09:21:59,33.0,33.0,33.0,33.0,75,9750
NIFTY,25MAR21,16000,CE,2020-12-15,09:34:59,33.0,33.0,33.0,33.0,150,9750
NIFTY,25MAR21,16000,CE,2020-12-15,09:41:59,33.0,33.0,33.0,33.0,75,9900
NIFTY,25MAR21,16000,CE,2020-12-15,09:48:59,33.75,33.9,33.75,33.9,2025,9900
NIFTY,25MAR21,16000,CE,2020-12-15,09:51:59,33.0,33.0,32.9,32.9,150,11925
NIFTY,25MAR21,16000,CE,2020-12-15,09:57:59,32.2,32.2,32.2,32.2,450,12075
NIFTY,25MAR21,16000,CE,2020-12-15,10:04:59,32.0,32.0,32.0,32.0,75,12525
NIFTY,25MAR21,16000,CE,2020-12-15,10:09:59,31.0,31.0,31.0,31.0,75,12600
NIFTY,25MAR21,16000,CE,2020-12-15,10:20:59,30.15,30.15,30.15,30.15,75,12600
NIFTY,25MAR21,16000,CE,2020-12-15,10:25:59,31.5,31.5,31.5,31.5,75,12525
NIFTY,25MAR21,16000,CE,2020-12-15,11:08:59,31.5,31.5,31.5,31.5,975,12600
NIFTY,25MAR21,16000,CE,2020-12-15,11:44:59,31.5,31.5,31.5,31.5,75,13575
NIFTY,25MAR21,16000,CE,2020-12-15,11:51:59,31.75,31.75,31.55,31.55,150,13500
NIFTY,25MAR21,16000,CE,2020-12-15,11:52:59,31.55,31.55,31.55,31.55,75,13500
NIFTY,25MAR21,16000,CE,2020-12-15,12:43:59,31.55,31.55,31.55,31.55,150,13650
NIFTY,25MAR21,16000,CE,2020-12-15,12:51:59,33.0,33.0,33.0,33.0,225,13800
NIFTY,25MAR21,16000,CE,2020-12-15,13:03:59,33.0,33.0,33.0,33.0,225,14025
NIFTY,25MAR21,16000,CE,2020-12-15,13:09:59,33.0,33.0,33.0,33.0,75,14175
NIFTY,25MAR21,16000,CE,2020-12-15,13:19:59,33.0,33.0,33.0,33.0,75,14250
NIFTY,25MAR21,16000,CE,2020-12-15,14:02:59,32.9,32.9,32.9,32.9,75,14325
NIFTY,25MAR21,16000,CE,2020-12-15,14:20:59,32.0,32.0,32.0,32.0,900,14400
NIFTY,25MAR21,16000,CE,2020-12-15,14:21:59,32.5,32.5,32.5,32.5,600,15300
NIFTY,25MAR21,16000,CE,2020-12-15,14:57:59,30.1,30.1,30.1,30.1,75,15900
NIFTY,25MAR21,16000,CE,2020-12-15,15:18:59,32.0,32.0,32.0,32.0,150,15900
NIFTY,25MAR21,16000,CE,2020-12-15,15:20:59,31.0,31.0,31.0,31.0,75,16050
NIFTY,25MAR21,16000,CE,2020-12-15,15:21:59,31.0,31.0,30.05,30.05,525,16050
NIFTY,25MAR21,16000,CE,2020-12-15,15:22:59,30.05,30.05,30.05,30.05,75,16050
NIFTY,25MAR21,16000,CE,2020-12-15,15:26:59,30.05,30.05,30.05,30.05,75,0
NIFTY,25MAR21,16000,CE,2020-12-16,09:27:59,32.0,32.0,32.0,32.0,75,16125
NIFTY,25MAR21,16000,CE,2020-12-16,09:29:59,30.0,30.0,25.5,25.5,375,16125
NIFTY,25MAR21,16000,CE,2020-12-16,10:05:59,32.0,32.0,32.0,32.0,300,16125
NIFTY,25MAR21,16000,CE,2020-12-16,10:07:59,32.0,32.0,32.0,32.0,75,16125
NIFTY,25MAR21,16000,CE,2020-12-16,10:08:59,32.0,32.0,32.0,32.0,1200,16125
NIFTY,25MAR21,16000,CE,2020-12-16,10:50:59,30.0,30.0,30.0,30.0,150,16200
NIFTY,25MAR21,16000,CE,2020-12-16,10:56:59,29.9,29.9,29.9,29.9,75,16350
NIFTY,25MAR21,16000,CE,2020-12-16,11:21:59,32.9,32.9,32.9,32.9,75,16275
NIFTY,25MAR21,16000,CE,2020-12-16,11:25:59,32.9,33.0,32.9,33.0,300,16350
NIFTY,25MAR21,16000,CE,2020-12-16,11:37:59,33.0,33.0,33.0,33.0,450,16575
NIFTY,25MAR21,16000,CE,2020-12-16,12:04:59,33.0,33.0,33.0,33.0,75,17025
NIFTY,25MAR21,16000,CE,2020-12-16,12:20:59,33.0,33.0,33.0,33.0,75,17025
NIFTY,25MAR21,16000,CE,2020-12-16,13:48:59,33.0,33.0,33.0,33.0,75,17100
NIFTY,25MAR21,16000,CE,2020-12-16,14:00:59,34.0,34.0,34.0,34.0,75,17175
NIFTY,25MAR21,16000,CE,2020-12-16,14:02:59,34.0,34.0,34.0,34.0,75,17175
NIFTY,25MAR21,16000,CE,2020-12-16,14:10:59,34.0,34.0,34.0,34.0,75,17100
NIFTY,25MAR21,16000,CE,2020-12-16,14:12:59,37.4,37.4,37.4,37.4,75,17100
NIFTY,25MAR21,16000,CE,2020-12-16,14:47:59,36.0,36.0,36.0,36.0,75,17175
NIFTY,25MAR21,16000,CE,2020-12-16,14:52:59,36.0,36.0,36.0,36.0,75,17250
NIFTY,25MAR21,16000,CE,2020-12-16,14:54:59,36.4,36.4,36.4,36.4,75,17250
NIFTY,25MAR21,16000,CE,2020-12-16,15:11:59,35.5,35.5,35.5,35.5,75,17325
NIFTY,25MAR21,16000,CE,2020-12-16,15:19:59,31.5,31.5,31.5,31.5,150,17400
NIFTY,25MAR21,16000,CE,2020-12-17,09:21:59,35.0,40.0,35.0,40.0,150,17400
