Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,25NOV21,18600,CE,2021-09-22,12:13:59,148.9,148.9,148.9,148.9,50,0
NIFTY,25NOV21,18600,CE,2021-09-22,12:16:59,145.45,145.45,145.45,145.45,50,50
NIFTY,25NOV21,18600,CE,2021-09-23,09:38:59,195.0,195.0,130.0,130.0,150,100
NIFTY,25NOV21,18600,CE,2021-09-23,09:42:59,130.0,130.0,130.0,130.0,100,150
NIFTY,25NOV21,18600,CE,2021-09-23,09:57:59,154.7,154.7,154.7,154.7,100,250
NIFTY,25NOV21,18600,CE,2021-09-23,09:59:59,120.4,120.4,120.35,120.4,100,350
NIFTY,25NOV21,18600,CE,2021-09-23,12:23:59,147.4,147.4,147.4,147.4,50,350
NIFTY,25NOV21,18600,CE,2021-09-23,12:40:59,194.35,194.35,194.35,194.35,50,400
NIFTY,25NOV21,18600,CE,2021-09-23,12:43:59,140.6,140.6,140.6,140.6,50,450
NIFTY,25NOV21,18600,CE,2021-09-23,13:34:59,155.0,155.0,155.0,155.0,100,400
NIFTY,25NOV21,18600,CE,2021-09-23,14:05:59,155.0,155.0,155.0,155.0,100,500
NIFTY,25NOV21,18600,CE,2021-09-23,14:19:59,147.55,147.55,147.55,147.55,50,400
NIFTY,25NOV21,18600,CE,2021-09-23,14:20:59,149.95,149.95,149.95,149.95,100,400
NIFTY,25NOV21,18600,CE,2021-09-23,15:01:59,189.95,189.95,189.95,189.95,100,500
NIFTY,25NOV21,18600,CE,2021-09-23,15:09:59,176.0,176.0,176.0,176.0,100,500
NIFTY,25NOV21,18600,CE,2021-09-23,15:20:59,161.05,161.05,161.05,161.05,100,600
NIFTY,25NOV21,18600,CE,2021-09-24,09:19:59,188.0,188.0,188.0,188.0,50,700
NIFTY,25NOV21,18600,CE,2021-09-24,09:20:59,198.0,198.0,192.1,192.1,100,700
NIFTY,25NOV21,18600,CE,2021-09-24,09:21:59,203.85,203.85,203.85,203.85,100,750
NIFTY,25NOV21,18600,CE,2021-09-24,09:23:59,189.4,189.4,189.4,189.4,100,750
NIFTY,25NOV21,18600,CE,2021-09-24,09:29:59,197.2,197.3,197.2,197.3,100,750
NIFTY,25NOV21,18600,CE,2021-09-24,09:30:59,197.3,197.3,197.3,197.3,50,750
NIFTY,25NOV21,18600,CE,2021-09-24,09:43:59,210.9,210.9,210.9,210.9,50,800
NIFTY,25NOV21,18600,CE,2021-09-24,09:55:59,185.0,185.0,185.0,185.0,50,800
NIFTY,25NOV21,18600,CE,2021-09-24,10:07:59,193.1,193.1,193.1,193.1,100,800
NIFTY,25NOV21,18600,CE,2021-09-24,10:12:59,200.0,200.0,200.0,200.0,50,700
NIFTY,25NOV21,18600,CE,2021-09-24,10:20:59,188.25,188.25,188.25,188.25,50,700
NIFTY,25NOV21,18600,CE,2021-09-24,10:21:59,197.9,197.9,197.9,197.9,50,700
NIFTY,25NOV21,18600,CE,2021-09-24,10:29:59,204.1,204.1,204.1,204.1,100,750
NIFTY,25NOV21,18600,CE,2021-09-24,10:30:59,205.4,205.4,205.4,205.4,100,750
NIFTY,25NOV21,18600,CE,2021-09-24,10:51:59,205.4,205.4,205.4,205.4,100,950
NIFTY,25NOV21,18600,CE,2021-09-24,10:58:59,204.25,204.25,202.6,202.6,200,950
NIFTY,25NOV21,18600,CE,2021-09-24,11:00:59,207.2,207.2,207.2,207.2,50,1100
NIFTY,25NOV21,18600,CE,2021-09-24,11:01:59,207.9,207.9,207.9,207.9,50,1100
NIFTY,25NOV21,18600,CE,2021-09-24,11:02:59,208.5,208.5,208.5,208.5,100,1100
NIFTY,25NOV21,18600,CE,2021-09-24,11:04:59,195.45,207.45,195.45,207.45,150,1250
NIFTY,25NOV21,18600,CE,2021-09-24,11:06:59,209.1,209.1,209.1,209.1,50,1300
NIFTY,25NOV21,18600,CE,2021-09-24,11:07:59,208.35,208.35,208.35,208.35,100,1300
NIFTY,25NOV21,18600,CE,2021-09-24,11:13:59,200.6,200.6,200.6,200.6,100,1450
NIFTY,25NOV21,18600,CE,2021-09-24,11:25:59,200.6,200.6,200.6,200.6,50,1350
