Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,28OCT21,17750,CE,2021-08-26,12:26:59,69.0,69.0,69.0,69.0,50,0
NIFTY,28OCT21,17750,CE,2021-08-31,15:06:59,84.95,84.95,84.95,84.95,50,50
NIFTY,28OCT21,17750,CE,2021-09-01,09:38:59,130.4,130.4,130.4,130.4,50,50
NIFTY,28OCT21,17750,CE,2021-09-02,14:10:59,117.15,117.15,117.15,117.15,50,50
NIFTY,28OCT21,17750,CE,2021-09-02,15:16:59,135.0,135.0,135.0,135.0,100,50
NIFTY,28OCT21,17750,CE,2021-09-02,15:20:59,136.0,136.0,136.0,136.0,50,150
NIFTY,28OCT21,17750,CE,2021-09-02,15:25:59,132.55,132.55,132.55,132.55,50,200
NIFTY,28OCT21,17750,CE,2021-09-02,15:28:59,129.7,129.7,129.7,129.7,50,250
NIFTY,28OCT21,17750,CE,2021-09-03,10:19:59,158.75,158.75,158.75,158.75,50,300
NIFTY,28OCT21,17750,CE,2021-09-03,11:35:59,134.0,134.0,134.0,134.0,50,300
NIFTY,28OCT21,17750,CE,2021-09-03,12:21:59,136.55,136.55,136.55,136.55,50,350
NIFTY,28OCT21,17750,CE,2021-09-03,12:24:59,147.05,147.05,147.05,147.05,100,400
NIFTY,28OCT21,17750,CE,2021-09-03,12:41:59,152.1,152.1,152.1,152.1,50,400
NIFTY,28OCT21,17750,CE,2021-09-03,13:36:59,157.55,157.55,157.55,157.55,50,400
NIFTY,28OCT21,17750,CE,2021-09-03,13:40:59,164.95,164.95,164.95,164.95,450,400
NIFTY,28OCT21,17750,CE,2021-09-03,13:52:59,160.1,160.1,159.05,159.05,100,850
NIFTY,28OCT21,17750,CE,2021-09-03,13:53:59,155.9,155.9,155.9,155.9,50,850
NIFTY,28OCT21,17750,CE,2021-09-03,13:55:59,158.9,158.9,158.9,158.9,50,900
NIFTY,28OCT21,17750,CE,2021-09-03,13:59:59,156.1,156.1,156.1,156.1,50,900
NIFTY,28OCT21,17750,CE,2021-09-03,14:00:59,155.55,155.55,151.7,151.7,100,700
NIFTY,28OCT21,17750,CE,2021-09-03,14:01:59,155.35,155.35,155.35,155.35,50,700
NIFTY,28OCT21,17750,CE,2021-09-03,14:02:59,153.5,153.5,152.45,152.45,150,700
NIFTY,28OCT21,17750,CE,2021-09-06,09:17:59,210.55,210.55,210.55,210.55,50,550
NIFTY,28OCT21,17750,CE,2021-09-06,09:20:59,208.0,208.0,208.0,208.0,50,600
NIFTY,28OCT21,17750,CE,2021-09-06,09:21:59,200.0,200.0,200.0,200.0,50,600
NIFTY,28OCT21,17750,CE,2021-09-06,09:24:59,205.25,205.25,205.25,205.25,50,700
NIFTY,28OCT21,17750,CE,2021-09-06,09:25:59,204.3,204.3,204.3,204.3,200,700
NIFTY,28OCT21,17750,CE,2021-09-06,09:29:59,200.55,200.55,200.55,200.55,50,850
NIFTY,28OCT21,17750,CE,2021-09-06,09:30:59,204.7,204.7,202.75,202.75,150,850
NIFTY,28OCT21,17750,CE,2021-09-06,09:32:59,208.55,208.55,208.55,208.55,50,850
NIFTY,28OCT21,17750,CE,2021-09-06,09:33:59,212.6,212.6,209.3,209.3,100,800
NIFTY,28OCT21,17750,CE,2021-09-06,09:34:59,208.6,210.85,208.55,210.85,150,800
NIFTY,28OCT21,17750,CE,2021-09-06,09:35:59,207.2,207.2,207.2,207.2,50,1000
NIFTY,28OCT21,17750,CE,2021-09-06,09:36:59,207.25,207.75,207.25,207.75,100,1000
NIFTY,28OCT21,17750,CE,2021-09-06,09:45:59,204.45,204.45,202.45,202.45,100,1100
NIFTY,28OCT21,17750,CE,2021-09-06,09:49:59,202.45,202.45,202.45,202.45,50,1100
NIFTY,28OCT21,17750,CE,2021-09-06,09:54:59,197.8,197.8,197.8,197.8,50,1150
NIFTY,28OCT21,17750,CE,2021-09-06,10:03:59,219.75,219.75,219.75,219.75,1800,0
NIFTY,28OCT21,17750,CE,2021-09-06,10:05:59,204.2,204.3,203.15,204.05,700,2950
NIFTY,28OCT21,17750,CE,2021-09-06,10:07:59,207.6,207.6,205.05,207.0,1500,2950
NIFTY,28OCT21,17750,CE,2021-09-06,10:08:59,205.0,205.0,204.85,204.85,100,4050
NIFTY,28OCT21,17750,CE,2021-09-06,10:09:59,205.3,205.3,205.2,205.2,200,4050
NIFTY,28OCT21,17750,CE,2021-09-06,10:15:59,201.25,201.25,201.25,201.25,100,4100
NIFTY,28OCT21,17750,CE,2021-09-06,10:20:59,199.35,200.0,197.9,197.9,1000,4150
NIFTY,28OCT21,17750,CE,2021-09-06,10:21:59,196.9,196.9,196.9,196.9,50,4150
NIFTY,28OCT21,17750,CE,2021-09-06,10:25:59,193.4,193.4,193.4,193.4,50,4700
NIFTY,28OCT21,17750,CE,2021-09-06,10:30:59,194.95,194.95,193.7,193.7,100,4700
NIFTY,28OCT21,17750,CE,2021-09-06,10:32:59,191.0,191.0,190.6,190.6,150,4750
NIFTY,28OCT21,17750,CE,2021-09-06,10:33:59,188.35,188.35,188.35,188.35,150,4750
NIFTY,28OCT21,17750,CE,2021-09-06,10:34:59,189.05,189.05,189.05,189.05,100,4750
NIFTY,28OCT21,17750,CE,2021-09-06,10:37:59,194.35,194.35,194.35,194.35,50,5000
NIFTY,28OCT21,17750,CE,2021-09-06,10:41:59,192.45,192.45,192.45,192.45,50,5000
NIFTY,28OCT21,17750,CE,2021-09-06,10:42:59,192.6,193.0,191.7,191.7,150,5000
NIFTY,28OCT21,17750,CE,2021-09-06,10:44:59,191.2,191.2,191.2,191.2,50,5000
NIFTY,28OCT21,17750,CE,2021-09-06,10:50:59,190.0,190.0,190.0,190.0,50,5000
NIFTY,28OCT21,17750,CE,2021-09-06,10:53:59,191.05,191.05,188.1,191.05,1450,4950
NIFTY,28OCT21,17750,CE,2021-09-06,10:54:59,191.05,193.35,191.05,193.35,100,4950
NIFTY,28OCT21,17750,CE,2021-09-06,11:10:59,195.8,195.8,195.8,195.8,50,5700
NIFTY,28OCT21,17750,CE,2021-09-06,11:12:59,195.0,195.0,195.0,195.0,100,5700
NIFTY,28OCT21,17750,CE,2021-09-06,11:27:59,193.95,193.95,192.25,192.25,150,5800
NIFTY,28OCT21,17750,CE,2021-09-06,11:28:59,192.1,193.55,192.1,193.55,150,5800
NIFTY,28OCT21,17750,CE,2021-09-06,11:36:59,190.5,190.5,190.5,190.5,50,5850
NIFTY,28OCT21,17750,CE,2021-09-06,11:38:59,189.75,189.75,189.75,189.75,100,5850
NIFTY,28OCT21,17750,CE,2021-09-06,11:39:59,188.0,188.0,188.0,188.0,50,5950
NIFTY,28OCT21,17750,CE,2021-09-06,11:43:59,190.8,190.8,190.8,190.8,250,6000
NIFTY,28OCT21,17750,CE,2021-09-06,11:45:59,190.15,192.05,190.15,192.05,100,6050
NIFTY,28OCT21,17750,CE,2021-09-06,11:48:59,190.25,190.25,190.25,190.25,50,6150
NIFTY,28OCT21,17750,CE,2021-09-06,11:50:59,193.65,193.65,193.65,193.65,50,6150
NIFTY,28OCT21,17750,CE,2021-09-06,11:54:59,195.0,195.0,195.0,195.0,50,6200
NIFTY,28OCT21,17750,CE,2021-09-06,12:01:59,196.0,196.0,196.0,196.0,50,6250
NIFTY,28OCT21,17750,CE,2021-09-06,12:06:59,191.4,191.4,191.4,191.4,50,6250
NIFTY,28OCT21,17750,CE,2021-09-06,12:07:59,192.95,192.95,192.95,192.95,50,6250
NIFTY,28OCT21,17750,CE,2021-09-06,12:08:59,193.55,193.55,193.55,193.55,50,6250
NIFTY,28OCT21,17750,CE,2021-09-06,12:09:59,194.25,194.25,194.25,194.25,100,6250
NIFTY,28OCT21,17750,CE,2021-09-06,12:11:59,193.75,193.75,193.75,193.75,100,6250
NIFTY,28OCT21,17750,CE,2021-09-06,12:12:59,193.95,193.95,193.85,193.85,100,6250
NIFTY,28OCT21,17750,CE,2021-09-06,12:21:59,189.6,189.6,189.6,189.6,50,6250
NIFTY,28OCT21,17750,CE,2021-09-06,12:23:59,187.7,187.7,187.7,187.7,100,6250
NIFTY,28OCT21,17750,CE,2021-09-06,12:31:59,190.4,190.4,190.4,190.4,50,6350
NIFTY,28OCT21,17750,CE,2021-09-06,12:49:59,194.35,195.25,194.35,195.25,100,6400
NIFTY,28OCT21,17750,CE,2021-09-06,12:54:59,195.5,195.5,195.5,195.5,100,6450
NIFTY,28OCT21,17750,CE,2021-09-06,13:01:59,192.15,192.15,192.15,192.15,250,0
NIFTY,28OCT21,17750,CE,2021-09-06,13:03:59,197.2,197.2,197.2,197.2,50,6250
NIFTY,28OCT21,17750,CE,2021-09-06,13:05:59,201.2,201.2,201.2,201.2,50,6250
NIFTY,28OCT21,17750,CE,2021-09-06,13:53:59,188.4,188.4,188.4,188.4,50,6350
NIFTY,28OCT21,17750,CE,2021-09-06,13:56:59,192.75,192.75,192.75,192.75,50,6350
NIFTY,28OCT21,17750,CE,2021-09-06,14:01:59,190.0,190.0,190.0,190.0,50,6400
NIFTY,28OCT21,17750,CE,2021-09-06,14:41:59,194.7,194.7,194.7,194.7,50,6450
NIFTY,28OCT21,17750,CE,2021-09-06,14:42:59,196.45,196.45,196.45,196.45,100,6450
NIFTY,28OCT21,17750,CE,2021-09-06,15:00:59,197.35,197.35,197.35,197.35,200,6500
NIFTY,28OCT21,17750,CE,2021-09-06,15:09:59,199.85,199.85,199.85,199.85,50,6600
NIFTY,28OCT21,17750,CE,2021-09-06,15:11:59,193.9,193.9,193.9,193.9,50,6650
NIFTY,28OCT21,17750,CE,2021-09-06,15:12:59,193.2,195.95,193.2,195.95,200,6700
NIFTY,28OCT21,17750,CE,2021-09-06,15:18:59,195.95,195.95,195.95,195.95,50,6750
NIFTY,28OCT21,17750,CE,2021-09-06,15:27:59,192.75,192.75,192.75,192.75,100,6800
NIFTY,28OCT21,17750,CE,2021-09-06,15:28:59,193.15,193.15,193.15,193.15,50,6800
NIFTY,28OCT21,17750,CE,2021-09-07,09:18:59,197.0,197.0,197.0,197.0,100,6750
NIFTY,28OCT21,17750,CE,2021-09-07,09:23:59,177.25,177.25,177.25,177.25,50,6850
NIFTY,28OCT21,17750,CE,2021-09-07,09:26:59,180.25,180.25,180.25,180.25,50,6800
NIFTY,28OCT21,17750,CE,2021-09-07,09:27:59,181.45,181.45,181.45,181.45,50,6800
NIFTY,28OCT21,17750,CE,2021-09-07,09:30:59,182.85,182.85,182.85,182.85,50,6900
NIFTY,28OCT21,17750,CE,2021-09-07,09:35:59,186.25,188.2,186.25,188.2,100,7000
NIFTY,28OCT21,17750,CE,2021-09-07,09:36:59,189.55,189.55,189.55,189.55,50,7000
NIFTY,28OCT21,17750,CE,2021-09-07,09:38:59,190.5,190.5,190.5,190.5,50,7000
NIFTY,28OCT21,17750,CE,2021-09-07,09:50:59,176.85,176.85,176.85,176.85,250,7150
NIFTY,28OCT21,17750,CE,2021-09-07,10:01:59,168.0,168.0,168.0,168.0,100,7350
NIFTY,28OCT21,17750,CE,2021-09-07,10:03:59,185.0,185.0,185.0,185.0,100,7400
NIFTY,28OCT21,17750,CE,2021-09-07,10:08:59,170.15,170.15,170.15,170.15,50,7350
NIFTY,28OCT21,17750,CE,2021-09-07,10:09:59,168.05,168.5,168.05,168.5,250,7350
NIFTY,28OCT21,17750,CE,2021-09-07,10:10:59,164.95,165.8,164.95,165.8,100,7350
NIFTY,28OCT21,17750,CE,2021-09-07,10:16:59,165.8,165.8,165.8,165.8,50,7350
NIFTY,28OCT21,17750,CE,2021-09-07,10:22:59,171.05,171.05,171.05,171.05,50,7300
NIFTY,28OCT21,17750,CE,2021-09-07,10:33:59,169.85,169.85,169.85,169.85,50,7350
NIFTY,28OCT21,17750,CE,2021-09-07,10:39:59,171.65,171.65,170.9,170.9,100,7400
NIFTY,28OCT21,17750,CE,2021-09-07,10:48:59,175.35,175.35,175.35,175.35,50,7400
NIFTY,28OCT21,17750,CE,2021-09-07,10:52:59,173.9,173.9,173.9,173.9,50,7450
NIFTY,28OCT21,17750,CE,2021-09-07,10:55:59,171.0,171.0,171.0,171.0,50,7500
NIFTY,28OCT21,17750,CE,2021-09-07,10:56:59,172.1,172.1,172.1,172.1,50,0
NIFTY,28OCT21,17750,CE,2021-09-07,11:05:59,169.15,169.15,169.15,169.15,50,7550
NIFTY,28OCT21,17750,CE,2021-09-07,11:07:59,170.8,170.8,170.8,170.8,200,7600
NIFTY,28OCT21,17750,CE,2021-09-07,11:09:59,170.85,170.85,170.85,170.85,50,7600
NIFTY,28OCT21,17750,CE,2021-09-07,11:11:59,171.25,171.3,171.25,171.3,200,7600
NIFTY,28OCT21,17750,CE,2021-09-07,11:18:59,170.85,170.85,170.85,170.85,150,7700
NIFTY,28OCT21,17750,CE,2021-09-07,11:19:59,170.3,170.3,170.3,170.3,50,7700
NIFTY,28OCT21,17750,CE,2021-09-07,11:25:59,172.0,172.0,172.0,172.0,50,7800
NIFTY,28OCT21,17750,CE,2021-09-07,11:36:59,172.0,172.0,172.0,172.0,50,7850
NIFTY,28OCT21,17750,CE,2021-09-07,12:04:59,187.35,187.35,187.35,187.35,200,7850
NIFTY,28OCT21,17750,CE,2021-09-07,12:05:59,179.5,179.5,179.5,179.5,150,7850
NIFTY,28OCT21,17750,CE,2021-09-07,12:12:59,183.8,183.8,183.8,183.8,50,7900
NIFTY,28OCT21,17750,CE,2021-09-07,12:21:59,194.1,194.1,194.1,194.1,50,7900
NIFTY,28OCT21,17750,CE,2021-09-07,12:22:59,197.75,197.75,197.75,197.75,450,7900
NIFTY,28OCT21,17750,CE,2021-09-07,12:26:59,191.85,191.85,191.85,191.85,50,8350
NIFTY,28OCT21,17750,CE,2021-09-07,12:27:59,192.35,192.35,192.35,192.35,50,8350
NIFTY,28OCT21,17750,CE,2021-09-07,12:29:59,193.85,193.85,193.85,193.85,50,8350
NIFTY,28OCT21,17750,CE,2021-09-07,12:30:59,195.0,195.0,195.0,195.0,50,8350
NIFTY,28OCT21,17750,CE,2021-09-07,12:32:59,193.4,193.4,193.4,193.4,50,8350
NIFTY,28OCT21,17750,CE,2021-09-07,12:33:59,192.75,192.75,192.75,192.75,50,8350
NIFTY,28OCT21,17750,CE,2021-09-07,12:39:59,198.95,198.95,198.95,198.95,50,8300
NIFTY,28OCT21,17750,CE,2021-09-07,12:42:59,198.35,198.35,198.35,198.35,50,8300
NIFTY,28OCT21,17750,CE,2021-09-07,12:45:59,198.35,198.35,198.35,198.35,50,8300
NIFTY,28OCT21,17750,CE,2021-09-07,12:53:59,205.7,212.65,196.9,196.9,1150,8350
NIFTY,28OCT21,17750,CE,2021-09-07,12:54:59,206.25,207.45,206.25,207.45,100,8600
NIFTY,28OCT21,17750,CE,2021-09-07,12:55:59,203.4,204.15,203.4,204.15,200,8600
NIFTY,28OCT21,17750,CE,2021-09-07,12:56:59,203.7,203.7,200.55,200.55,250,8600
NIFTY,28OCT21,17750,CE,2021-09-07,12:57:59,200.65,200.65,200.65,200.65,100,8800
NIFTY,28OCT21,17750,CE,2021-09-07,12:58:59,201.35,201.35,201.35,201.35,100,8800
NIFTY,28OCT21,17750,CE,2021-09-07,12:59:59,202.4,202.4,202.4,202.4,150,8800
NIFTY,28OCT21,17750,CE,2021-09-07,13:00:59,199.65,199.65,199.15,199.15,150,9050
NIFTY,28OCT21,17750,CE,2021-09-07,13:01:59,198.9,198.9,198.9,198.9,150,9050
NIFTY,28OCT21,17750,CE,2021-09-07,13:04:59,199.4,200.3,199.4,200.3,100,9350
NIFTY,28OCT21,17750,CE,2021-09-07,13:05:59,200.85,202.75,200.85,202.75,150,9350
NIFTY,28OCT21,17750,CE,2021-09-07,13:06:59,203.25,203.25,203.25,203.25,50,9350
NIFTY,28OCT21,17750,CE,2021-09-07,13:25:59,206.0,206.0,206.0,206.0,350,9350
NIFTY,28OCT21,17750,CE,2021-09-07,13:31:59,204.8,206.45,204.8,206.45,100,9700
NIFTY,28OCT21,17750,CE,2021-09-07,13:33:59,205.25,205.25,205.25,205.25,50,9750
NIFTY,28OCT21,17750,CE,2021-09-07,13:34:59,205.25,205.25,205.25,205.25,50,9750
NIFTY,28OCT21,17750,CE,2021-09-07,13:42:59,201.1,202.6,201.1,202.6,600,9550
NIFTY,28OCT21,17750,CE,2021-09-07,13:43:59,202.7,202.95,202.7,202.95,400,9550
NIFTY,28OCT21,17750,CE,2021-09-07,13:47:59,200.9,200.9,200.9,200.9,300,10550
NIFTY,28OCT21,17750,CE,2021-09-07,14:00:59,194.15,194.15,193.65,193.65,100,10750
NIFTY,28OCT21,17750,CE,2021-09-07,14:03:59,197.6,197.6,197.6,197.6,50,10750
NIFTY,28OCT21,17750,CE,2021-09-07,14:09:59,199.4,199.4,199.4,199.4,100,10750
NIFTY,28OCT21,17750,CE,2021-09-07,14:13:59,201.15,201.15,201.15,201.15,150,10650
NIFTY,28OCT21,17750,CE,2021-09-07,14:40:59,189.6,189.6,189.6,189.6,50,10800
NIFTY,28OCT21,17750,CE,2021-09-07,14:41:59,189.1,189.7,186.05,186.05,200,10800
NIFTY,28OCT21,17750,CE,2021-09-07,14:42:59,185.3,185.3,185.3,185.3,50,10800
NIFTY,28OCT21,17750,CE,2021-09-07,14:43:59,184.4,184.4,183.05,183.55,400,10800
NIFTY,28OCT21,17750,CE,2021-09-07,14:44:59,183.75,183.75,183.75,183.75,100,10800
NIFTY,28OCT21,17750,CE,2021-09-07,14:59:59,185.05,190.05,185.05,190.05,300,10800
NIFTY,28OCT21,17750,CE,2021-09-07,15:04:59,187.05,187.05,183.8,183.8,150,11000
NIFTY,28OCT21,17750,CE,2021-09-07,15:05:59,184.5,184.5,184.2,184.2,200,11000
NIFTY,28OCT21,17750,CE,2021-09-07,15:09:59,184.15,184.15,184.15,184.15,50,11050
NIFTY,28OCT21,17750,CE,2021-09-07,15:15:59,181.2,181.2,181.2,181.2,50,11000
NIFTY,28OCT21,17750,CE,2021-09-07,15:21:59,181.2,181.2,181.2,181.2,200,11000
NIFTY,28OCT21,17750,CE,2021-09-08,09:17:59,179.55,179.55,179.5,179.5,150,11200
NIFTY,28OCT21,17750,CE,2021-09-08,09:29:59,176.45,176.45,176.4,176.45,100,11300
NIFTY,28OCT21,17750,CE,2021-09-08,09:30:59,172.2,172.2,172.2,172.2,50,11300
NIFTY,28OCT21,17750,CE,2021-09-08,09:35:59,175.45,175.45,175.45,175.45,50,11250
NIFTY,28OCT21,17750,CE,2021-09-08,09:50:59,175.4,175.4,175.4,175.4,100,11250
NIFTY,28OCT21,17750,CE,2021-09-08,09:53:59,173.7,173.7,173.7,173.7,50,11250
NIFTY,28OCT21,17750,CE,2021-09-08,09:59:59,175.55,175.55,175.55,175.55,100,11200
