Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,28OCT21,18450,PE,2021-09-23,12:15:59,750.85,750.85,750.85,750.85,50,0
NIFTY,28OCT21,18450,PE,2021-09-27,09:52:59,514.85,668.15,514.85,668.15,100,50
NIFTY,28OCT21,18450,PE,2021-10-01,09:18:59,1023.55,1023.55,1023.55,1023.55,100,100
NIFTY,28OCT21,18450,PE,2021-10-01,11:21:59,973.6,973.6,973.6,973.6,50,200
NIFTY,28OCT21,18450,PE,2021-10-01,11:35:59,981.8,981.8,981.8,981.8,50,250
NIFTY,28OCT21,18450,PE,2021-10-01,12:16:59,1027.25,1027.25,1027.25,1027.25,50,250
NIFTY,28OCT21,18450,PE,2021-10-01,12:20:59,1001.85,1001.85,1001.85,1001.85,50,300
NIFTY,28OCT21,18450,PE,2021-10-01,12:29:59,1005.25,1005.25,1005.25,1005.25,50,350
NIFTY,28OCT21,18450,PE,2021-10-01,13:07:59,987.8,987.8,987.8,987.8,50,400
NIFTY,28OCT21,18450,PE,2021-10-01,13:49:59,991.35,991.35,991.35,991.35,50,450
NIFTY,28OCT21,18450,PE,2021-10-01,14:30:59,964.3,964.3,962.5,962.5,100,500
NIFTY,28OCT21,18450,PE,2021-10-01,15:21:59,968.1,968.1,968.1,968.1,100,600
NIFTY,28OCT21,18450,PE,2021-10-04,10:22:59,783.0,783.0,783.0,783.0,50,0
NIFTY,28OCT21,18450,PE,2021-10-05,09:16:59,834.95,836.95,828.35,836.95,300,650
NIFTY,28OCT21,18450,PE,2021-10-05,14:58:59,668.25,668.25,668.25,668.25,50,800
NIFTY,28OCT21,18450,PE,2021-10-05,15:00:59,687.45,687.45,687.45,687.45,50,800
NIFTY,28OCT21,18450,PE,2021-10-05,15:25:59,682.85,682.85,682.85,682.85,50,750
NIFTY,28OCT21,18450,PE,2021-10-06,14:28:59,814.5,814.5,814.5,814.5,50,700
NIFTY,28OCT21,18450,PE,2021-10-06,14:34:59,813.2,813.2,813.2,813.2,50,0
NIFTY,28OCT21,18450,PE,2021-10-07,11:55:59,637.95,637.95,637.95,637.95,50,700
NIFTY,28OCT21,18450,PE,2021-10-08,09:16:59,638.55,638.55,638.55,638.55,100,700
NIFTY,28OCT21,18450,PE,2021-10-08,10:20:59,622.0,622.0,622.0,622.0,150,800
NIFTY,28OCT21,18450,PE,2021-10-08,10:26:59,600.0,600.0,600.0,600.0,50,850
NIFTY,28OCT21,18450,PE,2021-10-08,10:29:59,580.0,580.0,580.0,580.0,50,900
NIFTY,28OCT21,18450,PE,2021-10-11,09:18:59,614.0,614.0,614.0,614.0,50,900
NIFTY,28OCT21,18450,PE,2021-10-11,15:24:59,539.25,539.25,539.25,539.25,50,950
NIFTY,28OCT21,18450,PE,2021-10-12,10:23:59,557.4,557.4,557.4,557.4,50,950
NIFTY,28OCT21,18450,PE,2021-10-12,14:31:59,520.05,520.05,520.05,520.05,50,1000
NIFTY,28OCT21,18450,PE,2021-10-12,14:38:59,520.5,520.5,520.5,520.5,50,1000
NIFTY,28OCT21,18450,PE,2021-10-13,09:16:59,455.0,455.0,455.0,455.0,50,1000
NIFTY,28OCT21,18450,PE,2021-10-13,09:51:59,407.0,407.0,407.0,407.0,50,1000
NIFTY,28OCT21,18450,PE,2021-10-13,10:00:59,407.0,407.0,407.0,407.0,50,1050
NIFTY,28OCT21,18450,PE,2021-10-13,10:06:59,421.1,421.1,421.1,421.1,50,1050
NIFTY,28OCT21,18450,PE,2021-10-13,10:15:59,407.0,407.0,407.0,407.0,100,1050
NIFTY,28OCT21,18450,PE,2021-10-13,10:17:59,412.15,412.15,412.15,412.15,1500,1150
NIFTY,28OCT21,18450,PE,2021-10-13,10:19:59,408.25,408.25,408.25,408.25,100,1150
