Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,30SEP21,14700,PE,2021-06-28,10:10:59,98.0,98.0,98.0,98.0,50,0
NIFTY,30SEP21,14700,PE,2021-06-28,15:15:59,100.6,100.6,100.6,100.6,50,50
NIFTY,30SEP21,14700,PE,2021-06-28,15:18:59,100.6,100.6,100.6,100.6,100,150
NIFTY,30SEP21,14700,PE,2021-06-28,15:19:59,100.6,100.6,100.6,100.6,650,150
NIFTY,30SEP21,14700,PE,2021-06-29,15:11:59,98.7,98.7,85.0,85.0,100,850
NIFTY,30SEP21,14700,PE,2021-06-29,15:16:59,97.25,97.25,97.25,97.25,100,950
NIFTY,30SEP21,14700,PE,2021-06-30,09:42:59,98.0,98.0,98.0,98.0,50,1050
NIFTY,30SEP21,14700,PE,2021-06-30,13:43:59,96.0,96.0,96.0,96.0,50,1100
NIFTY,30SEP21,14700,PE,2021-06-30,14:01:59,97.8,97.8,97.8,97.8,50,1150
NIFTY,30SEP21,14700,PE,2021-06-30,14:02:59,98.0,98.0,98.0,98.0,100,1150
NIFTY,30SEP21,14700,PE,2021-06-30,14:28:59,98.0,98.0,98.0,98.0,50,1250
NIFTY,30SEP21,14700,PE,2021-06-30,14:35:59,98.0,98.0,98.0,98.0,100,1250
NIFTY,30SEP21,14700,PE,2021-06-30,14:41:59,98.0,98.0,98.0,98.0,100,1350
NIFTY,30SEP21,14700,PE,2021-06-30,15:09:59,100.0,100.0,100.0,100.0,100,1450
NIFTY,30SEP21,14700,PE,2021-06-30,15:15:59,100.55,100.55,100.55,100.55,50,1550
NIFTY,30SEP21,14700,PE,2021-06-30,15:22:59,100.0,100.0,100.0,100.0,100,1600
NIFTY,30SEP21,14700,PE,2021-07-01,10:04:59,104.0,104.0,104.0,104.0,50,1700
NIFTY,30SEP21,14700,PE,2021-07-01,10:08:59,104.0,104.0,104.0,104.0,50,1750
NIFTY,30SEP21,14700,PE,2021-07-01,10:13:59,104.0,104.0,104.0,104.0,100,1750
NIFTY,30SEP21,14700,PE,2021-07-01,10:57:59,101.5,101.5,101.5,101.5,50,1850
NIFTY,30SEP21,14700,PE,2021-07-01,11:31:59,102.0,102.0,102.0,102.0,100,1900
NIFTY,30SEP21,14700,PE,2021-07-01,12:20:59,101.0,101.0,101.0,101.0,50,2000
NIFTY,30SEP21,14700,PE,2021-07-01,13:43:59,101.0,101.0,101.0,101.0,50,2050
NIFTY,30SEP21,14700,PE,2021-07-01,13:46:59,101.0,101.0,101.0,101.0,50,2050
NIFTY,30SEP21,14700,PE,2021-07-01,13:50:59,104.0,104.0,104.0,104.0,50,2050
NIFTY,30SEP21,14700,PE,2021-07-01,14:07:59,104.0,104.0,104.0,104.0,50,0
NIFTY,30SEP21,14700,PE,2021-07-01,14:09:59,104.0,104.0,104.0,104.0,50,2100
NIFTY,30SEP21,14700,PE,2021-07-01,14:29:59,104.0,104.0,104.0,104.0,50,2100
NIFTY,30SEP21,14700,PE,2021-07-01,14:45:59,100.4,100.4,100.4,100.4,50,2100
NIFTY,30SEP21,14700,PE,2021-07-02,09:48:59,100.0,100.0,100.0,100.0,50,2150
NIFTY,30SEP21,14700,PE,2021-07-02,09:54:59,100.0,100.0,100.0,100.0,50,2200
NIFTY,30SEP21,14700,PE,2021-07-02,10:18:59,100.0,100.0,100.0,100.0,100,2250
NIFTY,30SEP21,14700,PE,2021-07-02,10:19:59,100.0,100.0,100.0,100.0,100,2250
NIFTY,30SEP21,14700,PE,2021-07-02,10:43:59,100.95,100.95,100.95,100.95,50,2450
NIFTY,30SEP21,14700,PE,2021-07-02,11:54:59,104.15,104.15,104.15,104.15,50,2500
NIFTY,30SEP21,14700,PE,2021-07-02,12:41:59,104.15,104.15,104.15,104.15,100,2500
NIFTY,30SEP21,14700,PE,2021-07-02,12:49:59,98.55,98.55,98.55,98.55,50,2550
NIFTY,30SEP21,14700,PE,2021-07-02,13:10:59,92.7,92.7,92.7,92.7,50,2500
NIFTY,30SEP21,14700,PE,2021-07-02,14:18:59,100.0,100.0,100.0,100.0,50,2550
NIFTY,30SEP21,14700,PE,2021-07-02,14:41:59,100.0,100.0,100.0,100.0,50,2550
NIFTY,30SEP21,14700,PE,2021-07-02,14:53:59,98.35,98.35,98.35,98.35,50,2600
NIFTY,30SEP21,14700,PE,2021-07-02,15:06:59,93.0,93.0,93.0,93.0,100,2600
NIFTY,30SEP21,14700,PE,2021-07-02,15:07:59,95.0,95.0,95.0,95.0,50,2700
NIFTY,30SEP21,14700,PE,2021-07-05,09:32:59,93.0,93.0,93.0,93.0,50,2750
NIFTY,30SEP21,14700,PE,2021-07-05,09:33:59,90.0,90.0,90.0,90.0,50,2750
NIFTY,30SEP21,14700,PE,2021-07-05,09:43:59,80.3,80.3,80.3,80.3,50,2750
NIFTY,30SEP21,14700,PE,2021-07-05,10:08:59,80.55,80.55,80.55,80.55,50,2800
NIFTY,30SEP21,14700,PE,2021-07-05,10:38:59,80.5,80.5,80.5,80.5,50,2850
NIFTY,30SEP21,14700,PE,2021-07-05,10:41:59,80.5,80.5,80.5,80.5,50,2850
NIFTY,30SEP21,14700,PE,2021-07-05,10:43:59,80.3,80.3,80.3,80.3,50,2800
NIFTY,30SEP21,14700,PE,2021-07-05,11:41:59,80.3,80.3,79.1,80.3,400,2750
NIFTY,30SEP21,14700,PE,2021-07-05,11:42:59,80.3,80.3,80.3,80.3,250,2350
NIFTY,30SEP21,14700,PE,2021-07-05,11:43:59,82.0,82.0,82.0,82.0,150,2350
NIFTY,30SEP21,14700,PE,2021-07-05,14:21:59,77.35,77.35,77.35,77.35,50,1950
NIFTY,30SEP21,14700,PE,2021-07-06,09:21:59,70.0,70.0,70.0,70.0,50,1950
NIFTY,30SEP21,14700,PE,2021-07-06,09:40:59,72.0,72.0,72.0,72.0,50,2000
NIFTY,30SEP21,14700,PE,2021-07-06,09:50:59,75.0,75.05,75.0,75.0,250,2050
NIFTY,30SEP21,14700,PE,2021-07-06,10:07:59,70.0,70.0,70.0,70.0,300,1900
NIFTY,30SEP21,14700,PE,2021-07-06,11:05:59,68.2,68.2,68.2,68.2,100,2200
NIFTY,30SEP21,14700,PE,2021-07-06,11:08:59,66.65,66.65,66.65,66.65,100,2300
NIFTY,30SEP21,14700,PE,2021-07-06,11:14:59,66.55,66.55,66.55,66.55,100,2400
NIFTY,30SEP21,14700,PE,2021-07-06,11:29:59,65.85,65.85,65.85,65.85,100,2500
NIFTY,30SEP21,14700,PE,2021-07-06,11:34:59,65.3,65.3,65.3,65.3,100,2600
NIFTY,30SEP21,14700,PE,2021-07-06,11:49:59,66.95,66.95,66.95,66.95,200,2700
NIFTY,30SEP21,14700,PE,2021-07-06,12:21:59,67.15,67.15,67.15,67.15,50,2900
NIFTY,30SEP21,14700,PE,2021-07-06,12:22:59,66.95,66.95,66.95,66.95,100,2900
NIFTY,30SEP21,14700,PE,2021-07-06,12:23:59,66.95,66.95,66.95,66.95,50,2900
NIFTY,30SEP21,14700,PE,2021-07-06,12:34:59,66.95,66.95,66.95,66.95,100,3050
NIFTY,30SEP21,14700,PE,2021-07-06,12:44:59,68.85,68.85,68.85,68.85,50,3150
NIFTY,30SEP21,14700,PE,2021-07-06,14:18:59,68.95,68.95,68.95,68.95,100,3150
NIFTY,30SEP21,14700,PE,2021-07-06,14:20:59,69.0,69.0,69.0,69.0,200,3150
NIFTY,30SEP21,14700,PE,2021-07-06,14:48:59,72.0,72.0,72.0,72.0,50,3350
NIFTY,30SEP21,14700,PE,2021-07-06,15:04:59,72.0,72.0,72.0,72.0,250,3400
NIFTY,30SEP21,14700,PE,2021-07-06,15:11:59,72.0,72.0,72.0,72.0,100,3650
NIFTY,30SEP21,14700,PE,2021-07-06,15:18:59,72.0,72.0,72.0,72.0,150,3750
NIFTY,30SEP21,14700,PE,2021-07-06,15:24:59,74.9,74.9,74.9,74.9,100,3900
NIFTY,30SEP21,14700,PE,2021-07-06,15:30:00,74.9,74.9,74.9,74.9,50,3950
NIFTY,30SEP21,14700,PE,2021-07-07,09:48:59,74.6,74.6,74.6,74.6,50,3950
NIFTY,30SEP21,14700,PE,2021-07-07,10:44:59,76.0,76.0,76.0,76.0,200,4000
NIFTY,30SEP21,14700,PE,2021-07-07,13:32:59,76.0,76.0,76.0,76.0,50,4200
NIFTY,30SEP21,14700,PE,2021-07-07,14:21:59,72.3,72.3,72.3,72.3,50,4200
NIFTY,30SEP21,14700,PE,2021-07-07,14:27:59,72.3,72.3,72.3,72.3,100,4200
NIFTY,30SEP21,14700,PE,2021-07-07,15:19:59,66.0,66.0,66.0,66.0,200,4100
NIFTY,30SEP21,14700,PE,2021-07-07,15:26:59,65.0,65.0,65.0,65.0,100,4300
NIFTY,30SEP21,14700,PE,2021-07-07,15:27:59,64.0,64.0,64.0,64.0,100,4300
NIFTY,30SEP21,14700,PE,2021-07-08,09:23:59,68.0,68.0,68.0,68.0,500,4700
