Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI
NIFTY,30SEP21,19000,CE,2021-09-16,09:21:59,1.2,1.2,1.15,1.15,100,0
NIFTY,30SEP21,19000,CE,2021-09-16,09:27:59,3.05,3.1,3.05,3.05,100,100
NIFTY,30SEP21,19000,CE,2021-09-16,09:28:59,4.0,4.0,4.0,4.0,100,100
NIFTY,30SEP21,19000,CE,2021-09-16,09:46:59,2.4,2.4,2.4,2.4,100,300
NIFTY,30SEP21,19000,CE,2021-09-16,09:47:59,2.4,2.4,2.4,2.4,200,300
NIFTY,30SEP21,19000,CE,2021-09-16,09:57:59,3.0,3.0,3.0,3.0,100,550
NIFTY,30SEP21,19000,CE,2021-09-16,10:08:59,3.0,3.0,3.0,3.0,100,550
NIFTY,30SEP21,19000,CE,2021-09-16,10:14:59,3.0,3.0,3.0,3.0,50,550
NIFTY,30SEP21,19000,CE,2021-09-16,10:19:59,3.2,3.2,3.2,3.2,50,550
NIFTY,30SEP21,19000,CE,2021-09-16,10:27:59,3.2,3.2,3.2,3.2,250,600
NIFTY,30SEP21,19000,CE,2021-09-16,11:10:59,2.4,2.4,2.4,2.4,50,850
NIFTY,30SEP21,19000,CE,2021-09-16,11:11:59,2.1,2.1,2.1,2.1,100,850
NIFTY,30SEP21,19000,CE,2021-09-16,11:30:59,3.0,3.0,3.0,3.0,50,900
NIFTY,30SEP21,19000,CE,2021-09-16,11:40:59,3.0,3.0,3.0,3.0,150,900
NIFTY,30SEP21,19000,CE,2021-09-16,11:44:59,2.8,2.8,2.8,2.8,50,950
NIFTY,30SEP21,19000,CE,2021-09-16,12:08:59,2.8,2.8,2.8,2.8,50,1000
NIFTY,30SEP21,19000,CE,2021-09-16,12:15:59,2.25,2.25,2.25,2.25,300,1050
NIFTY,30SEP21,19000,CE,2021-09-16,12:16:59,2.15,2.15,2.15,2.15,400,1050
NIFTY,30SEP21,19000,CE,2021-09-16,12:25:59,2.15,2.15,2.15,2.15,50,1750
NIFTY,30SEP21,19000,CE,2021-09-16,12:33:59,2.2,2.2,2.2,2.2,50,1800
NIFTY,30SEP21,19000,CE,2021-09-16,12:34:59,2.7,2.75,2.3,2.3,650,1800
NIFTY,30SEP21,19000,CE,2021-09-16,12:55:59,2.3,2.3,2.3,2.3,200,2150
NIFTY,30SEP21,19000,CE,2021-09-16,12:56:59,2.8,2.8,2.8,2.8,400,2150
NIFTY,30SEP21,19000,CE,2021-09-16,12:58:59,2.8,2.8,2.8,2.8,50,2300
NIFTY,30SEP21,19000,CE,2021-09-16,13:07:59,2.8,2.8,2.8,2.8,100,2300
NIFTY,30SEP21,19000,CE,2021-09-16,13:08:59,2.95,2.95,2.95,2.95,50,2300
NIFTY,30SEP21,19000,CE,2021-09-16,13:09:59,3.0,3.0,3.0,3.0,100,2300
NIFTY,30SEP21,19000,CE,2021-09-16,13:11:59,3.2,3.2,3.2,3.2,350,2450
NIFTY,30SEP21,19000,CE,2021-09-16,13:21:59,3.2,3.2,3.2,3.2,200,2900
NIFTY,30SEP21,19000,CE,2021-09-16,13:22:59,2.8,2.8,2.8,2.8,200,2900
NIFTY,30SEP21,19000,CE,2021-09-16,13:24:59,2.8,2.8,2.8,2.8,200,2900
NIFTY,30SEP21,19000,CE,2021-09-16,13:31:59,2.8,2.95,2.0,2.95,2600,3000
NIFTY,30SEP21,19000,CE,2021-09-16,13:35:59,2.9,2.9,2.9,2.9,100,4250
NIFTY,30SEP21,19000,CE,2021-09-16,13:37:59,2.9,2.9,2.9,2.9,1300,4350
NIFTY,30SEP21,19000,CE,2021-09-16,13:46:59,2.95,2.95,2.95,2.95,50,5650
NIFTY,30SEP21,19000,CE,2021-09-16,13:48:59,2.9,2.9,2.9,2.9,150,5650
NIFTY,30SEP21,19000,CE,2021-09-16,13:51:59,3.1,3.1,3.1,3.1,50,5800
NIFTY,30SEP21,19000,CE,2021-09-16,13:57:59,2.95,2.95,2.95,2.95,2750,5850
NIFTY,30SEP21,19000,CE,2021-09-16,14:01:59,2.9,2.9,2.9,2.9,500,8450
NIFTY,30SEP21,19000,CE,2021-09-16,14:03:59,3.0,3.0,3.0,3.0,50,8950
NIFTY,30SEP21,19000,CE,2021-09-16,14:08:59,3.15,3.15,3.15,3.15,100,9000
NIFTY,30SEP21,19000,CE,2021-09-16,14:11:59,3.2,3.2,3.2,3.2,100,9050
NIFTY,30SEP21,19000,CE,2021-09-16,14:14:59,3.2,3.2,3.2,3.2,50,9050
NIFTY,30SEP21,19000,CE,2021-09-16,14:15:59,3.0,3.0,3.0,3.0,1100,9050
NIFTY,30SEP21,19000,CE,2021-09-16,14:19:59,3.35,3.35,3.3,3.3,250,9100
NIFTY,30SEP21,19000,CE,2021-09-16,14:20:59,3.25,3.35,3.25,3.35,1100,9100
NIFTY,30SEP21,19000,CE,2021-09-16,14:21:59,3.35,3.35,3.35,3.35,1000,9100
NIFTY,30SEP21,19000,CE,2021-09-16,14:22:59,3.2,3.2,3.2,3.2,50,10050
NIFTY,30SEP21,19000,CE,2021-09-16,14:23:59,3.2,3.25,3.2,3.25,100,10050
NIFTY,30SEP21,19000,CE,2021-09-16,14:24:59,3.25,3.3,3.25,3.3,400,10050
NIFTY,30SEP21,19000,CE,2021-09-16,14:26:59,3.35,3.35,3.35,3.35,200,11550
NIFTY,30SEP21,19000,CE,2021-09-16,14:36:59,3.2,3.2,3.2,3.2,500,9800
NIFTY,30SEP21,19000,CE,2021-09-16,14:38:59,3.15,3.15,3.15,3.15,350,9800
NIFTY,30SEP21,19000,CE,2021-09-16,14:39:59,3.15,3.15,3.1,3.1,2600,9800
NIFTY,30SEP21,19000,CE,2021-09-16,14:40:59,3.15,3.15,3.15,3.15,50,12400
NIFTY,30SEP21,19000,CE,2021-09-16,14:41:59,3.15,3.15,3.15,3.15,100,12400
NIFTY,30SEP21,19000,CE,2021-09-16,14:42:59,3.0,3.3,3.0,3.3,1550,13850
NIFTY,30SEP21,19000,CE,2021-09-16,14:43:59,3.0,3.1,3.0,3.1,100,13850
NIFTY,30SEP21,19000,CE,2021-09-16,14:44:59,3.0,3.0,2.95,2.95,600,13850
NIFTY,30SEP21,19000,CE,2021-09-16,14:45:59,2.9,2.95,2.9,2.95,650,13850
NIFTY,30SEP21,19000,CE,2021-09-16,14:46:59,2.95,2.95,2.95,2.95,350,14250
NIFTY,30SEP21,19000,CE,2021-09-16,14:48:59,2.85,2.85,2.85,2.85,1050,14250
NIFTY,30SEP21,19000,CE,2021-09-16,14:50:59,2.95,2.95,2.95,2.95,400,15200
NIFTY,30SEP21,19000,CE,2021-09-16,14:51:59,2.9,2.9,2.9,2.9,100,15200
NIFTY,30SEP21,19000,CE,2021-09-16,14:52:59,2.9,2.9,2.9,2.9,200,15600
NIFTY,30SEP21,19000,CE,2021-09-16,14:54:59,2.95,2.95,2.95,2.95,100,15600
NIFTY,30SEP21,19000,CE,2021-09-16,14:56:59,2.85,2.85,2.85,2.85,300,15650
NIFTY,30SEP21,19000,CE,2021-09-16,14:57:59,2.85,2.9,2.85,2.9,1950,15650
NIFTY,30SEP21,19000,CE,2021-09-16,14:58:59,2.9,2.9,2.9,2.9,200,17050
NIFTY,30SEP21,19000,CE,2021-09-16,14:59:59,2.95,2.95,2.95,2.95,400,17050
NIFTY,30SEP21,19000,CE,2021-09-16,15:00:59,2.9,3.1,2.9,3.1,1050,17050
NIFTY,30SEP21,19000,CE,2021-09-16,15:01:59,3.0,3.0,3.0,3.0,1050,17600
NIFTY,30SEP21,19000,CE,2021-09-16,15:02:59,3.15,3.15,3.05,3.05,350,17600
NIFTY,30SEP21,19000,CE,2021-09-16,15:04:59,3.15,3.15,3.15,3.15,200,18350
NIFTY,30SEP21,19000,CE,2021-09-16,15:06:59,3.15,3.15,3.15,3.15,50,18350
NIFTY,30SEP21,19000,CE,2021-09-16,15:07:59,3.15,3.15,2.95,2.95,950,18350
NIFTY,30SEP21,19000,CE,2021-09-16,15:08:59,3.2,3.2,3.2,3.2,150,18350
NIFTY,30SEP21,19000,CE,2021-09-16,15:09:59,3.2,3.2,3.2,3.2,50,18350
NIFTY,30SEP21,19000,CE,2021-09-16,15:10:59,3.0,3.2,3.0,3.2,350,18500
NIFTY,30SEP21,19000,CE,2021-09-16,15:12:59,3.25,3.25,3.25,3.25,50,18500
NIFTY,30SEP21,19000,CE,2021-09-16,15:13:59,3.35,3.35,3.35,3.35,500,18700
NIFTY,30SEP21,19000,CE,2021-09-16,15:14:59,3.2,3.2,3.2,3.2,50,18700
NIFTY,30SEP21,19000,CE,2021-09-16,15:15:59,3.1,3.1,3.05,3.05,350,18700
NIFTY,30SEP21,19000,CE,2021-09-16,15:16:59,3.05,3.05,3.05,3.05,500,18750
NIFTY,30SEP21,19000,CE,2021-09-16,15:18:59,3.05,3.25,3.05,3.25,250,18750
NIFTY,30SEP21,19000,CE,2021-09-16,15:19:59,3.25,3.25,3.25,3.25,450,19450
NIFTY,30SEP21,19000,CE,2021-09-16,15:21:59,3.3,3.3,2.95,3.3,9550,19450
NIFTY,30SEP21,19000,CE,2021-09-16,15:22:59,3.0,3.0,2.85,2.85,5400,27500
NIFTY,30SEP21,19000,CE,2021-09-16,15:23:59,2.85,3.1,2.85,3.1,1100,27500
NIFTY,30SEP21,19000,CE,2021-09-16,15:24:59,2.9,3.15,2.9,3.15,500,27500
NIFTY,30SEP21,19000,CE,2021-09-16,15:25:59,2.95,2.95,2.95,2.95,50,31550
NIFTY,30SEP21,19000,CE,2021-09-16,15:26:59,2.95,2.95,2.95,2.95,50,31550
NIFTY,30SEP21,19000,CE,2021-09-16,15:27:59,3.0,3.15,3.0,3.15,850,31550
NIFTY,30SEP21,19000,CE,2021-09-16,15:30:00,3.15,3.4,3.15,3.4,150,31850
NIFTY,30SEP21,19000,CE,2021-09-17,09:15:59,3.5,4.45,3.2,3.2,1850,31900
NIFTY,30SEP21,19000,CE,2021-09-17,09:17:59,3.95,3.95,3.95,3.95,100,32600
NIFTY,30SEP21,19000,CE,2021-09-17,09:18:59,3.8,4.3,3.7,3.7,2250,32600
NIFTY,30SEP21,19000,CE,2021-09-17,09:19:59,3.85,4.0,3.85,4.0,1150,32600
NIFTY,30SEP21,19000,CE,2021-09-17,09:20:59,4.0,4.0,3.75,3.75,700,35400
NIFTY,30SEP21,19000,CE,2021-09-17,09:21:59,3.65,3.9,3.65,3.9,500,35400
NIFTY,30SEP21,19000,CE,2021-09-17,09:22:59,4.0,4.0,3.9,3.9,750,35400
NIFTY,30SEP21,19000,CE,2021-09-17,09:23:59,4.0,4.0,3.9,4.0,1000,37000
NIFTY,30SEP21,19000,CE,2021-09-17,09:24:59,3.9,3.9,3.9,3.9,650,37000
NIFTY,30SEP21,19000,CE,2021-09-17,09:25:59,3.9,3.9,3.7,3.8,2350,37000
NIFTY,30SEP21,19000,CE,2021-09-17,09:26:59,3.75,3.75,3.75,3.75,900,39600
NIFTY,30SEP21,19000,CE,2021-09-17,09:27:59,3.75,3.9,3.75,3.9,950,39600
NIFTY,30SEP21,19000,CE,2021-09-17,09:28:59,3.9,3.9,3.9,3.9,200,39600
NIFTY,30SEP21,19000,CE,2021-09-17,09:29:59,3.9,3.9,3.8,3.8,450,40600
NIFTY,30SEP21,19000,CE,2021-09-17,09:30:59,3.75,4.0,3.75,4.0,12000,40600
NIFTY,30SEP21,19000,CE,2021-09-17,09:31:59,4.05,4.05,3.95,4.0,1850,40600
NIFTY,30SEP21,19000,CE,2021-09-17,09:32:59,4.05,4.05,4.0,4.0,1350,52850
NIFTY,30SEP21,19000,CE,2021-09-17,09:33:59,3.95,4.0,3.95,4.0,150,52850
NIFTY,30SEP21,19000,CE,2021-09-17,09:34:59,4.0,4.0,3.8,3.85,6200,52850
NIFTY,30SEP21,19000,CE,2021-09-17,09:35:59,3.9,4.05,3.85,4.05,3400,58250
NIFTY,30SEP21,19000,CE,2021-09-17,09:36:59,4.0,4.0,4.0,4.0,50,58250
NIFTY,30SEP21,19000,CE,2021-09-17,09:37:59,4.05,4.05,3.9,4.05,1000,58250
NIFTY,30SEP21,19000,CE,2021-09-17,09:38:59,4.0,4.0,3.8,3.8,1450,58700
NIFTY,30SEP21,19000,CE,2021-09-17,09:39:59,3.8,3.8,3.75,3.75,1700,58700
NIFTY,30SEP21,19000,CE,2021-09-17,09:40:59,3.7,3.7,3.5,3.55,500,58700
NIFTY,30SEP21,19000,CE,2021-09-17,09:41:59,3.45,3.65,3.45,3.65,200,60350
NIFTY,30SEP21,19000,CE,2021-09-17,09:42:59,3.75,3.85,3.7,3.85,5150,60350
NIFTY,30SEP21,19000,CE,2021-09-17,09:43:59,3.85,3.85,3.75,3.75,3400,60350
NIFTY,30SEP21,19000,CE,2021-09-17,09:44:59,3.7,3.7,3.7,3.7,2850,66500
NIFTY,30SEP21,19000,CE,2021-09-17,09:45:59,3.7,3.7,3.55,3.55,2550,66500
NIFTY,30SEP21,19000,CE,2021-09-17,09:46:59,3.4,3.4,3.35,3.35,250,66500
NIFTY,30SEP21,19000,CE,2021-09-17,09:47:59,3.25,3.3,3.25,3.25,4400,68050
NIFTY,30SEP21,19000,CE,2021-09-17,09:48:59,3.25,3.35,3.25,3.35,1750,68050
NIFTY,30SEP21,19000,CE,2021-09-17,09:49:59,3.3,3.35,3.3,3.35,2000,68050
NIFTY,30SEP21,19000,CE,2021-09-17,09:50:59,3.3,3.35,3.25,3.35,350,65100
NIFTY,30SEP21,19000,CE,2021-09-17,09:51:59,3.25,3.3,3.2,3.25,1450,65100
NIFTY,30SEP21,19000,CE,2021-09-17,09:52:59,3.3,3.3,3.3,3.3,400,65100
NIFTY,30SEP21,19000,CE,2021-09-17,09:53:59,3.25,3.3,3.25,3.3,1700,64150
