Ticker,Time of Entry,Qty,Entry Price,Time of Exit,Exit Price,PnL,Cummulative PnL
14350CE2021-04-23 09:15:59,2021-04-23 09:15:59,1,186.35,2021-04-23 15:19:59,163.5,22.849999999999994,22.849999999999994
14350PE2021-04-23 09:15:59,2021-04-23 09:15:59,1,184.35,2021-04-23 15:19:59,169.15,15.199999999999989,38.04999999999998
14450CE2021-04-26 09:15:59,2021-04-26 09:15:59,1,141.85,2021-04-26 15:19:59,153.6,-11.75,26.299999999999983
14450PE2021-04-26 09:15:59,2021-04-26 09:15:59,1,146.05,2021-04-26 15:19:59,118.25,27.80000000000001,54.099999999999994
14650PE2021-04-26 10:00:59,2021-04-26 10:00:59,4,196.5,2021-04-26 15:19:59,221.0,-98.0,-43.900000000000006
14550CE2021-04-27 09:15:59,2021-04-27 09:15:59,1,107.45,2021-04-27 15:19:59,161.2,-53.749999999999986,-97.64999999999999
14550PE2021-04-27 09:15:59,2021-04-27 09:15:59,1,131.5,2021-04-27 15:19:59,63.35,68.15,-29.499999999999986
14700PE2021-04-27 12:00:59,2021-04-27 12:00:59,4,149.65,2021-04-27 15:19:59,120.6,116.20000000000005,86.70000000000006
14700CE2021-04-28 09:15:59,2021-04-28 09:15:59,1,91.4,2021-04-28 15:19:59,177.1,-85.69999999999999,1.000000000000071
14700PE2021-04-28 09:15:59,2021-04-28 09:15:59,1,77.95,2021-04-28 15:19:59,25.7,52.25,53.25000000000007
14850PE2021-04-28 12:00:59,2021-04-28 12:00:59,4,111.7,2021-04-28 15:19:59,71.0,162.8,216.05000000000007
14950PE2021-04-28 12:45:59,2021-04-28 12:45:59,4,145.6,2021-04-28 15:19:59,128.25,69.39999999999998,285.45000000000005
15000CE2021-04-29 09:15:59,2021-04-29 09:15:59,1,52.5,2021-04-29 15:19:59,0.15,52.35,337.80000000000007
15000PE2021-04-29 09:15:59,2021-04-29 09:15:59,1,57.45,2021-04-29 15:19:59,104.55,-47.099999999999994,290.70000000000005
14850CE2021-04-29 10:00:59,2021-04-29 10:00:59,4,95.1,2021-04-29 15:19:59,45.45,198.59999999999997,489.3
14750CE2021-04-29 10:45:59,2021-04-29 10:45:59,4,135.7,2021-04-29 15:19:59,145.65,-39.80000000000007,449.49999999999994
14850PE2021-04-29 13:00:59,2021-04-29 13:00:59,4,11.25,2021-04-29 15:19:59,0.1,44.6,494.09999999999997
14800CE2021-04-29 14:00:59,2021-04-29 14:00:59,4,102.2,2021-04-29 15:19:59,95.35,27.400000000000034,521.5
