Ticker,Time of Entry,Qty,Entry Price,Time of Exit,Exit Price,PnL,Cummulative PnL
16450CE2021-08-20 09:15:59,2021-08-20 09:15:59,1,90.15,2021-08-20 15:19:59,89.55,0.6000000000000085,0.6000000000000085
16450PE2021-08-20 09:15:59,2021-08-20 09:15:59,1,126.85,2021-08-20 15:19:59,108.35,18.5,19.10000000000001
16500PE2021-08-20 09:45:59,2021-08-20 09:45:59,4,127.35,2021-08-20 15:19:59,135.5,-32.60000000000002,-13.500000000000014
16550CE2021-08-23 09:15:59,2021-08-23 09:15:59,1,81.8,2021-08-23 15:19:59,50.7,31.099999999999994,17.59999999999998
16550PE2021-08-23 09:15:59,2021-08-23 09:15:59,1,81.0,2021-08-23 15:19:59,109.55,-28.549999999999997,-10.950000000000017
16450CE2021-08-23 10:00:59,2021-08-23 10:00:59,4,115.8,2021-08-23 15:19:59,102.8,52.0,41.04999999999998
16300CE2021-08-23 10:45:59,2021-08-23 10:45:59,4,177.7,2021-08-23 15:19:59,216.0,-153.20000000000005,-112.15000000000006
16450PE2021-08-23 12:15:59,2021-08-23 12:15:59,4,60.95,2021-08-23 15:19:59,61.9,-3.799999999999983,-115.95000000000005
16550CE2021-08-24 09:15:59,2021-08-24 09:15:59,1,64.45,2021-08-24 15:19:59,105.85,-41.39999999999999,-157.35000000000002
16550PE2021-08-24 09:15:59,2021-08-24 09:15:59,1,74.7,2021-08-24 15:19:59,31.35,43.35,-114.00000000000003
16650PE2021-08-24 13:45:59,2021-08-24 13:45:59,4,93.35,2021-08-24 15:19:59,68.6,99.0,-15.000000000000028
16700PE2021-08-24 14:30:59,2021-08-24 14:30:59,4,97.15,2021-08-24 15:19:59,99.05,-7.599999999999966,-22.599999999999994
16650CE2021-08-25 09:15:59,2021-08-25 09:15:59,1,52.0,2021-08-25 15:19:59,32.9,19.1,-3.499999999999993
16650PE2021-08-25 09:15:59,2021-08-25 09:15:59,1,51.9,2021-08-25 15:19:59,49.25,2.6499999999999986,-0.8499999999999943
16750PE2021-08-25 09:30:59,2021-08-25 09:30:59,4,86.8,2021-08-25 15:19:59,122.05,-141.0,-141.85
16650CE2021-08-25 09:45:59,2021-08-25 09:45:59,4,53.0,2021-08-25 15:19:59,32.9,80.4,-61.44999999999999
16700PE2021-08-25 10:45:59,2021-08-25 10:45:59,4,59.9,2021-08-25 15:19:59,80.85,-83.79999999999998,-145.24999999999997
16600CE2021-08-25 11:45:59,2021-08-25 11:45:59,4,69.35,2021-08-25 15:19:59,61.45,31.599999999999966,-113.65
16650PE2021-08-25 12:15:59,2021-08-25 12:15:59,4,46.35,2021-08-25 15:19:59,49.25,-11.599999999999994,-125.25
16650CE2021-08-26 09:15:59,2021-08-26 09:15:59,1,25.55,2021-08-26 15:19:59,0.25,25.3,-99.95
16650PE2021-08-26 09:15:59,2021-08-26 09:15:59,1,50.8,2021-08-26 15:19:59,10.25,40.55,-59.400000000000006
16650PE2021-08-26 10:00:59,2021-08-26 10:00:59,4,29.25,2021-08-26 15:19:59,10.25,76.0,16.599999999999994
16600CE2021-08-26 14:45:59,2021-08-26 14:45:59,4,20.8,2021-08-26 15:19:59,40.0,-76.8,-60.2
