Ticker,Time of Entry,Qty,Entry Price,Time of Exit,Exit Price,PnL,Cummulative PnL
17100CE2021-12-24 09:15:59,2021-12-24 09:15:59,1,140.8,2021-12-24 15:19:59,87.15,53.650000000000006,53.650000000000006
17100PE2021-12-24 09:15:59,2021-12-24 09:15:59,1,136.2,2021-12-24 15:19:59,175.4,-39.20000000000002,14.449999999999989
16900CE2021-12-24 09:45:59,2021-12-24 09:45:59,4,205.2,2021-12-24 15:19:59,200.9,17.199999999999932,31.64999999999992
16850CE2021-12-27 09:15:59,2021-12-27 09:15:59,1,152.45,2021-12-27 15:19:59,294.35,-141.90000000000003,-110.25000000000011
16850PE2021-12-27 09:15:59,2021-12-27 09:15:59,1,119.3,2021-12-27 15:19:59,40.25,79.05,-31.200000000000117
17150PE2021-12-27 10:30:59,2021-12-27 10:30:59,4,210.2,2021-12-27 15:19:59,135.15,300.19999999999993,268.99999999999983
17350PE2021-12-27 13:45:59,2021-12-27 13:45:59,4,277.85,2021-12-27 15:19:59,270.0,31.40000000000009,300.3999999999999
17200CE2021-12-28 09:15:59,2021-12-28 09:15:59,1,94.35,2021-12-28 15:19:59,112.0,-17.650000000000006,282.7499999999999
17200PE2021-12-28 09:15:59,2021-12-28 09:15:59,1,111.75,2021-12-28 15:19:59,59.65,52.1,334.8499999999999
17200CE2021-12-29 09:15:59,2021-12-29 09:15:59,1,81.9,2021-12-29 15:19:59,66.1,15.800000000000011,350.6499999999999
17200PE2021-12-29 09:15:59,2021-12-29 09:15:59,1,75.05,2021-12-29 15:19:59,49.85,25.199999999999996,375.8499999999999
17350PE2021-12-29 09:45:59,2021-12-29 09:45:59,4,119.4,2021-12-29 15:19:59,144.7,-101.19999999999993,274.65
17200CE2021-12-29 12:15:59,2021-12-29 12:15:59,4,73.75,2021-12-29 15:19:59,66.1,30.600000000000023,305.25
17150CE2021-12-30 09:15:59,2021-12-30 09:15:59,1,58.75,2021-12-30 15:19:59,54.8,3.950000000000003,309.2
17150PE2021-12-30 09:15:59,2021-12-30 09:15:59,1,42.15,2021-12-30 15:19:59,0.15,42.0,351.2
17300PE2021-12-30 09:30:59,2021-12-30 09:30:59,4,96.25,2021-12-30 15:19:59,95.15,4.399999999999977,355.59999999999997
17350PE2021-12-30 10:30:59,2021-12-30 10:30:59,4,102.2,2021-12-30 15:19:59,145.55,-173.40000000000003,182.19999999999993
17300CE2021-12-30 11:15:59,2021-12-30 11:15:59,4,6.1,2021-12-30 15:19:59,0.1,24.0,206.19999999999993
