Ticker,Time of Entry,Qty,Entry Price,Time of Exit,Exit Price,PnL,Cummulative PnL
15050CE2021-02-19 09:15:59,2021-02-19 09:15:59,1,142.45,2021-02-19 15:19:59,108.8,33.64999999999999,33.64999999999999
15050PE2021-02-19 09:15:59,2021-02-19 09:15:59,1,148.0,2021-02-19 15:19:59,148.5,-0.5,33.14999999999999
14800CE2021-02-19 14:15:59,2021-02-19 14:15:59,4,224.25,2021-02-19 15:19:59,269.05,-179.20000000000005,-146.05000000000007
15000CE2021-02-22 09:15:59,2021-02-22 09:15:59,1,111.95,2021-02-22 15:19:59,20.5,91.45,-54.600000000000065
15000PE2021-02-22 09:15:59,2021-02-22 09:15:59,1,148.0,2021-02-22 15:19:59,359.0,-211.0,-265.6000000000001
14750CE2021-02-22 10:15:59,2021-02-22 10:15:59,4,204.5,2021-02-22 15:19:59,80.9,494.4,228.7999999999999
14550CE2021-02-22 13:00:59,2021-02-22 13:00:59,4,279.0,2021-02-22 15:19:59,192.7,345.20000000000005,574.0
14750CE2021-02-23 09:15:59,2021-02-23 09:15:59,1,104.8,2021-02-23 15:19:59,78.0,26.799999999999997,600.8
14750PE2021-02-23 09:15:59,2021-02-23 09:15:59,1,118.35,2021-02-23 15:19:59,108.0,10.349999999999994,611.15
14900PE2021-02-23 10:30:59,2021-02-23 10:30:59,4,149.4,2021-02-23 15:19:59,207.0,-230.39999999999998,380.75
14700CE2021-02-23 11:45:59,2021-02-23 11:45:59,4,121.9,2021-02-23 15:19:59,104.15,71.0,451.75
14850PE2021-02-23 13:15:59,2021-02-23 13:15:59,4,123.8,2021-02-23 15:19:59,168.45,-178.59999999999997,273.15000000000003
14700CE2021-02-23 14:00:59,2021-02-23 14:00:59,4,116.15,2021-02-23 15:19:59,104.15,48.0,321.15000000000003
14750CE2021-02-24 09:15:59,2021-02-24 09:15:59,1,79.35,2021-02-25 15:19:59,119.2,-39.85000000000001,281.3
14750PE2021-02-24 09:15:59,2021-02-24 09:15:59,1,102.3,2021-02-25 15:19:59,57.0,45.3,326.6
14900PE2021-02-24 15:45:59,2021-02-24 15:45:59,4,128.05,2021-02-25 15:19:59,128.05,0.0,326.6
15100CE2021-02-25 09:15:59,2021-02-25 09:15:59,1,5.8,2021-02-25 15:19:59,5.8,0.0,326.6
15100PE2021-02-25 09:15:59,2021-02-25 09:15:59,1,295.0,2021-02-25 15:19:59,295.0,0.0,326.6
14900PE2021-02-25 09:30:59,2021-02-25 09:30:59,4,128.05,2021-02-25 15:19:59,128.05,0.0,326.6
