Ticker,Time of Entry,Qty,Entry Price,Time of Exit,Exit Price,PnL,Cummulative PnL
14550CE2021-01-22 09:15:59,2021-01-22 09:15:59,1,145.3,2021-01-22 15:19:59,67.6,77.70000000000002,77.70000000000002
14550PE2021-01-22 09:15:59,2021-01-22 09:15:59,1,151.3,2021-01-22 15:19:59,227.65,-76.35,1.3500000000000227
14300CE2021-01-22 13:00:59,2021-01-22 13:00:59,4,227.85,2021-01-22 15:19:59,189.5,153.39999999999998,154.75
14450CE2021-01-25 09:15:59,2021-01-25 09:15:59,1,131.25,2021-01-25 15:19:59,25.95,105.3,260.05
14450PE2021-01-25 09:15:59,2021-01-25 09:15:59,1,117.6,2021-01-25 15:19:59,229.95,-112.35,147.70000000000002
14200CE2021-01-25 09:45:59,2021-01-25 09:45:59,4,197.95,2021-01-25 15:19:59,127.2,282.99999999999994,430.69999999999993
14400PE2021-01-25 10:30:59,2021-01-25 10:30:59,4,96.6,2021-01-25 15:19:59,190.4,-375.20000000000005,55.499999999999886
14300CE2021-01-25 10:45:59,2021-01-25 10:45:59,4,159.85,2021-01-25 15:19:59,74.5,341.4,396.89999999999986
14100CE2021-01-25 15:15:59,2021-01-25 15:15:59,4,202.2,2021-01-25 15:19:59,195.6,26.399999999999977,423.29999999999984
14150CE2021-01-27 09:15:59,2021-01-27 09:15:59,1,105.9,2021-01-27 15:19:59,14.25,91.65,514.9499999999998
14150PE2021-01-27 09:15:59,2021-01-27 09:15:59,1,84.6,2021-01-27 15:19:59,175.15,-90.55000000000001,424.3999999999998
14000CE2021-01-27 13:15:59,2021-01-27 13:15:59,4,122.65,2021-01-27 15:19:59,58.8,255.40000000000003,679.7999999999998
13800CE2021-01-27 14:15:59,2021-01-27 14:15:59,4,204.85,2021-01-27 15:19:59,203.9,3.7999999999999545,683.5999999999998
13850CE2021-01-28 09:15:59,2021-01-28 09:15:59,1,63.2,2021-01-28 15:19:59,0.3,62.900000000000006,746.4999999999998
13850PE2021-01-28 09:15:59,2021-01-28 09:15:59,1,48.5,2021-01-28 15:19:59,32.25,16.25,762.7499999999998
13800CE2021-01-28 12:15:59,2021-01-28 12:15:59,4,52.45,2021-01-28 15:19:59,18.45,136.0,898.7499999999998
13650CE2021-01-28 12:45:59,2021-01-28 12:45:59,4,111.0,2021-01-28 15:19:59,168.05,-228.20000000000005,670.5499999999997
13800PE2021-01-28 13:30:59,2021-01-28 13:30:59,4,24.7,2021-01-28 15:19:59,0.25,97.8,768.3499999999997
13700CE2021-01-28 14:00:59,2021-01-28 14:00:59,4,89.8,2021-01-28 15:19:59,118.0,-112.80000000000001,655.5499999999997
