Ticker,Time of Entry,Qty,Entry Price,Time of Exit,Exit Price,PnL,Cummulative PnL
15850CE2021-07-23 09:15:59,2021-07-23 09:15:59,1,77.35,2021-07-23 15:19:59,78.85,-1.5,-1.5
15850PE2021-07-23 09:15:59,2021-07-23 09:15:59,1,89.75,2021-07-23 15:19:59,74.1,15.650000000000006,14.150000000000006
15700CE2021-07-23 09:45:59,2021-07-23 09:45:59,4,131.85,2021-07-23 15:19:59,184.45,-210.39999999999998,-196.24999999999997
15800PE2021-07-23 10:00:59,2021-07-23 10:00:59,4,66.8,2021-07-23 15:19:59,55.25,46.19999999999999,-150.04999999999998
15950PE2021-07-23 14:00:59,2021-07-23 14:00:59,4,108.7,2021-07-23 15:19:59,130.0,-85.19999999999999,-235.24999999999997
15800CE2021-07-26 09:15:59,2021-07-26 09:15:59,1,75.6,2021-07-26 15:19:59,81.8,-6.200000000000003,-241.45
15800PE2021-07-26 09:15:59,2021-07-26 09:15:59,1,76.4,2021-07-26 15:19:59,58.85,17.550000000000004,-223.89999999999998
15900PE2021-07-26 09:30:59,2021-07-26 09:30:59,4,106.15,2021-07-26 15:19:59,111.75,-22.399999999999977,-246.29999999999995
15900CE2021-07-27 09:15:59,2021-07-27 09:15:59,1,46.45,2021-07-27 15:19:59,12.4,34.050000000000004,-212.24999999999994
15900PE2021-07-27 09:15:59,2021-07-27 09:15:59,1,80.8,2021-07-27 15:19:59,178.65,-97.85000000000001,-310.09999999999997
15700CE2021-07-27 12:30:59,2021-07-27 12:30:59,4,125.6,2021-07-27 15:19:59,79.5,184.39999999999998,-125.69999999999999
15600CE2021-07-27 13:00:59,2021-07-27 13:00:59,4,167.2,2021-07-27 15:19:59,151.05,64.59999999999991,-61.10000000000008
15700CE2021-07-28 09:15:59,2021-07-28 09:15:59,1,70.35,2021-07-28 15:19:59,50.95,19.39999999999999,-41.70000000000009
15700PE2021-07-28 09:15:59,2021-07-28 09:15:59,1,54.0,2021-07-28 15:19:59,42.4,11.600000000000001,-30.100000000000087
15650CE2021-07-28 09:30:59,2021-07-28 09:30:59,4,73.3,2021-07-28 15:19:59,82.65,-37.400000000000034,-67.50000000000011
15500CE2021-07-28 10:30:59,2021-07-28 10:30:59,4,132.15,2021-07-28 15:19:59,214.35,-328.79999999999995,-396.30000000000007
15350CE2021-07-28 10:45:59,2021-07-28 10:45:59,4,206.35,2021-07-28 15:19:59,362.45,-624.4,-1020.7
15550PE2021-07-28 12:15:59,2021-07-28 12:15:59,4,27.1,2021-07-28 15:19:59,9.0,72.4,-948.3000000000001
15700PE2021-07-28 13:45:59,2021-07-28 13:45:59,4,55.4,2021-07-28 15:19:59,42.4,52.0,-896.3000000000001
15600CE2021-07-28 14:30:59,2021-07-28 14:30:59,4,82.95,2021-07-28 15:19:59,122.35,-157.59999999999997,-1053.9
15700PE2021-07-28 15:00:59,2021-07-28 15:00:59,4,45.4,2021-07-28 15:19:59,42.4,12.0,-1041.9
15800CE2021-07-29 09:15:59,2021-07-29 09:15:59,1,17.95,2021-07-29 15:19:59,0.1,17.849999999999998,-1024.0500000000002
15800PE2021-07-29 09:15:59,2021-07-29 09:15:59,1,64.85,2021-07-29 15:19:59,24.1,40.74999999999999,-983.3000000000002
