Ticker,Time of Entry,Qty,Entry Price,Time of Exit,Exit Price,PnL,Cummulative PnL
15750CE2021-06-18 09:15:59,2021-06-18 09:15:59,1,101.2,2021-06-18 15:19:59,80.7,20.5,20.5
15750PE2021-06-18 09:15:59,2021-06-18 09:15:59,1,120.25,2021-06-18 15:19:59,120.3,-0.04999999999999716,20.450000000000003
15400CE2021-06-18 10:00:59,2021-06-18 10:00:59,4,245.0,2021-06-18 15:19:59,331.4,-345.5999999999999,-325.1499999999999
15550CE2021-06-21 09:15:59,2021-06-21 09:15:59,1,108.05,2021-06-21 15:19:59,230.0,-121.95,-447.0999999999999
15550PE2021-06-21 09:15:59,2021-06-21 09:15:59,1,119.5,2021-06-21 15:19:59,28.85,90.65,-356.44999999999993
15700PE2021-06-21 10:45:59,2021-06-21 10:45:59,4,141.8,2021-06-21 15:19:59,63.15,314.6,-41.84999999999991
15900PE2021-06-21 14:15:59,2021-06-21 14:15:59,4,210.35,2021-06-21 15:19:59,173.5,147.39999999999998,105.55000000000007
15800CE2021-06-22 09:15:59,2021-06-22 09:15:59,1,79.05,2021-06-22 15:19:59,48.15,30.9,136.45000000000007
15800PE2021-06-22 09:15:59,2021-06-22 09:15:59,1,70.6,2021-06-22 15:19:59,94.8,-24.200000000000003,112.25000000000007
15900PE2021-06-22 09:45:59,2021-06-22 09:45:59,4,92.6,2021-06-22 15:19:59,164.9,-289.20000000000005,-176.95
15800CE2021-06-22 15:00:59,2021-06-22 15:00:59,4,68.45,2021-06-22 15:19:59,48.15,81.20000000000002,-95.74999999999997
15850CE2021-06-23 09:15:59,2021-06-23 09:15:59,1,44.7,2021-06-23 15:19:59,9.85,34.85,-60.89999999999997
15850PE2021-06-23 09:15:59,2021-06-23 09:15:59,1,71.35,2021-06-23 15:19:59,161.6,-90.25,-151.14999999999998
15750CE2021-06-23 09:30:59,2021-06-23 09:30:59,4,88.35,2021-06-23 15:19:59,30.95,229.59999999999997,78.44999999999999
15650CE2021-06-23 10:15:59,2021-06-23 10:15:59,4,131.4,2021-06-23 15:19:59,83.0,193.60000000000002,272.05
15500CE2021-06-23 15:00:59,2021-06-23 15:00:59,4,192.0,2021-06-23 15:19:59,205.85,-55.39999999999998,216.65000000000003
15750CE2021-06-24 09:15:59,2021-06-24 09:15:59,1,30.7,2021-06-24 15:19:59,40.4,-9.7,206.95000000000005
15750PE2021-06-24 09:15:59,2021-06-24 09:15:59,1,69.1,2021-06-24 15:19:59,0.2,68.89999999999999,275.85
15750PE2021-06-24 09:45:59,2021-06-24 09:45:59,4,40.5,2021-06-24 15:19:59,0.2,161.2,437.05
15850PE2021-06-24 13:15:59,2021-06-24 13:15:59,4,68.5,2021-06-24 15:19:59,59.7,35.19999999999999,472.25
