Ticker,Time of Entry,Qty,Entry Price,Time of Exit,Exit Price,PnL,Cummulative PnL
14500CE2021-03-19 09:15:59,2021-03-19 09:15:59,1,190.95,2021-03-19 15:19:59,324.05,-133.10000000000002,-133.10000000000002
14500PE2021-03-19 09:15:59,2021-03-19 09:15:59,1,199.1,2021-03-19 15:19:59,83.2,115.89999999999999,-17.20000000000003
14300CE2021-03-19 09:30:59,2021-03-19 09:30:59,4,259.9,2021-03-19 15:19:59,492.25,-929.4000000000001,-946.6000000000001
14550PE2021-03-19 10:15:59,2021-03-19 10:15:59,4,212.15,2021-03-19 15:19:59,96.1,464.20000000000005,-482.4000000000001
14750PE2021-03-19 11:00:59,2021-03-19 11:00:59,4,261.55,2021-03-19 15:19:59,167.4,376.6,-105.80000000000007
14500CE2021-03-19 12:15:59,2021-03-19 12:15:59,4,202.65,2021-03-19 15:19:59,324.05,-485.6,-591.4000000000001
14750PE2021-03-19 13:45:59,2021-03-19 13:45:59,4,253.5,2021-03-19 15:19:59,167.4,344.4,-247.0000000000001
15100PE2021-03-19 14:45:59,2021-03-19 14:45:59,4,373.95,2021-03-19 15:19:59,388.05,-56.40000000000009,-303.4000000000002
14650CE2021-03-22 09:15:59,2021-03-22 09:15:59,1,186.6,2021-03-22 15:19:59,187.25,-0.6500000000000057,-304.0500000000002
14650PE2021-03-22 09:15:59,2021-03-22 09:15:59,1,144.85,2021-03-22 15:19:59,93.85,51.0,-253.05000000000018
14800CE2021-03-23 09:15:59,2021-03-23 09:15:59,1,110.95,2021-03-23 15:19:59,106.75,4.200000000000003,-248.8500000000002
14800PE2021-03-23 09:15:59,2021-03-23 09:15:59,1,143.55,2021-03-23 15:19:59,90.75,52.80000000000001,-196.05000000000018
14850PE2021-03-23 09:30:59,2021-03-23 09:30:59,4,141.0,2021-03-23 15:19:59,114.5,106.0,-90.05000000000018
14750CE2021-03-24 09:15:59,2021-03-24 09:15:59,1,103.45,2021-03-24 15:19:59,15.2,88.25,-1.800000000000182
14750PE2021-03-24 09:15:59,2021-03-24 09:15:59,1,93.6,2021-03-24 15:19:59,214.35,-120.75,-122.55000000000018
14600CE2021-03-24 10:15:59,2021-03-24 10:15:59,4,135.45,2021-03-24 15:19:59,55.35,320.4,197.8499999999998
14450CE2021-03-24 11:30:59,2021-03-24 11:30:59,4,190.15,2021-03-24 15:19:59,142.35,191.20000000000005,389.04999999999984
14500CE2021-03-25 09:15:59,2021-03-25 09:15:59,1,73.4,2021-03-25 15:19:59,0.2,73.2,462.24999999999983
14500PE2021-03-25 09:15:59,2021-03-25 09:15:59,1,68.15,2021-03-25 15:19:59,182.85,-114.69999999999999,347.54999999999984
14350CE2021-03-25 09:45:59,2021-03-25 09:45:59,4,108.45,2021-03-25 15:19:59,0.3,432.6,780.1499999999999
14250CE2021-03-25 11:15:59,2021-03-25 11:15:59,4,135.1,2021-03-25 15:19:59,67.65,269.79999999999995,1049.9499999999998
14150CE2021-03-25 12:15:59,2021-03-25 12:15:59,4,176.65,2021-03-25 15:19:59,167.4,37.0,1086.9499999999998
14350PE2021-03-25 13:45:59,2021-03-25 13:45:59,4,16.15,2021-03-25 15:19:59,32.7,-66.20000000000002,1020.7499999999998
14250CE2021-03-25 14:30:59,2021-03-25 14:30:59,4,120.05,2021-03-25 15:19:59,67.65,209.59999999999997,1230.3499999999997
14400PE2021-03-25 14:45:59,2021-03-25 14:45:59,4,7.95,2021-03-25 15:19:59,82.55,-298.4,931.9499999999997
14250CE2021-03-25 15:00:59,2021-03-25 15:00:59,4,134.45,2021-03-25 15:19:59,67.65,267.19999999999993,1199.1499999999996
14150CE2021-03-25 15:15:59,2021-03-25 15:15:59,4,168.2,2021-03-25 15:19:59,167.4,3.199999999999932,1202.3499999999995
