Ticker,Time of Entry,Qty,Entry Price,Time of Exit,Exit Price,PnL,Cummulative PnL
15000CE2021-05-21 09:15:59,2021-05-21 09:15:59,1,140.45,2021-05-21 15:19:59,257.0,-116.55000000000001,-116.55000000000001
15000PE2021-05-21 09:15:59,2021-05-21 09:15:59,1,114.55,2021-05-21 15:19:59,47.75,66.8,-49.750000000000014
15250PE2021-05-21 10:30:59,2021-05-21 10:30:59,4,198.85,2021-05-21 15:19:59,135.0,255.39999999999998,205.64999999999998
15450PE2021-05-21 14:45:59,2021-05-21 14:45:59,4,271.8,2021-05-21 15:19:59,269.1,10.799999999999955,216.44999999999993
15250CE2021-05-24 09:15:59,2021-05-24 09:15:59,1,100.0,2021-05-24 15:19:59,71.2,28.799999999999997,245.24999999999994
15250PE2021-05-24 09:15:59,2021-05-24 09:15:59,1,125.2,2021-05-24 15:19:59,120.0,5.200000000000003,250.44999999999993
15250CE2021-05-25 09:15:59,2021-05-25 09:15:59,1,96.1,2021-05-25 15:19:59,56.2,39.89999999999999,290.3499999999999
15250PE2021-05-25 09:15:59,2021-05-25 09:15:59,1,68.65,2021-05-25 15:19:59,91.65,-23.0,267.3499999999999
15200CE2021-05-25 13:30:59,2021-05-25 13:30:59,4,88.75,2021-05-25 15:19:59,82.2,26.19999999999999,293.5499999999999
15250CE2021-05-26 09:15:59,2021-05-26 09:15:59,1,61.95,2021-05-26 15:19:59,90.45,-28.5,265.0499999999999
15250PE2021-05-26 09:15:59,2021-05-26 09:15:59,1,64.75,2021-05-26 15:19:59,29.75,35.0,300.0499999999999
15350PE2021-05-26 11:00:59,2021-05-26 11:00:59,4,90.9,2021-05-26 15:19:59,72.45,73.80000000000001,373.8499999999999
15300CE2021-05-27 09:15:59,2021-05-27 09:15:59,1,45.65,2021-05-27 15:19:59,36.95,8.699999999999996,382.5499999999999
15300PE2021-05-27 09:15:59,2021-05-27 09:15:59,1,41.95,2021-05-27 15:19:59,0.1,41.85,424.3999999999999
15400PE2021-05-27 11:30:59,2021-05-27 11:30:59,4,65.2,2021-05-27 15:19:59,63.05,8.600000000000023,432.99999999999994
