Ticker,Time of Entry,Qty,Entry Price,Time of Exit,Exit Price,PnL,Cummulative PnL
17700CE2021-11-22 09:15:59,2021-11-22 09:15:59,1,154.75,2021-11-22 15:19:59,28.65,126.1,126.1
17700PE2021-11-22 09:15:59,2021-11-22 09:15:59,1,114.35,2021-11-22 15:19:59,274.8,-160.45000000000002,-34.35000000000002
17550CE2021-11-22 10:30:59,2021-11-22 10:30:59,4,163.0,2021-11-22 15:19:59,70.3,370.8,336.45
17300CE2021-11-22 12:15:59,2021-11-22 12:15:59,4,255.6,2021-11-22 15:19:59,213.9,166.79999999999995,503.24999999999994
16950CE2021-11-22 14:30:59,2021-11-22 14:30:59,4,411.25,2021-11-22 15:19:59,518.3,-428.1999999999998,75.05000000000013
17250CE2021-11-23 09:15:59,2021-11-23 09:15:59,1,155.55,2021-11-23 15:19:59,269.55,-114.0,-38.949999999999875
17250PE2021-11-23 09:15:59,2021-11-23 09:15:59,1,98.9,2021-11-23 15:19:59,23.85,75.05000000000001,36.100000000000136
17600PE2021-11-23 09:45:59,2021-11-23 09:45:59,4,216.35,2021-11-23 15:19:59,142.85,294.0,330.10000000000014
17450CE2021-11-23 10:15:59,2021-11-23 10:15:59,4,67.9,2021-11-23 15:19:59,113.25,-181.39999999999998,148.70000000000016
17650PE2021-11-23 11:30:59,2021-11-23 11:30:59,4,232.2,2021-11-23 15:19:59,178.8,213.5999999999999,362.30000000000007
17550CE2021-11-24 09:15:59,2021-11-24 09:15:59,1,74.1,2021-11-24 15:19:59,12.0,62.099999999999994,424.4000000000001
17550PE2021-11-24 09:15:59,2021-11-24 09:15:59,1,92.7,2021-11-24 15:19:59,153.4,-60.7,363.7000000000001
17250CE2021-11-24 15:15:59,2021-11-24 15:15:59,4,172.6,2021-11-24 15:19:59,171.15,5.7999999999999545,369.50000000000006
17400CE2021-11-25 09:15:59,2021-11-25 09:15:59,1,51.3,2021-11-25 15:19:59,132.45,-81.14999999999999,288.3500000000001
17400PE2021-11-25 09:15:59,2021-11-25 09:15:59,1,67.7,2021-11-25 15:19:59,0.05,67.65,356.0000000000001
17500PE2021-11-25 11:00:59,2021-11-25 11:00:59,4,83.15,2021-11-25 15:19:59,0.2,331.8,687.8000000000002
17550PE2021-11-25 11:15:59,2021-11-25 11:15:59,4,92.0,2021-11-25 15:19:59,18.05,295.8,983.6000000000001
17650PE2021-11-25 12:15:59,2021-11-25 12:15:59,4,126.45,2021-11-25 15:19:59,118.5,31.80000000000001,1015.4000000000001
17500CE2021-11-25 13:00:59,2021-11-25 13:00:59,4,18.45,2021-11-25 15:19:59,32.35,-55.60000000000001,959.8000000000001
17650PE2021-11-25 13:15:59,2021-11-25 13:15:59,4,138.95,2021-11-25 15:19:59,118.5,81.79999999999995,1041.6
