Ticker,Time of Entry,Qty,Entry Price,Time of Exit,Exit Price,PnL,Cummulative PnL
18250CE2021-10-22 09:15:59,2021-10-22 09:15:59,1,147.85,2021-10-22 15:19:59,86.8,61.05,61.05
18250PE2021-10-22 09:15:59,2021-10-22 09:15:59,1,140.35,2021-10-22 15:19:59,198.75,-58.400000000000006,2.6499999999999915
18100CE2021-10-22 12:00:59,2021-10-22 12:00:59,4,187.0,2021-10-22 15:19:59,156.2,123.20000000000005,125.85000000000004
17900CE2021-10-22 14:30:59,2021-10-22 14:30:59,4,256.7,2021-10-22 15:19:59,293.45,-147.0,-21.149999999999963
18200CE2021-10-25 09:15:59,2021-10-25 09:15:59,1,115.95,2021-10-25 15:19:59,93.95,22.0,0.850000000000037
18200PE2021-10-25 09:15:59,2021-10-25 09:15:59,1,139.95,2021-10-25 15:19:59,146.85,-6.900000000000006,-6.049999999999969
18000CE2021-10-25 09:30:59,2021-10-25 09:30:59,4,195.1,2021-10-25 15:19:59,210.85,-63.0,-69.04999999999997
17800CE2021-10-25 10:00:59,2021-10-25 10:00:59,4,267.0,2021-10-25 15:19:59,370.05,-412.20000000000005,-481.25
18000PE2021-10-25 10:45:59,2021-10-25 10:45:59,4,90.8,2021-10-25 15:19:59,63.55,109.0,-372.25
18150CE2021-10-26 09:15:59,2021-10-26 09:15:59,1,133.8,2021-10-26 15:19:59,206.15,-72.35,-444.6
18150PE2021-10-26 09:15:59,2021-10-26 09:15:59,1,97.8,2021-10-26 15:19:59,33.25,64.55,-380.05
18350PE2021-10-26 09:30:59,2021-10-26 09:30:59,4,161.9,2021-10-26 15:19:59,100.9,244.0,-136.05
18200CE2021-10-26 10:45:59,2021-10-26 10:45:59,4,98.5,2021-10-26 15:19:59,166.8,-273.20000000000005,-409.25000000000006
18400PE2021-10-26 14:15:59,2021-10-26 14:15:59,4,175.5,2021-10-26 15:19:59,129.2,185.20000000000005,-224.05
18300CE2021-10-27 09:15:59,2021-10-27 09:15:59,1,102.0,2021-10-27 15:19:59,33.05,68.95,-155.10000000000002
18300PE2021-10-27 09:15:59,2021-10-27 09:15:59,1,75.2,2021-10-27 15:19:59,109.0,-33.8,-188.90000000000003
18200CE2021-10-27 14:30:59,2021-10-27 14:30:59,4,95.75,2021-10-27 15:19:59,79.0,67.0,-121.90000000000003
18150CE2021-10-28 09:15:59,2021-10-28 09:15:59,1,67.5,2021-10-28 15:19:59,0.15,67.35,-54.55000000000004
18150PE2021-10-28 09:15:59,2021-10-28 09:15:59,1,57.65,2021-10-28 15:19:59,288.25,-230.6,-285.15000000000003
18050CE2021-10-28 09:45:59,2021-10-28 09:45:59,4,78.45,2021-10-28 15:19:59,0.15,313.2,28.049999999999955
17950CE2021-10-28 11:00:59,2021-10-28 11:00:59,4,113.6,2021-10-28 15:19:59,0.1,454.0,482.04999999999995
17800CE2021-10-28 13:45:59,2021-10-28 13:45:59,4,176.65,2021-10-28 15:19:59,62.75,455.6,937.65
17650CE2021-10-28 14:45:59,2021-10-28 14:45:59,4,251.8,2021-10-28 15:19:59,211.45,161.4000000000001,1099.0500000000002
