Ticker,Time of Entry,Qty,Entry Price,Time of Exit,Exit Price,PnL,Cummulative PnL
17900CE2021-09-24 09:15:59,2021-09-24 09:15:59,1,132.7,2021-09-24 15:19:59,101.4,31.299999999999983,31.299999999999983
17900PE2021-09-24 09:15:59,2021-09-24 09:15:59,1,137.0,2021-09-24 15:19:59,140.35,-3.3499999999999943,27.94999999999999
17900CE2021-09-27 09:15:59,2021-09-27 09:15:59,1,128.4,2021-09-27 15:19:59,77.35,51.05000000000001,79.0
17900PE2021-09-27 09:15:59,2021-09-27 09:15:59,1,95.15,2021-09-27 15:19:59,125.0,-29.849999999999994,49.150000000000006
17800CE2021-09-27 10:45:59,2021-09-27 10:45:59,4,138.15,2021-09-27 15:19:59,128.95,36.80000000000007,85.95000000000007
17850CE2021-09-28 09:15:59,2021-09-28 09:15:59,1,111.05,2021-09-28 15:19:59,50.95,60.099999999999994,146.05000000000007
17850PE2021-09-28 09:15:59,2021-09-28 09:15:59,1,84.35,2021-09-28 15:19:59,147.35,-63.0,83.05000000000007
17750CE2021-09-28 11:15:59,2021-09-28 11:15:59,4,118.9,2021-09-28 15:19:59,88.25,122.60000000000002,205.6500000000001
17600CE2021-09-28 12:15:59,2021-09-28 12:15:59,4,177.85,2021-09-28 15:19:59,184.4,-26.200000000000045,179.45000000000005
17400CE2021-09-28 13:15:59,2021-09-28 13:15:59,4,262.0,2021-09-28 15:19:59,361.15,-396.5999999999999,-217.14999999999986
17700PE2021-09-28 15:15:59,2021-09-28 15:15:59,4,54.65,2021-09-28 15:19:59,61.75,-28.400000000000006,-245.54999999999987
17650CE2021-09-29 09:15:59,2021-09-29 09:15:59,1,83.3,2021-09-29 15:19:59,87.0,-3.700000000000003,-249.2499999999999
17650PE2021-09-29 09:15:59,2021-09-29 09:15:59,1,93.15,2021-09-29 15:19:59,45.4,47.75000000000001,-201.4999999999999
17800PE2021-09-29 13:30:59,2021-09-29 13:30:59,4,110.7,2021-09-29 15:19:59,134.1,-93.59999999999997,-295.09999999999985
17950PE2021-09-29 14:45:59,2021-09-29 14:45:59,4,173.7,2021-09-29 15:19:59,267.2,-374.0,-669.0999999999999
17850CE2021-09-29 15:00:59,2021-09-29 15:00:59,4,26.4,2021-09-29 15:19:59,16.0,41.599999999999994,-627.4999999999999
17750CE2021-09-29 15:15:59,2021-09-29 15:15:59,4,42.15,2021-09-29 15:19:59,39.95,8.799999999999983,-618.6999999999999
17700CE2021-09-30 09:15:59,2021-09-30 09:15:59,1,59.6,2021-09-30 15:19:59,0.1,59.5,-559.1999999999999
17700PE2021-09-30 09:15:59,2021-09-30 09:15:59,1,45.4,2021-09-30 15:19:59,82.45,-37.050000000000004,-596.2499999999999
17600CE2021-09-30 09:30:59,2021-09-30 09:30:59,4,89.5,2021-09-30 15:19:59,20.1,277.6,-318.64999999999986
17700PE2021-09-30 09:45:59,2021-09-30 09:45:59,4,41.75,2021-09-30 15:19:59,82.45,-162.8,-481.4499999999999
17650CE2021-09-30 10:30:59,2021-09-30 10:30:59,4,62.45,2021-09-30 15:19:59,0.1,249.4,-232.04999999999987
17750PE2021-09-30 11:30:59,2021-09-30 11:30:59,4,57.8,2021-09-30 15:19:59,132.6,-299.2,-531.2499999999999
17600CE2021-09-30 12:45:59,2021-09-30 12:45:59,4,69.85,2021-09-30 15:19:59,20.1,198.99999999999997,-332.2499999999999
17450CE2021-09-30 14:30:59,2021-09-30 14:30:59,4,138.95,2021-09-30 15:19:59,167.75,-115.20000000000005,-447.44999999999993
